item,value,basis,recorded_at,last_run_at
expected sign of the coefficient,positive,hosts told they can reprice to hold net earnings; the no-reprice case is rejected by the prints (quote-index addendum),2026-09-11 21:56:17,2026-09-11 22:06:05
"expected coefficient, central (pp residual per pp of y/y migrated nights share)",0.007,"payout-neutral reprice, +0.7% on the cohort",2026-09-11 21:56:17,2026-09-11 22:06:05
"expected coefficient, plausible range",0.000 to 0.038,half pass-through to full +18.34% over-reprice,2026-09-11 21:56:17,2026-09-11 22:06:05
coefficient outside the mechanics,above 0.05 or below -0.02,above 0.05 needs listed prices up more than ~20% on the cohort; below -0.02 is rejected by the 1H26 NA prints,2026-09-11 21:56:17,2026-09-11 22:06:05
"implied 1H26 residual contribution, central","+0.12 pp (1Q26), +0.15 pp (2Q26)",y/y migrated nights share +16.6 pp and +21.5 pp (K1 central),2026-09-11 21:56:17,2026-09-11 22:06:05
"implied 1H26 residual contribution, full over-reprice","+0.63 pp (1Q26), +0.82 pp (2Q26)",same shares at 0.038,2026-09-11 21:56:17,2026-09-11 22:06:05
observed 1H26 step over the 2023-25 mean residual (2.40),"+1.98 pp (1Q26), +2.45 pp (2Q26)",adr_history_components.csv residual_pricing_pp,2026-09-11 21:56:17,2026-09-11 22:06:05
share of the step the fee reprice can explain,"about 5% central, about 30% at full over-reprice",ratio of the two lines above,2026-09-11 21:56:17,2026-09-11 22:06:05
pre-existing 15 -> 15.5 cohort,"+0.006 per pp of that cohort's nights share, in the y/y window 4Q25 (one third) to 3Q26",0.85/0.845 payout-neutral; about +0.1 pp blended at the central 16% cohort,2026-09-11 21:56:17,2026-09-11 22:06:05
recorded_at,2026-09-11 21:56:17,written before K3 was run,2026-09-11 21:56:17,2026-09-11 22:06:05
