check,passed,max_abs_delta
horizon hash baseline_source_anchors.csv,True,
horizon hash common_predictions.csv,True,
horizon hash coverage.csv,True,
horizon hash error_variance_decomposition.csv,True,
horizon hash exposure_summary.csv,True,
horizon hash gbv_contributions.csv,True,
horizon hash gbv_inputs.csv,True,
horizon hash origin_fits.csv,True,
horizon hash paired_comparisons.csv,True,
horizon hash predictions.csv,True,
horizon hash promotion_gates.csv,True,
horizon hash score_deletions.csv,True,
horizon hash scores_all_available.csv,True,
horizon hash scores_common.csv,True,
horizon hash skipped_predictions.csv,True,
horizon hash summary.json,True,
horizon hash wide_predictions.csv,True,
source hash kpi,True,
source hash calendar,True,
source hash accepted_core,True,
source hash decision_spec,True,
author code hash,True,
unique points,True,
GBV status 0,True,
GBV value 0,True,3.637978807091713e-12
GBV publication 0,True,
GBV status 1,True,
GBV value 1,True,0.0
GBV publication 1,True,
GBV status 2,True,
GBV value 2,True,0.0
GBV publication 2,True,
GBV status 3,True,
GBV value 3,True,0.0
GBV publication 3,True,
GBV status 4,True,
GBV value 4,True,0.0
GBV publication 4,True,
GBV status 5,True,
GBV value 5,True,0.0
GBV publication 5,True,
GBV status 6,True,
GBV value 6,True,3.637978807091713e-12
GBV publication 6,True,
GBV status 7,True,
GBV value 7,True,0.0
GBV publication 7,True,
GBV status 8,True,
GBV value 8,True,0.0
GBV publication 8,True,
GBV status 9,True,
GBV value 9,True,0.0
GBV publication 9,True,
GBV status 10,True,
GBV value 10,True,0.0
GBV publication 10,True,
GBV status 11,True,
GBV value 11,True,0.0
GBV publication 11,True,
GBV status 12,True,
GBV value 12,True,0.0
GBV publication 12,True,
GBV status 13,True,
GBV value 13,True,0.0
GBV publication 13,True,
GBV status 14,True,
GBV value 14,True,0.0
GBV publication 14,True,
GBV status 15,True,
GBV value 15,True,0.0
GBV publication 15,True,
GBV status 16,True,
GBV value 16,True,0.0
GBV publication 16,True,
GBV status 17,True,
GBV value 17,True,0.0
GBV publication 17,True,
GBV status 18,True,
GBV value 18,True,0.0
GBV publication 18,True,
GBV status 19,True,
GBV value 19,True,0.0
GBV publication 19,True,
GBV status 20,True,
GBV value 20,True,0.0
GBV publication 20,True,
GBV status 21,True,
GBV value 21,True,1.8189894035458565e-12
GBV publication 21,True,
GBV status 22,True,
GBV value 22,True,0.0
GBV publication 22,True,
GBV status 23,True,
GBV value 23,True,0.0
GBV publication 23,True,
GBV status 24,True,
GBV value 24,True,0.0
GBV publication 24,True,
GBV status 25,True,
GBV value 25,True,0.0
GBV publication 25,True,
GBV status 26,True,
GBV value 26,True,0.0
GBV publication 26,True,
GBV status 27,True,
GBV value 27,True,0.0
GBV publication 27,True,
GBV status 28,True,
GBV value 28,True,0.0
GBV publication 28,True,
GBV status 29,True,
GBV value 29,True,0.0
GBV publication 29,True,
GBV status 30,True,
GBV value 30,True,0.0
GBV publication 30,True,
GBV status 31,True,
GBV value 31,True,0.0
GBV publication 31,True,
GBV status 32,True,
GBV value 32,True,0.0
GBV publication 32,True,
GBV status 33,True,
GBV value 33,True,0.0
GBV publication 33,True,
GBV status 34,True,
GBV value 34,True,0.0
GBV publication 34,True,
GBV status 35,True,
GBV value 35,True,0.0
GBV publication 35,True,
GBV status 36,True,
GBV value 36,True,3.637978807091713e-12
GBV publication 36,True,
GBV status 37,True,
GBV value 37,True,0.0
GBV publication 37,True,
GBV status 38,True,
GBV value 38,True,0.0
GBV publication 38,True,
GBV status 39,True,
GBV value 39,True,0.0
GBV publication 39,True,
GBV status 40,True,
GBV value 40,True,0.0
GBV publication 40,True,
GBV status 41,True,
GBV value 41,True,0.0
GBV publication 41,True,
GBV status 42,True,
GBV value 42,True,0.0
GBV publication 42,True,
GBV status 43,True,
GBV value 43,True,0.0
GBV publication 43,True,
GBV status 44,True,
GBV value 44,True,0.0
GBV publication 44,True,
GBV status 45,True,
GBV value 45,True,0.0
GBV publication 45,True,
GBV status 46,True,
GBV value 46,True,0.0
