horizon,window,model,period,n,targets,bias_musd,rmse_musd,positive_error_count,mean_relative_error_pct
2,W1,fixed,before_2025Q3,7,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,46.26436271858977,75.20841406118166,5,1.709286986522233
2,W1,fixed,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-48.803187138296835,73.50189983621769,1,-1.247562293945354
2,W1,fixed_oracle,before_2025Q3,7,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,25.38659728605015,52.9810655727363,4,1.1267285852035065
2,W1,fixed_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,11.858264070632572,33.352040195274824,2,0.5600465452800898
2,W1,guide_growth,before_2025Q3,7,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,22.789707280594744,50.05065488157434,5,0.8789584801601235
2,W1,guide_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-36.84215360761959,72.17467429652342,1,-1.4444778896179744
2,W1,joint,before_2025Q3,7,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,1.5622157368228986,35.51275887138846,4,-0.02352743073572796
2,W1,joint,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-77.51392519693252,95.69921505598238,0,-2.180441714557973
2,W1,joint_oracle,before_2025Q3,7,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,-32.378584966751305,46.70374018774933,2,-1.1574006844250748
2,W1,joint_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,20.167483546789185,60.21351881719396,3,0.7965604241163784
2,W1,revenue_growth,before_2025Q3,7,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,52.557823905150535,90.73921088578619,5,1.7814692155492189
2,W1,revenue_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-122.48222874656153,155.98756830644462,1,-3.602926444773057
2,W2,fixed,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,61.230815584776565,79.26632197779483,5,2.331643767055249
2,W2,fixed,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-48.803187138296835,73.50189983621769,1,-1.247562293945354
2,W2,fixed_oracle,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,26.851568256556295,56.82355782238353,3,1.1858595396132903
2,W2,fixed_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,11.858264070632572,33.352040195274824,2,0.5600465452800898
2,W2,guide_growth,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,21.906013028773867,52.83042535885656,4,0.8076851044385935
2,W2,guide_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-36.84215360761959,72.17467429652342,1,-1.4444778896179744
2,W2,joint,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,13.269732085993004,26.174905187894602,4,0.504976775445509
2,W2,joint,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-77.51392519693252,95.69921505598238,0,-2.180441714557973
2,W2,joint_oracle,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,-37.975014707732306,50.443426146399524,1,-1.3596030735279727
2,W2,joint_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,20.167483546789185,60.21351881719396,3,0.7965604241163784
2,W2,revenue_growth,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,57.288060993560826,97.51130905506655,4,1.8909667873292137
2,W2,revenue_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-122.48222874656153,155.98756830644462,1,-3.602926444773057
3,W1,fixed,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,58.73466549896352,93.23781103107811,5,2.028281025566845
3,W1,fixed,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-46.628479696734644,107.80148406868535,1,-1.7950794970636803
3,W1,fixed_oracle,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,23.281565305377626,52.53027262105734,3,1.0426903614497425
3,W1,fixed_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,9.648251940697833,32.995273339675464,2,0.48973349494478047
3,W1,guide_growth,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,59.26388683507761,76.93845924322889,6,2.081327282807367
3,W1,guide_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-86.23962980858607,124.88671366930691,2,-2.777014889784136
3,W1,joint,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,11.21961535010189,65.19417098384011,4,0.2030753918772098
3,W1,joint,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-80.11571787729667,126.49530701514196,1,-2.8804649702672025
3,W1,joint_oracle,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,-42.57414932861642,53.5570768404931,1,-1.5330808452658642
3,W1,joint_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,4.880102767088488,55.87852023528278,2,0.37142991393890035
3,W1,revenue_growth,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,72.43452612837314,107.96892430643075,5,2.683773983775835
3,W1,revenue_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-113.29369701198732,145.46062256605427,1,-3.7286339896387335
3,W2,fixed,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,58.73466549896352,93.23781103107811,5,2.028281025566845
3,W2,fixed,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-46.628479696734644,107.80148406868535,1,-1.7950794970636803
3,W2,fixed_oracle,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,23.281565305377626,52.53027262105734,3,1.0426903614497425
3,W2,fixed_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,9.648251940697833,32.995273339675464,2,0.48973349494478047
3,W2,guide_growth,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,59.26388683507761,76.93845924322889,6,2.081327282807367
3,W2,guide_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-86.23962980858607,124.88671366930691,2,-2.777014889784136
3,W2,joint,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,11.21961535010189,65.19417098384011,4,0.2030753918772098
3,W2,joint,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-80.11571787729667,126.49530701514196,1,-2.8804649702672025
