q,cum,ts,new_per_day
2019Q2,683334.0,2019-07-07,
2019Q3,790782.0,2019-10-07,1167.9130434782608
2019Q4,870675.0,2020-01-06,877.945054945055
2020Q1,934921.0,2020-04-07,698.3260869565217
2020Q3,1005187.0,2020-10-01,396.9830508474576
2020Q4,1078365.0,2021-02-07,567.2713178294574
2021Q1,1099470.0,2021-04-02,390.8333333333333
2021Q2,1134958.0,2021-07-05,377.531914893617
2021Q3,1177587.0,2021-10-06,458.3763440860215
2021Q4,1209880.0,2021-12-20,430.5733333333333
2022Q1,1257484.0,2022-04-01,466.70588235294116
2022Q2,1310985.0,2022-07-01,587.9230769230769
2022Q3,1359926.0,2022-10-02,526.247311827957
2022Q4,1392274.0,2023-01-01,355.4725274725275
2023Q1,1428769.0,2023-04-02,401.04395604395603
2023Q2,1449808.0,2023-06-01,350.65
2023Q3,1504687.0,2023-10-17,397.67391304347825
2023Q4,1536137.0,2024-01-08,378.9156626506024
2024Q1,1560901.0,2024-03-12,386.9375
2024Q2,1586337.0,2024-07-08,215.5593220338983
2024Q3,1594439.0,2024-10-01,95.31764705882352
2025Q1,1671776.0,2025-03-03,505.47058823529414
2025Q4,1827696.0,2026-01-03,
