q,ts,cum,rank,rating,new_per_day,gap_days
2019Q2,2019-06-14,384405.0,4.0,4.8,,
2019Q3,2019-10-07,424736.0,5.0,4.8,350.704347826087,115.0
2019Q4,2020-01-01,442623.0,4.0,4.8,207.98837209302326,86.0
2020Q1,2020-04-07,475914.0,5.0,4.8,343.2061855670103,97.0
2020Q2,2020-07-07,477058.0,3.0,4.8,12.571428571428571,91.0
2020Q3,2020-10-01,478678.0,3.0,4.8,18.837209302325583,86.0
2020Q4,2020-12-05,479444.0,4.0,4.8,11.784615384615385,65.0
2021Q1,2021-04-10,481128.0,5.0,4.8,13.365079365079366,126.0
2021Q2,2021-06-20,487519.0,5.0,4.8,90.01408450704226,71.0
2021Q3,2021-09-15,518398.0,4.0,4.8,354.9310344827586,87.0
2021Q4,2022-01-20,546506.0,3.0,4.8,221.3228346456693,127.0
2022Q1,2022-03-12,556770.0,7.0,4.8,201.2549019607843,51.0
2022Q2,2022-07-06,577268.0,6.0,4.8,176.70689655172413,116.0
2022Q3,2022-09-04,581144.0,6.0,4.8,64.6,60.0
2022Q4,2023-01-31,590372.0,5.0,4.8,61.93288590604027,149.0
2023Q2,2023-06-18,600337.0,3.0,4.8,72.21014492753623,138.0
2023Q4,2024-01-06,618549.0,2.0,4.8,,202.0
2024Q1,2024-04-02,632272.0,2.0,4.8,157.73563218390805,87.0
2024Q2,2024-07-05,643399.0,2.0,4.8,118.37234042553192,94.0
2024Q3,2024-10-01,651538.0,2.0,4.8,92.48863636363636,88.0
2024Q4,2025-01-03,659564.0,2.0,4.8,85.38297872340425,94.0
2025Q2,2025-06-16,675153.0,2.0,4.8,95.0548780487805,164.0
2025Q3,2025-09-18,683769.0,2.0,4.8,91.65957446808511,94.0
2025Q4,2026-01-13,694735.0,,4.8,93.72649572649573,117.0
