market,scope,baseline_date,endpoint_date,interval_days,pair_eligible,exclusion,baseline_listings,baseline_unique_host_ids,baseline_boutique_tagged,baseline_min_nights_le2,baseline_number_of_reviews_ltm,baseline_number_of_reviews_ltm_observed_sum,baseline_number_of_reviews_ltm_missing,baseline_number_of_reviews_ltm_positive,baseline_number_of_reviews_l30d,baseline_number_of_reviews_l30d_observed_sum,baseline_number_of_reviews_l30d_missing,baseline_number_of_reviews_l30d_positive,endpoint_listings,endpoint_unique_host_ids,endpoint_boutique_tagged,endpoint_min_nights_le2,endpoint_number_of_reviews_ltm,endpoint_number_of_reviews_ltm_observed_sum,endpoint_number_of_reviews_ltm_missing,endpoint_number_of_reviews_ltm_positive,endpoint_number_of_reviews_l30d,endpoint_number_of_reviews_l30d_observed_sum,endpoint_number_of_reviews_l30d_missing,endpoint_number_of_reviews_l30d_positive,retained_hotel_ids,new_to_panel_hotel_ids,recategorized_into_hotel,absent_baseline_hotel_ids,recategorized_out_of_hotel,retained_baseline_listings,retained_baseline_unique_host_ids,retained_baseline_boutique_tagged,retained_baseline_min_nights_le2,retained_baseline_number_of_reviews_ltm,retained_baseline_number_of_reviews_ltm_observed_sum,retained_baseline_number_of_reviews_ltm_missing,retained_baseline_number_of_reviews_ltm_positive,retained_baseline_number_of_reviews_l30d,retained_baseline_number_of_reviews_l30d_observed_sum,retained_baseline_number_of_reviews_l30d_missing,retained_baseline_number_of_reviews_l30d_positive,retained_listings,retained_unique_host_ids,retained_boutique_tagged,retained_min_nights_le2,retained_number_of_reviews_ltm,retained_number_of_reviews_ltm_observed_sum,retained_number_of_reviews_ltm_missing,retained_number_of_reviews_ltm_positive,retained_number_of_reviews_l30d,retained_number_of_reviews_l30d_observed_sum,retained_number_of_reviews_l30d_missing,retained_number_of_reviews_l30d_positive,new_to_panel_listings,new_to_panel_unique_host_ids,new_to_panel_boutique_tagged,new_to_panel_min_nights_le2,new_to_panel_number_of_reviews_ltm,new_to_panel_number_of_reviews_ltm_observed_sum,new_to_panel_number_of_reviews_ltm_missing,new_to_panel_number_of_reviews_ltm_positive,new_to_panel_number_of_reviews_l30d,new_to_panel_number_of_reviews_l30d_observed_sum,new_to_panel_number_of_reviews_l30d_missing,new_to_panel_number_of_reviews_l30d_positive,new_ids_first_review_after_baseline,new_ids_first_review_before_baseline,retained_missing_lifetime_review_delta_ids,retained_lifetime_review_delta_nonnegative,retained_negative_review_delta_ids,listings_growth,number_of_reviews_ltm_growth,number_of_reviews_l30d_growth,ltm_reviews_per_listing_baseline,ltm_reviews_per_listing_endpoint,l30d_reviews_per_listing_baseline,l30d_reviews_per_listing_endpoint
austin,strict,2025-09-17,2026-08-30,347,False,team partial-scope endpoint flag,260,53,15,191,2074,2074,0,73,154,154,0,41,611,93,27,592,2944,2944,0,179,324,324,0,68,187,424,0,70,3,187,36,13,120,1931,1931,0,54,140,140,0,32,187,36,14,183,2096,2096,0,61,177,177,0,23,424,79,13,409,848,848,0,118,147,147,0,45,91,50,0,2001,1,1.35,0.4194792671166827,1.103896103896104,7.976923076923077,4.818330605564648,0.5923076923076923,0.530278232405892
austin,broad,2025-09-17,2026-08-30,347,False,team partial-scope endpoint flag,261,54,15,192,2075,2075,0,74,155,155,0,42,613,93,27,594,2944,2944,0,179,324,324,0,68,187,426,0,71,3,187,36,13,120,1931,1931,0,54,140,140,0,32,187,36,14,183,2096,2096,0,61,177,177,0,23,426,79,13,411,848,848,0,118,147,147,0,45,91,50,0,2001,1,1.3486590038314175,0.41879518072289157,1.0903225806451613,7.950191570881226,4.802610114192496,0.5938697318007663,0.5285481239804242
austin,boutique,2025-09-17,2026-08-30,347,False,team partial-scope endpoint flag,15,7,15,12,15,15,0,6,0,0,0,0,27,8,27,24,174,174,0,7,9,9,0,3,13,13,1,2,0,13,5,13,10,14,14,0,5,0,0,0,0,13,5,13,11,24,24,0,3,0,0,0,0,13,4,13,12,73,73,0,3,8,8,0,2,2,2,0,24,1,0.8,10.6,,1.0,6.444444444444445,0.0,0.3333333333333333
barcelona,strict,2025-09-15,2026-08-29,348,True,,678,163,176,676,11512,11512,0,405,1083,1083,0,215,783,208,129,743,13820,13820,0,515,1731,1731,0,308,480,296,7,197,1,480,127,110,478,9228,9228,0,312,922,922,0,180,480,127,111,458,9978,9978,0,314,865,865,0,169,296,98,18,278,3504,3504,0,194,855,855,0,135,146,52,0,9464,22,0.15486725663716805,0.20048644892286305,0.5983379501385042,16.979351032448378,17.650063856960408,1.5973451327433628,2.210727969348659
barcelona,broad,2025-09-15,2026-08-29,348,True,,723,174,176,712,12721,12721,0,435,1187,1187,0,235,814,218,129,772,15169,15169,0,546,1792,1792,0,327,511,296,7,210,2,511,137,110,500,10268,10268,0,340,1019,1019,0,199,511,137,111,487,11327,11327,0,345,926,926,0,188,296,98,18,278,3504,3504,0,194,855,855,0,135,146,52,0,10747,22,0.12586445366528354,0.1924377014385661,0.5096882898062343,17.594744121715078,18.635135135135137,1.6417704011065006,2.2014742014742015
barcelona,boutique,2025-09-15,2026-08-29,348,True,,176,38,176,175,2821,2821,0,115,207,207,0,56,129,29,129,125,1424,1424,0,78,90,90,0,40,110,18,1,66,0,110,26,110,109,1539,1539,0,73,127,127,0,42,110,26,110,106,1396,1396,0,74,89,89,0,39,18,4,18,18,7,7,0,3,0,0,0,0,0,5,0,1321,5,-0.2670454545454546,-0.4952144629563985,-0.5652173913043479,16.02840909090909,11.03875968992248,1.1761363636363635,0.6976744186046512
chicago,strict,2025-09-24,2026-08-30,340,True,,335,53,24,249,5042,5042,0,169,577,577,0,83,403,70,13,325,9554,9554,0,219,957,957,0,124,242,160,1,89,4,242,41,10,183,4340,4340,0,130,472,472,0,63,242,41,12,198,6789,6789,0,128,608,608,0,72,160,35,1,127,2765,2765,0,91,349,349,0,52,84,10,0,6519,0,0.20298507462686577,0.8948829829432765,0.658578856152513,15.050746268656717,23.707196029776675,1.7223880597014924,2.3746898263027294
chicago,broad,2025-09-24,2026-08-30,340,True,,351,54,24,255,5248,5248,0,178,593,593,0,89,417,71,13,339,9748,9748,0,228,963,963,0,129,256,160,1,91,4,256,42,10,189,4546,4546,0,139,488,488,0,69,256,42,12,212,6983,6983,0,137,614,614,0,77,160,35,1,127,2765,2765,0,91,349,349,0,52,84,10,0,6700,0,0.18803418803418803,0.8574695121951219,0.623946037099494,14.951566951566951,23.376498800959233,1.6894586894586894,2.3093525179856114
chicago,boutique,2025-09-24,2026-08-30,340,True,,24,6,24,16,345,345,0,14,40,40,0,9,13,5,13,13,135,135,0,9,9,9,0,5,10,1,2,14,0,10,2,10,10,122,122,0,9,9,9,0,7,10,2,10,10,135,135,0,9,9,9,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,126,0,-0.45833333333333337,-0.6086956521739131,-0.775,14.375,10.384615384615385,1.6666666666666667,0.6923076923076923
london,strict,2025-09-18,2026-08-30,346,True,,1374,297,217,1301,7783,7783,0,584,826,826,0,246,1685,363,184,1659,16103,16103,0,929,1790,1790,0,469,1050,578,57,316,8,1050,237,150,1020,6659,6659,0,448,737,737,0,195,1050,237,157,1027,11079,11079,0,501,963,963,0,239,578,160,18,575,4241,4241,0,399,781,781,0,218,378,27,0,10593,3,0.2263464337700145,1.068996530900681,1.1670702179176757,5.66448326055313,9.5566765578635,0.6011644832605532,1.0623145400593472
