source_id,title,url,vintage,access,evidence,disposition,exact_prior_url_matches,prior_locations
HOTEL-Q226,"Airbnb Q2 2026 shareholder letter, page 5 and footnotes",https://www.sec.gov/Archives/edgar/data/1559720/000119312526337928/d70413dex991.htm,2026-08-06,full SEC exhibit,Single-digit hotel night share; hotel nights growth approximately 3x homes; thousands of hotels in more than 20 destinations; 35% return-to-home cohort July 2024-June 2025 followed 365 days; eligible credit terms,Reuse existing WS06/WS11 management evidence. New analysis: cohort vintage and incentive sensitivity; do not count as independent confirmation.,1,https://github.com/Kaenyne/Citadel-ABNB/blob/df833f5f3980078beef09c1327940bfa58d57acf/research/sources/README.md
HOTEL-RELEASE,Airbnb 2026 Summer Release,https://news.airbnb.com/airbnb-2026-summer-release,2026-05-20,full official announcement,Curated boutique and independent hotel expansion and promotional product terms,Reuse existing team hotel narrative; not a newly discovered rollout.,1,https://github.com/Kaenyne/Citadel-ABNB/blob/df833f5f3980078beef09c1327940bfa58d57acf/research/notes/overnight/11_competition-supply-and-overlays.md
HOTEL-IHG25,"IHG Annual Report and Form 20-F 2025, industry overview pages 20-21",https://www.sec.gov/Archives/edgar/data/858446/000085844626000011/ihgarafinal.htm,2025 industry stock,full SEC report; corporate PDF download returned 403 and was not retried,23.7 million global hotel rooms and 57% branded room supply; industry data attributed to STR,"New denominator found in this review. IHG and STR attribution are one underlying data source, not independent confirmations.",0,
HOTEL-NYC,CoStar: New York City's existing supply and pipeline is flooded with independent hotels,https://www.costar.com/article/1020852869/new-york-citys-existing-supply-and-pipeline-is-flooded-with-independent-hotels,2024-09-19,public abstract only; remainder paywalled,"Approximately 38000 independent rooms, 32% of existing room inventory",New historical city independent-room anchor; do not assume 2026 stock or boutique eligibility.,0,
HOTEL-PAR,"HVS Paris Market Pulse 2024 - Going for Gold, page 2",https://hvs.com/Print/Paris-Market-Pulse-2024-Going-for-Gold?id=9930,2023 year-end; publication May 2024,public print report,1680 hotels; approximately 92800 rooms; independent rooms 55%,New historical city independent-room anchor; 51040 rooms is calculated from rounded inputs.,0,
HOTEL-AUS,Visit Austin meeting professionals facts,https://www.austintexas.org/meeting-professionals/,undated; retrieved 2026-09-07,official destination page,Approximately 51000 citywide hotel rooms,New all-hotel capacity anchor; independence not identified.,0,
HOTEL-BCN,"Turisme de Barcelona hotel supply September 2024, summary page 3",https://tdbnews.barcelonaturisme.com/wp-content/uploads/2024/10/2409_Oferta-hotelera.pdf,2024-09,"publicly accessible PDF; source footer notes distribution restriction, raw report not included in deliverables","Barcelona city 447 establishments, 40166 rooms, 78353 beds",New all-hotel capacity anchor; independence not identified.,0,
HOTEL-CHI,Choose Chicago one-community approach,https://www.choosechicago.com/meeting-planners/plan-your-chicago-meeting/chicago-meeting-ideas/one-community-approach/,undated; retrieved 2026-09-07,search-index snippet; direct page returned 403,Central Business District approximately 46000 rooms and over 150 hotels,Provisional search-only lead; excluded from independent TAM totals.,0,
HOTEL-LON,Greater London Authority: A snapshot of tourist accommodation in London,https://data.london.gov.uk/blog/a-snapshot-of-tourist-accommodation-in-london/,2025-Q1; publication 2025-09-25,full official analysis,Approximately 174000 serviced accommodation rooms in Q1 2025,New capacity anchor with broader serviced-accommodation definition; no independent share.,0,
HOTEL-LAX,Discover Los Angeles: Facts About LA,https://www.discoverlosangeles.com/media/facts-about-la,undated page with 2023 context; retrieved 2026-09-07,official destination page,Over 1000 hotels and over 98600 rooms in destination region,"New historical/undated capacity benchmark, not a current city hotel census.",0,
HOTEL-MEX,Secretaria de Turismo CDMX: FIT Argentina tourism offer,https://www.turismo.cdmx.gob.mx/comunicacion/nota/ciudad-de-mexico-presente-en-fit-argentina-con-su-oferta-turistica-ante-operadores-de-60-paises,2025-09,search-index snippet; direct page fetch failed,Over 830 hotels and 66000 rooms; 109 hotels in combined five-star and boutique category,Provisional search-only capacity lead. Combined category cannot identify boutique inventory.,0,
HOTEL-BNA,Nashville Convention and Visitors Corp statistics,https://www.visitmusiccity.com/about/statistics,last updated 2025-09-19,full official destination page,42156 rooms in Davidson County; 60933 in Nashville MSA,"New all-hotel capacity anchor; use county, not MSA, row.",0,
HOTEL-MSY,New Orleans and Company hotels,https://www.neworleans.com/hotels/,undated; retrieved 2026-09-07,full official destination page,Over 26000 hotel rooms downtown,New downtown-only capacity anchor; no citywide or independent total.,0,
HOTEL-ROM,"Roma Capitale/ENEA building renovation strategy, Table 40 page 33",https://www.romaperilclima.it/wp-content/uploads/2026/03/Strategia-di-Riqualificazione-Energetica-del-Patrimonio-Immobiliare-di-Roma-Capitale_documento_ENEA_conferenza_3marzo2026_compressed.pdf,2024 year-end; report March 2026,downloaded official PDF; table visually verified,Hotels 48747 rooms and 98953 beds; hotel dependencies 657 rooms listed separately,New official all-hotel capacity anchor; no chain classification; not combined with unmatched Horwath chain table.,0,
HOTEL-SAN,San Diego Tourism Authority fast facts,https://www.sandiego.org/about/san-diego-tourism-fast-facts,page with CY2025 context; retrieved 2026-09-07,full official destination page,40158 city hotel rooms; 68954 county hotel rooms,New city all-hotel capacity anchor; independence not identified.,0,
HOTEL-SYD,"City of Sydney Visitor Accommodation Monitor June 2025, printed page 9",https://www.cityofsydney.nsw.gov.au/-/media/corporate/files/publications/research-and-reports/city-monitor-reports/visitor-accommodation-monitor-june-2025.pdf?download=true,2025-06-30,downloaded official PDF; table and stock figure visually verified,24990 hotel rooms in City of Sydney local area; separate serviced apartment category,New city hotel capacity anchor; does not cover Greater Sydney or identify independent hotels.,0,
HOTEL-FEE,Airbnb Help: service fees,https://www.airbnb.com/help/article/1857,retrieved 2026-09-07,full official help page,Most single-fee hosts pay 15.5%; mandatory for traditional hospitality and certain connected listings,Fee structure already team topic. Not used to establish negotiated commission for dedicated hotel bookings.,3,citadel-abnb_revenue-model-comparison (2).zip::research/notes/revenue_model_abnb_vs_bkng_expe.md | citadel-abnb_revenue-model-comparison.zip::research/notes/revenue_model_abnb_vs_bkng_expe.md | citadel-abnb_stay_length_v5.zip::research/notes/party_size_competitive_set.md
HOTEL-CHANNEL,SiteMinder Airbnb channel manager,https://www.siteminder.com/channel-manager/airbnb-hotels/,undated; retrieved 2026-09-07,vendor page,Hotel distribution connectivity exists; vendor markets room/rate/availability management,"Operational mechanism only; no measured Airbnb activation, allocation or conversion rate.",0,
HOTEL-IA,Inside Airbnb existing team historical captures,https://insideairbnb.com/get-the-data/,September 2025 and June 2026 quarterly capture starts; original 13-market supplement extends to late August 2026,"50 files for analytical 25-market sample and 26 for historical supplement; 12 shared hashes, 64 unique existing captures; hashes and row counts verified",Hotel-tagged listing stock and review proxies; strict/broad/boutique definitions and cohort reconciliation,Raw data reused from team. New hotel-specific transformation; never label it an independent new dataset or actual nights booked.,12,citadel-abnb-files 2/research/sources/README.md | citadel-abnb-jessie-all.zip::jessie-final/research/sources/README_jessie_rows.md | citadel-abnb_stay_length_v2.zip::research/notes/kitchen_wholehome_stay_length.md | citadel-abnb_stay_length_v5.zip::data/processed/airbnb_party_size_evidence.csv | citadel-abnb_stay_length_v5.zip::research/notes/kitchen_wholehome_stay_length.md | citadel-abnb_stay_length_v5.zip::research/notes/party_size_competitive_set.md | citadel-abnb_stay_length_v5.zip::research/notes/party_size_distribution.md | https://github.com/Kaenyne/Citadel-ABNB/blob/df833f5f3980078beef09c1327940bfa58d57acf/research/sources/README.md | research/notes/2026-09-07_listing-churn-broad-panel.md | research/sources/README.md | theos-past-research/research/source_registry.csv
HOTEL-AMS,"HVS Amsterdam Market Pulse 2024, page 2",https://www.hvs.com/Print/Amsterdam-Market-Pulse-2024-Full-Recovery-in-Sight?id=9917,2023,Public report: approximately 42000 hotel rooms in 2023,Public report: approximately 42000 hotel rooms in 2023,Additional city capacity evidence/lead. Independent and boutique eligibility remain unknown unless explicitly classified; no prior exact-URL match is only a bounded overlap screen.,0,
HOTEL-BER,"HVS Berlin Market Pulse 2024, page 2",https://www.hvs.com/Print/Berlin-Market-Pulse-2024-A-Bright-Outlook?id=9980,2023,Public report: 640 hotels and more than 69500 rooms in 2023,Public report: 640 hotels and more than 69500 rooms in 2023,Additional city capacity evidence/lead. Independent and boutique eligibility remain unknown unless explicitly classified; no prior exact-URL match is only a bounded overlap screen.,0,
HOTEL-LIS,"HVS Lisbon Market Pulse 2025, page 2",https://www.hvs.com/Print/Lisbon-Market-Pulse-2025-Award-Winning-City-Destination?id=10177,2023,Public report: approximately 32000 hotel rooms in metropolitan area in 2023,Public report: approximately 32000 hotel rooms in metropolitan area in 2023,Additional city capacity evidence/lead. Independent and boutique eligibility remain unknown unless explicitly classified; no prior exact-URL match is only a bounded overlap screen.,0,
HOTEL-MAD,"Madrid/INE estimated open rooms by category, July 2026",https://www.madrid.es/UnidadesDescentralizadas/UDCEstadistica/Nuevaweb/Turismo%20y%20eventos/Turismo/Encuesta%20Ocupaci%C3%B3n%20Hotelera/Tablas/P1110426.xlsx,2026-07; provisional,Downloaded official XLSX: July hotel columns D:G reconcile with hostal categories to 48078,Downloaded official XLSX: July hotel columns D:G reconcile with hostal categories to 48078,Additional city capacity evidence/lead. Independent and boutique eligibility remain unknown unless explicitly classified; no prior exact-URL match is only a bounded overlap screen.,0,
HOTEL-MIL,"Milan Design (Eco) System 2025, printed page 245",https://resources.salonemilano.it/doc/MilanDesignEcoSystem2025.pdf,2025-09; provisional,Downloaded and visually verified report citing Regional Observatory: 491 hotels; 74685 all-accommodation rooms,Downloaded and visually verified report citing Regional Observatory: 491 hotels; 74685 all-accommodation rooms,Additional city capacity evidence/lead. Independent and boutique eligibility remain unknown unless explicitly classified; no prior exact-URL match is only a bounded overlap screen.,0,
