market,endpoint_date,property_type,listings
austin,2026-08-30,Room in boutique hotel,27
austin,2026-08-30,Room in hotel,582
austin,2026-08-30,Shared room in hotel,2
austin,2026-08-30,Room in bed and breakfast,2
barcelona,2026-08-29,Room in serviced apartment,18
barcelona,2026-08-29,Room in boutique hotel,128
barcelona,2026-08-29,Room in hostel,13
barcelona,2026-08-29,Room in hotel,626
barcelona,2026-08-29,Shared room in boutique hotel,1
barcelona,2026-08-29,Shared room in hotel,28
chicago,2026-08-30,Room in boutique hotel,13
chicago,2026-08-30,Room in bed and breakfast,9
chicago,2026-08-30,Room in serviced apartment,5
chicago,2026-08-30,Room in hotel,390
london,2026-08-30,Room in serviced apartment,41
london,2026-08-30,Room in hotel,1457
london,2026-08-30,Room in boutique hotel,184
london,2026-08-30,Room in bed and breakfast,12
london,2026-08-30,Room in aparthotel,2
london,2026-08-30,Room in hostel,8
london,2026-08-30,Shared room in hotel,44
london,2026-08-30,Room in rental unit,5
los-angeles,2026-08-21,Room in boutique hotel,122
los-angeles,2026-08-21,Room in hotel,1531
los-angeles,2026-08-21,Room in serviced apartment,1
los-angeles,2026-08-21,Room in hostel,4
los-angeles,2026-08-21,Room in bed and breakfast,10
los-angeles,2026-08-21,Shared room in hotel,13
mexico-city,2026-09-03,Room in serviced apartment,24
mexico-city,2026-09-03,Room in boutique hotel,157
mexico-city,2026-09-03,Room in bed and breakfast,8
mexico-city,2026-09-03,Room in hotel,909
mexico-city,2026-09-03,Room in aparthotel,2
mexico-city,2026-09-03,Room in casa particular,2
mexico-city,2026-09-03,Shared room in hotel,27
mexico-city,2026-09-03,Room in hostel,1
mexico-city,2026-09-03,Shared room in boutique hotel,4
nashville,2026-08-30,Room in boutique hotel,63
nashville,2026-08-30,Room in hotel,351
nashville,2026-08-30,Shared room in boutique hotel,1
new-orleans,2026-08-27,Room in boutique hotel,80
new-orleans,2026-08-27,Room in hotel,815
new-orleans,2026-08-27,Room in bed and breakfast,11
new-orleans,2026-08-27,Room in condo,5
new-orleans,2026-08-27,Shared room in hotel,1
new-york-city,2026-08-21,Room in boutique hotel,223
new-york-city,2026-08-21,Room in hotel,2009
new-york-city,2026-08-21,Room in serviced apartment,22
new-york-city,2026-08-21,Room in bed and breakfast,1
new-york-city,2026-08-21,Room in rental unit,1
paris,2026-08-29,Room in hotel,1727
paris,2026-08-29,Room in boutique hotel,573
paris,2026-08-29,Shared room in hotel,34
paris,2026-08-29,Room in serviced apartment,15
paris,2026-08-29,Room in bed and breakfast,4
paris,2026-08-29,Room in aparthotel,1
paris,2026-08-29,Shared room in boutique hotel,2
rome,2026-08-31,Room in bed and breakfast,46
rome,2026-08-31,Room in boutique hotel,264
rome,2026-08-31,Room in serviced apartment,48
rome,2026-08-31,Room in hotel,643
rome,2026-08-31,Room in aparthotel,5
rome,2026-08-31,Room in hostel,23
rome,2026-08-31,Shared room in hotel,11
san-diego,2026-08-30,Room in boutique hotel,55
san-diego,2026-08-30,Room in hotel,665
san-diego,2026-08-30,Hotel room,4
san-diego,2026-08-30,Room in home,5
san-diego,2026-08-30,Room in aparthotel,2
san-diego,2026-08-30,Shared room in hotel,2
san-diego,2026-08-30,Room in tent,2
san-diego,2026-08-30,Room in hostel,2
sydney,2026-08-28,Room in boutique hotel,118
sydney,2026-08-28,Room in hostel,1
sydney,2026-08-28,Room in hotel,207
sydney,2026-08-28,Room in aparthotel,6
sydney,2026-08-28,Room in serviced apartment,11
sydney,2026-08-28,Shared room in hotel,1
