sha256,market,snapshot_start,panels,references,local_paths
05b36f48642875c2ed5572922fdbd729f997ccad0f578c8f72d645eb59a27d0f,cape-town,2025-09-28,archive25,1,data/raw/listing_churn_archive/cape-town_2025-09-28_listings.csv.gz
0b8ad07386181b3133231a07832d52988acd9dc3786354ddff3994c5737ca781,nashville,2026-08-27,historical13,1,data/raw/listing_churn_panel/nashville_2026-08-27_listings.csv.gz
0fa8a7daf6a512d2aefd30005b098333171cf82e5f266f5f79ffa9fc7f896413,mexico-city,2026-08-30,historical13,1,data/raw/listing_churn_panel/mexico-city_2026-08-30_listings.csv.gz
10eb56b21ec71a838b30ef47b836f3d375269baeed5ff9e5c35ff3c6a98d3ca7,new-york-city,2026-06-14,archive25,1,data/raw/listing_churn_panel/new-york-city_2026-06-14_listings.csv.gz
15b9411c25c15e501c36e6f818b52244b3d1a22aca0ed94580cef93208e0dd34,lisbon,2025-09-21,archive25,1,data/raw/listing_churn_archive/lisbon_2025-09-21_listings.csv.gz
1845748e8fd26473eb72874bb11110a6ad5d45d24c74c2cea480eb72ddde1bce,lisbon,2026-06-23,archive25,1,data/raw/listing_churn_archive/lisbon_2026-06-23_listings.csv.gz
18e0f5c631759b6588503b513f21af6045fd883467a39b2d9903bc97d36bd9a9,madrid,2026-06-20,archive25,1,data/raw/listing_churn_archive/madrid_2026-06-20_listings.csv.gz
218e019511c2067d913602bb71877b8b6dab8e155c8c43e44ebb5da4a2e97f19,madrid,2025-09-14,archive25,1,data/raw/listing_churn_archive/madrid_2025-09-14_listings.csv.gz
22a2718d68eba3d2e6644fb4e8e09cb465454bb1cac81b4e9be6b40b90acc345,chicago,2025-09-22,archive25 | historical13,2,data/raw/listing_churn_execution/chicago_2025-09-22_listings.csv.gz
2414dcd366ab2e197e4bf7660fa27ffbe95de645201b89cb3a0bd9f6a995081d,los-angeles,2026-08-10,historical13,1,data/raw/listing_churn_panel/los-angeles_2026-08-10_listings.csv.gz
2952261ea249a5d5754981a5808c05a96c5ee5a1646390433766606647d7d198,berlin,2026-06-26,archive25,1,data/raw/listing_churn_archive/berlin_2026-06-26_listings.csv.gz
2dbbbc7a4ac85a9810f3480bfb49dafa5037d6b6f7364f57855c00a8d73f37fa,cape-town,2026-06-29,archive25,1,data/raw/listing_churn_archive/cape-town_2026-06-29_listings.csv.gz
2e4e28b448a79e3715dcf5bd14938a59a27a172a491d1e79c2411e24de8c3d3a,austin,2026-08-25,historical13,1,data/raw/listing_churn_panel/austin_2026-08-25_listings.csv.gz
327fd97a1daca2cb2f7a62d03509f1ea837b77fcb0b4cd606791c199eb0389d3,new-york-city,2026-08-10,historical13,1,data/raw/listing_churn_panel/new-york-city_2026-08-10_listings.csv.gz
3371fda770bae5e262218535c2db2393bf2b757e488cc6b0b4de07d797a169e4,nashville,2026-06-26,archive25,1,data/raw/listing_churn_panel/nashville_2026-06-26_listings.csv.gz
41c4cc24e643c2b08fc9b42ccd42e0a42fb6afb3204c925274681944a59a663d,san-francisco,2025-09-01,archive25,1,data/raw/listing_churn_archive/san-francisco_2025-09-01_listings.csv.gz
43b5424edbc322083063e7460a5412e0bd61590359c481286311fba5b17d9f01,singapore,2025-09-28,archive25,1,data/raw/listing_churn_archive/singapore_2025-09-28_listings.csv.gz
