market,snapshot_start,expected_rows,source_partial_scope,source_partial_scope_pit,url,source_commit,checked_at_utc,status,acquisition,rows,snapshot_complete,bytes,sha256,local_path,error
austin,2025-09-16,10533,True,True,https://data.insideairbnb.com/united-states/tx/austin/2025-09-16/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:38:04.836284+00:00,ok,downloaded,10533,2025-09-17,6496388,f3f243214fd5d3c209c36b9fbde54cd11e0a23591a813d1beff130ac781b090f,data/raw/listing_churn_panel/austin_2025-09-16_listings.csv.gz,
austin,2026-08-25,11079,False,False,https://data.insideairbnb.com/united-states/tx/austin/2026-08-25/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:38:23.618495+00:00,ok,downloaded,11079,2026-08-30,6807388,2e4e28b448a79e3715dcf5bd14938a59a27a172a491d1e79c2411e24de8c3d3a,data/raw/listing_churn_panel/austin_2026-08-25_listings.csv.gz,
barcelona,2025-09-14,19410,False,False,https://data.insideairbnb.com/spain/catalonia/barcelona/2025-09-14/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:38:27.024055+00:00,ok,downloaded,19410,2025-09-15,9709188,f6e61e1d11e301b5d7fbf0888db7037a04fb22df0b44182c04e41075d38abb83,data/raw/listing_churn_panel/barcelona_2025-09-14_listings.csv.gz,
barcelona,2026-08-23,16227,False,False,https://data.insideairbnb.com/spain/catalonia/barcelona/2026-08-23/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:38:46.229567+00:00,ok,downloaded,16227,2026-08-29,8477631,5934d6741afe7d3c0e4d82079c041fe6abf3e94fd0a19855126305cf73873ac7,data/raw/listing_churn_panel/barcelona_2026-08-23_listings.csv.gz,
chicago,2025-09-22,8660,False,False,https://data.insideairbnb.com/united-states/il/chicago/2025-09-22/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:38:47.720782+00:00,ok,reused,8660,2025-09-24,5023259,22a2718d68eba3d2e6644fb4e8e09cb465454bb1cac81b4e9be6b40b90acc345,data/raw/listing_churn_execution/chicago_2025-09-22_listings.csv.gz,
chicago,2026-08-27,8778,False,False,https://data.insideairbnb.com/united-states/il/chicago/2026-08-27/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:38:57.493870+00:00,ok,reused,8778,2026-08-30,5136706,76ae8416baa9285af75de0656c73bdf66382d3f69a33879280ae5c7f4f9e0456,data/raw/listing_churn_execution/chicago_2026-08-27_listings.csv.gz,
london,2025-09-14,96871,False,False,https://data.insideairbnb.com/united-kingdom/england/london/2025-09-14/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:38:59.597684+00:00,ok,downloaded,96871,2025-09-18,50398406,6de13f7e0febbe7fef99cac582b6961551dd0644393f947fe4c1ed41cd830231,data/raw/listing_churn_panel/london_2025-09-14_listings.csv.gz,
london,2026-08-18,92783,False,False,https://data.insideairbnb.com/united-kingdom/england/london/2026-08-18/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:40:11.452785+00:00,ok,downloaded,92783,2026-08-30,49457969,a86616837b1e65029afb951d0c1b828b97bb96b609efb07296d4c6fb9d644e2a,data/raw/listing_churn_panel/london_2026-08-18_listings.csv.gz,
los-angeles,2025-09-01,45886,False,False,https://data.insideairbnb.com/united-states/ca/los-angeles/2025-09-01/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:40:18.719339+00:00,ok,downloaded,45886,2025-09-03,26396776,ee8673930b70c6563f7ad42f90fa02595ee495bd0e9c2a6186ad310442cab024,data/raw/listing_churn_panel/los-angeles_2025-09-01_listings.csv.gz,
los-angeles,2026-08-10,43735,False,False,https://data.insideairbnb.com/united-states/ca/los-angeles/2026-08-10/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:41:10.721221+00:00,ok,downloaded,43735,2026-08-21,27011905,2414dcd366ab2e197e4bf7660fa27ffbe95de645201b89cb3a0bd9f6a995081d,data/raw/listing_churn_panel/los-angeles_2026-08-10_listings.csv.gz,
mexico-city,2025-09-27,27051,False,False,https://data.insideairbnb.com/mexico/df/mexico-city/2025-09-27/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:41:19.887000+00:00,ok,downloaded,27051,2025-09-28,14513553,af74baa1264a4bb54ad674fc0becc45180afbc4a0ab6e56028ff62941565f78f,data/raw/listing_churn_panel/mexico-city_2025-09-27_listings.csv.gz,
mexico-city,2026-08-30,30621,False,False,https://data.insideairbnb.com/mexico/df/mexico-city/2026-08-30/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:41:48.928121+00:00,ok,downloaded,30621,2026-09-03,17242251,0fa8a7daf6a512d2aefd30005b098333171cf82e5f266f5f79ffa9fc7f896413,data/raw/listing_churn_panel/mexico-city_2026-08-30_listings.csv.gz,
nashville,2025-09-23,9443,False,False,https://data.insideairbnb.com/united-states/tn/nashville/2025-09-23/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:41:51.615002+00:00,ok,downloaded,9443,2025-09-24,5675145,ee4b83816a465be3df5b645ca510c38aba3ad9bab17e275c3377488a54c07e32,data/raw/listing_churn_panel/nashville_2025-09-23_listings.csv.gz,
nashville,2026-08-27,10164,False,False,https://data.insideairbnb.com/united-states/tn/nashville/2026-08-27/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:42:06.159067+00:00,ok,downloaded,10164,2026-08-30,6097820,0b8ad07386181b3133231a07832d52988acd9dc3786354ddff3994c5737ca781,data/raw/listing_churn_panel/nashville_2026-08-27_listings.csv.gz,
new-orleans,2025-09-11,7444,False,False,https://data.insideairbnb.com/united-states/la/new-orleans/2025-09-11/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:42:08.855871+00:00,ok,downloaded,7444,2025-09-11,4011814,c3fb728312a94f5de58127cc1490d1018a805d547e7d6239a74b363f1e25cf4f,data/raw/listing_churn_panel/new-orleans_2025-09-11_listings.csv.gz,
new-orleans,2026-08-15,7303,False,False,https://data.insideairbnb.com/united-states/la/new-orleans/2026-08-15/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:42:18.553606+00:00,ok,downloaded,7303,2026-08-27,3883338,c029e69b94867586d4816402324bf38c67c2eb1ab3dd3e95a3663c384a213c0a,data/raw/listing_churn_panel/new-orleans_2026-08-15_listings.csv.gz,
new-york-city,2025-10-01,36111,False,False,https://data.insideairbnb.com/united-states/ny/new-york-city/2025-10-01/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:42:20.139529+00:00,ok,downloaded,36111,2025-10-02,17748368,a50efc7b11ef0a0786e38787ae2d4f47af1009943a1049503b676cc4b770fcbd,data/raw/listing_churn_panel/new-york-city_2025-10-01_listings.csv.gz,
new-york-city,2026-08-10,30234,False,False,https://data.insideairbnb.com/united-states/ny/new-york-city/2026-08-10/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:42:53.290370+00:00,ok,downloaded,30234,2026-08-21,15464132,327fd97a1daca2cb2f7a62d03509f1ea837b77fcb0b4cd606791c199eb0389d3,data/raw/listing_churn_panel/new-york-city_2026-08-10_listings.csv.gz,
paris,2025-09-12,81853,False,False,https://data.insideairbnb.com/france/ile-de-france/paris/2025-09-12/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:42:54.845851+00:00,ok,downloaded,81853,2025-09-15,42604503,b98d554eb4d06bf2d598c14b74bd2d5cd92efb5e721eadd85a5640ac1a78d533,data/raw/listing_churn_panel/paris_2025-09-12_listings.csv.gz,
paris,2026-08-15,78504,False,False,https://data.insideairbnb.com/france/ile-de-france/paris/2026-08-15/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:43:56.079630+00:00,ok,downloaded,78504,2026-08-29,41661490,5a06b32e4776e705876ef09971acd2085f64e68de4fe10f04aecc8efd0a8281b,data/raw/listing_churn_panel/paris_2026-08-15_listings.csv.gz,
rome,2025-09-14,37652,False,False,https://data.insideairbnb.com/italy/lazio/rome/2025-09-14/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:44:07.423337+00:00,ok,downloaded,37652,2025-09-15,21497755,9757b333ba13f7185a386dc02ec72c492437129561f40c53880f0cda0298f8ea,data/raw/listing_churn_panel/rome_2025-09-14_listings.csv.gz,
rome,2026-08-25,37483,False,False,https://data.insideairbnb.com/italy/lazio/rome/2026-08-25/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:44:52.862082+00:00,ok,downloaded,37483,2026-08-31,21975131,d27723c05e4baa34dbd44f8d24e4bb0591703623d817573b09838580c01f01bc,data/raw/listing_churn_panel/rome_2026-08-25_listings.csv.gz,
san-diego,2025-09-25,13162,False,False,https://data.insideairbnb.com/united-states/ca/san-diego/2025-09-25/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:44:58.697600+00:00,ok,reused,13162,2025-09-25,8378143,a95bcdd468102c1771fddfe88bc2c724187c8360b881b31005e51f74b33861f4,data/raw/listing_churn_execution/san-diego_2025-09-25_listings.csv.gz,
san-diego,2026-08-29,13342,False,False,https://data.insideairbnb.com/united-states/ca/san-diego/2026-08-29/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:45:20.526378+00:00,ok,reused,13342,2026-08-30,8568466,6c9c3e359fb063e0b07d8533d54a42f681efec98cd6361baf1561ef5ef19cbd3,data/raw/listing_churn_execution/san-diego_2026-08-29_listings.csv.gz,
sydney,2025-09-12,17730,False,False,https://data.insideairbnb.com/australia/nsw/sydney/2025-09-12/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:45:20.710286+00:00,ok,downloaded,17730,2025-09-12,10561421,6d886ebee5f16c3ca96494f5bd36da0bfec8a8d628d227a96abe960e7a48d2d4,data/raw/listing_churn_panel/sydney_2025-09-12_listings.csv.gz,
sydney,2026-08-15,20767,False,False,https://data.insideairbnb.com/australia/nsw/sydney/2026-08-15/data/listings.csv.gz,df833f5f3980078beef09c1327940bfa58d57acf,2026-09-07T18:45:35.061075+00:00,ok,downloaded,20767,2026-08-28,12742541,e51f645c60c2059561cabba9766d3ccdc6be72185d6a3a9f7d6bb4bbf687ce0c,data/raw/listing_churn_panel/sydney_2026-08-15_listings.csv.gz,
