market,hotel_rooms,room_count_qualifier,independent_rooms,independent_room_share,vintage,geography,source_id,limitation,hotel_establishments,boutique_establishments,boutique_available_room_nights,available_period_days,named_boutique_example_units,all_accommodation_rooms,independent_rooms_derived_or_reported,independent_rooms_calculated,annual_physical_independent_roomnight_capacity,boutique_eligible_rooms,boutique_average_daily_available_rooms
amsterdam,42000,approximately,,,2023,HVS Amsterdam hotel market,HOTEL-AMS,No numerical independent share; not a 2026 census,,,,,,,,False,,,
austin,51000,approximately,,,undated; retrieved 2026-09-07,Visit Austin citywide destination definition,HOTEL-AUS,Geography not reconciled to Inside Airbnb; independent classification not available,,,,,,,,False,,,
bangkok,147379,reported; tracked 2-5 star inventory,,,2025-Q4,Bangkok citywide tracked hotel submarkets,HOTEL-BKK,Room inventory by 2-5 star categories; no independent classification,,,,,,,,False,,,
barcelona,40166,reported,,,2024-09,Barcelona municipality,HOTEL-BCN,447 hotels; 78353 beds are not rooms; no independent classification,,,,,,,,False,,,
berlin,69500,more than,,,2023,Berlin hotel market,HOTEL-BER,640 hotels; current independent share unknown,,,,,,,,False,,,
buenos-aires,,available room nights are not physical rooms,,,2026-03,Ciudad Autonoma de Buenos Aires,HOTEL-BUE,"44 boutique establishments, 34348 boutique available room nights during 31 days = 1108 average daily open rooms. Total 681225 available room/unit nights includes apart hotels. No independence verification",307,44,34348,31,,,,False,,,1108.0
cape-town,,no verified city room-stock denominator,,,2025-07-31,Cape Town CBD; named properties only,HOTEL-CPT,"The Trade 50 rooms, Labotessa 7 suites, Gorgeous George 32 rooms: 89 units in three examples, not city TAM. Design Hotels affiliation shows boutique is not identical to unbranded",,,,,89,,,False,,,
chicago,46000,approximately; search-index evidence only,,,undated; indexed 2026-09-07,Central Business District,HOTEL-CHI,Direct page returned 403; provisional all-hotel denominator; excludes other city hotels,,,,,,,,False,,,
lisbon,32000,approximately,,,2023,Lisbon metropolitan area,HOTEL-LIS,"Qualitative independent dominance is not a numeric share; metropolitan, not municipality",,,,,,,,False,,,
london,174000,approximately,,,2025-Q1,London; serviced accommodation,HOTEL-LON,Broader serviced-accommodation definition; no current independent share verified,,,,,,,,False,,,
los-angeles,98600,more than,,,undated benchmark; page contains 2023 context,Los Angeles destination region,HOTEL-LAX,Not a September 2026 city census or independent hotel TAM,,,,,,,,False,,,
madrid,39656,calculated hotel-only category sum,,,2026-07; provisional,Municipality of Madrid,HOTEL-MAD,"6589+23507+5874+3686 hotel rooms; excludes 8422 hostal rooms from total 48078. Estimated open monthly stock, no chain classification",,,,,,,,False,,,
mexico-city,66000,more than; search-index evidence only,,,2025-09,Ciudad de Mexico,HOTEL-MEX,"Direct page fetch failed; provisional. 109 five-star and boutique hotels is a combined category, not 109 boutique hotels",,,,,,,,False,,,
milan,,hotel-room count not identified,,,2025-09; provisional,Municipality of Milan,HOTEL-MIL,491 hotel establishments; 57295 hotel beds are not rooms. 74685 rooms include non-hotel accommodation; neither is substituted for hotel rooms,491,,,,,74685,,False,,,
nashville,42156,reported,,,page updated 2025-09-19,Davidson County,HOTEL-BNA,Do not substitute 60933 MSA rooms; independent share unknown,,,,,,,,False,,,
new-orleans,26000,more than,,,undated; retrieved 2026-09-07,Downtown only,HOTEL-MSY,Not whole-city supply; independent share unknown,,,,,,,,False,,,
new-york-city,,not separately taken from source,38000,0.32,2024-09-19,CoStar New York City market,HOTEL-NYC,Rounded historical independent room count in public abstract; full report paywalled; not all boutique or currently live,,,,,,,38000,False,13870000,,
paris,92800,approximately,,0.55,2023 year end; report 2024-05,HVS Paris market definition,HOTEL-PAR,1680 hotels; do not mix HVS geography with municipal census or treat as 2026 live eligible stock,,,,,,,51040.00000000001,True,18629600.000000004,,
rio-de-janeiro,,no verified current denominator,,,undated historical bid; 2024 event title is not observation date,Rio de Janeiro; boundary unverified,HOTEL-RIO,Search-index lead mentions 42841 rooms; direct source returns 404 and vintage cannot be established. Number deliberately excluded from quantitative anchors,,,,,,,,False,,,
rome,48747,reported,,,2024 year end,Roma Capitale,HOTEL-ROM,Alberghi only; excludes 657 rooms in hotel dependencies; no matched chain classification,,,,,,,,False,,,
san-diego,40158,reported,,,tourism fact sheet with CY2025 context,City of San Diego,HOTEL-SAN,Do not use 68954 county rooms for city TAM; independent share unknown,,,,,,,,False,,,
san-francisco,35527,reported annual average,,,2024,San Francisco city and county,HOTEL-SFO,253 hotels; STR series; no independent classification,,,,,,,,False,,,
singapore,79566,reported accommodation keys,,,2026-04,Singapore; HVS tracked accommodation,HOTEL-SIN,Tracked accommodation supply; do not infer current independent share from branded pipeline share,,,,,,,,False,,,
sydney,24990,reported,,,2025-06-30,City of Sydney local government area,HOTEL-SYD,Hotel rooms distinct from serviced apartments; not Greater Sydney; independent share unknown,,,,,,,,False,,,
tokyo,212888,reported; broader lodging category,,,2025-03,Tokyo in Ministry of Health Labour and Welfare series,HOTEL-TYO,Includes hotels and ryokan/lodging; 5858 facilities; no independent classification,,,,,,,,False,,,
