market,country,selection_group,selection_reason,hotel_rooms,room_count_qualifier,independent_rooms,independent_room_share,vintage,geography,source_id,limitation,hotel_establishments,boutique_establishments,boutique_available_room_nights,available_period_days,named_boutique_example_units,all_accommodation_rooms,independent_rooms_derived_or_reported,independent_rooms_calculated,annual_physical_independent_roomnight_capacity,boutique_eligible_rooms,boutique_average_daily_available_rooms,source_url,source_access,listing_panel_baseline_date,listing_panel_endpoint_date,listing_panel_interval_days,listing_panel_pair_eligible,listing_panel_exclusion,listing_panel_baseline_listings,listing_panel_baseline_unique_host_ids,listing_panel_baseline_boutique_tagged,listing_panel_baseline_min_nights_le2,listing_panel_baseline_number_of_reviews_ltm,listing_panel_baseline_number_of_reviews_ltm_observed_sum,listing_panel_baseline_number_of_reviews_ltm_missing,listing_panel_baseline_number_of_reviews_ltm_positive,listing_panel_baseline_number_of_reviews_l30d,listing_panel_baseline_number_of_reviews_l30d_observed_sum,listing_panel_baseline_number_of_reviews_l30d_missing,listing_panel_baseline_number_of_reviews_l30d_positive,listing_panel_endpoint_listings,listing_panel_endpoint_unique_host_ids,listing_panel_endpoint_boutique_tagged,listing_panel_endpoint_min_nights_le2,listing_panel_endpoint_number_of_reviews_ltm,listing_panel_endpoint_number_of_reviews_ltm_observed_sum,listing_panel_endpoint_number_of_reviews_ltm_missing,listing_panel_endpoint_number_of_reviews_ltm_positive,listing_panel_endpoint_number_of_reviews_l30d,listing_panel_endpoint_number_of_reviews_l30d_observed_sum,listing_panel_endpoint_number_of_reviews_l30d_missing,listing_panel_endpoint_number_of_reviews_l30d_positive,listing_panel_retained_hotel_ids,listing_panel_new_to_panel_hotel_ids,listing_panel_recategorized_into_hotel,listing_panel_absent_baseline_hotel_ids,listing_panel_recategorized_out_of_hotel,listing_panel_retained_baseline_listings,listing_panel_retained_baseline_unique_host_ids,listing_panel_retained_baseline_boutique_tagged,listing_panel_retained_baseline_min_nights_le2,listing_panel_retained_baseline_number_of_reviews_ltm,listing_panel_retained_baseline_number_of_reviews_ltm_observed_sum,listing_panel_retained_baseline_number_of_reviews_ltm_missing,listing_panel_retained_baseline_number_of_reviews_ltm_positive,listing_panel_retained_baseline_number_of_reviews_l30d,listing_panel_retained_baseline_number_of_reviews_l30d_observed_sum,listing_panel_retained_baseline_number_of_reviews_l30d_missing,listing_panel_retained_baseline_number_of_reviews_l30d_positive,listing_panel_retained_listings,listing_panel_retained_unique_host_ids,listing_panel_retained_boutique_tagged,listing_panel_retained_min_nights_le2,listing_panel_retained_number_of_reviews_ltm,listing_panel_retained_number_of_reviews_ltm_observed_sum,listing_panel_retained_number_of_reviews_ltm_missing,listing_panel_retained_number_of_reviews_ltm_positive,listing_panel_retained_number_of_reviews_l30d,listing_panel_retained_number_of_reviews_l30d_observed_sum,listing_panel_retained_number_of_reviews_l30d_missing,listing_panel_retained_number_of_reviews_l30d_positive,listing_panel_new_to_panel_listings,listing_panel_new_to_panel_unique_host_ids,listing_panel_new_to_panel_boutique_tagged,listing_panel_new_to_panel_min_nights_le2,listing_panel_new_to_panel_number_of_reviews_ltm,listing_panel_new_to_panel_number_of_reviews_ltm_observed_sum,listing_panel_new_to_panel_number_of_reviews_ltm_missing,listing_panel_new_to_panel_number_of_reviews_ltm_positive,listing_panel_new_to_panel_number_of_reviews_l30d,listing_panel_new_to_panel_number_of_reviews_l30d_observed_sum,listing_panel_new_to_panel_number_of_reviews_l30d_missing,listing_panel_new_to_panel_number_of_reviews_l30d_positive,listing_panel_new_ids_first_review_after_baseline,listing_panel_new_ids_first_review_before_baseline,listing_panel_retained_missing_lifetime_review_delta_ids,listing_panel_retained_lifetime_review_delta_nonnegative,listing_panel_retained_negative_review_delta_ids,listing_panel_listings_growth,listing_panel_number_of_reviews_ltm_growth,listing_panel_number_of_reviews_l30d_growth,listing_panel_ltm_reviews_per_listing_baseline,listing_panel_ltm_reviews_per_listing_endpoint,listing_panel_l30d_reviews_per_listing_baseline,listing_panel_l30d_reviews_per_listing_endpoint
amsterdam,The Netherlands,geographic_extension,European urban comparison with existing history,42000,approximately,,,2023,HVS Amsterdam hotel market,HOTEL-AMS,No numerical independent share; not a 2026 census,,,,,,,,False,,,,https://www.hvs.com/Print/Amsterdam-Market-Pulse-2024-Full-Recovery-in-Sight?id=9917,Public report: approximately 42000 hotel rooms in 2023,2025-09-11,2026-06-24,286,True,,427,85,105,409,12248,12248,0,275,1147,1147,0,158,461,100,87,453,10229,10229,0,308,745,745,0,174,284,176,1,140,3,284,67,79,276,8769,8769,0,190,762,762,0,112,284,67,79,278,8661,8661,0,189,531,531,0,113,176,44,8,174,1549,1549,0,118,214,214,0,61,80,39,0,6246,14,0.07962529274004693,-0.16484323971260617,-0.3504795117698344,28.68384074941452,22.188720173535792,2.6861826697892273,1.616052060737527
austin,United States,existing_panel,Retain the original team market; coverage exclusion remains visible,51000,approximately,,,undated; retrieved 2026-09-07,Visit Austin citywide destination definition,HOTEL-AUS,Geography not reconciled to Inside Airbnb; independent classification not available,,,,,,,,False,,,,https://www.austintexas.org/meeting-professionals/,official destination page,2025-09-17,2026-07-02,288,False,Baseline or endpoint flagged by team or below 50% of maximum selected snapshot count,260,53,15,191,2074,2074,0,73,154,154,0,41,581,87,27,501,2745,2745,0,139,260,260,0,51,191,390,0,66,3,191,39,13,124,1977,1977,0,56,137,137,0,32,191,39,14,144,2228,2228,0,61,187,187,0,24,390,68,13,357,517,517,0,78,73,73,0,27,54,47,0,1493,1,1.2346153846153847,0.32352941176470584,0.6883116883116882,7.976923076923077,4.724612736660929,0.5923076923076923,0.4475043029259897
bangkok,Thailand,geographic_extension,Southeast Asian urban comparison with existing history,147379,reported; tracked 2-5 star inventory,,,2025-Q4,Bangkok citywide tracked hotel submarkets,HOTEL-BKK,Room inventory by 2-5 star categories; no independent classification,,,,,,,,False,,,,https://assets.cushmanwakefield.com/-/media/cw/marketbeat-pdfs/2025/q4/apac-and-gc/bangkok-hotel-mb-4q2025-final.pdf?rev=a1581457d3634b5fa05e6c35ddc8aedd,Full public report and inventory table: 147379 hotel rooms,2025-09-28,2026-07-02,277,True,,2471,508,406,2405,5437,5437,0,678,256,256,0,125,3001,566,367,2913,6114,6114,0,790,204,204,0,116,1948,1036,17,508,15,1948,387,338,1896,4968,4968,0,590,228,228,0,114,1948,390,336,1906,4744,4744,0,528,121,121,0,71,1036,224,20,990,1214,1214,0,250,79,79,0,41,233,41,0,3798,20,0.21448806151355737,0.12451719698363073,-0.203125,2.2003237555645487,2.037320893035655,0.10360178065560502,0.06797734088637121
barcelona,Spain,existing_panel,Retain the original team market,40166,reported,,,2024-09,Barcelona municipality,HOTEL-BCN,447 hotels; 78353 beds are not rooms; no independent classification,,,,,,,,False,,,,https://tdbnews.barcelonaturisme.com/wp-content/uploads/2024/10/2409_Oferta-hotelera.pdf,"publicly accessible PDF; source footer notes distribution restriction, raw report not included in deliverables",2025-09-15,2026-07-03,291,True,,678,163,176,676,11512,11512,0,405,1083,1083,0,215,602,170,134,598,10186,10186,0,378,685,685,0,189,474,128,0,203,1,474,127,115,472,9047,9047,0,302,869,869,0,176,474,127,115,473,9355,9355,0,301,542,542,0,142,128,57,19,125,831,831,0,77,143,143,0,47,54,27,0,6839,24,-0.11209439528023601,-0.11518415566365536,-0.36749769159741463,16.979351032448378,16.920265780730897,1.5973451327433628,1.1378737541528239
berlin,Germany,geographic_extension,European urban comparison with existing history,69500,more than,,,2023,Berlin hotel market,HOTEL-BER,640 hotels; current independent share unknown,,,,,,,,False,,,,https://www.hvs.com/Print/Berlin-Market-Pulse-2024-A-Bright-Outlook?id=9980,Public report: 640 hotels and more than 69500 rooms in 2023,2025-09-24,2026-07-03,282,True,,501,136,63,467,7882,7882,0,311,599,599,0,149,508,140,52,484,6744,6744,0,323,501,501,0,152,409,96,3,89,3,409,114,50,382,6079,6079,0,255,399,399,0,121,409,114,50,388,6214,6214,0,262,421,421,0,119,96,40,1,93,499,499,0,58,80,80,0,33,52,6,0,4347,0,0.013972055888223478,-0.1443795990865263,-0.1636060100166945,15.732534930139721,13.275590551181102,1.1956087824351298,0.9862204724409449
buenos-aires,Argentina,geographic_extension,Latin American urban comparison with existing history,,available room nights are not physical rooms,,,2026-03,Ciudad Autonoma de Buenos Aires,HOTEL-BUE,"44 boutique establishments, 34348 boutique available room nights during 31 days = 1108 average daily open rooms. Total 681225 available room/unit nights includes apart hotels. No independence verification",307,44,34348,31,,,,False,,,1108.0,https://www.estadisticaciudad.gob.ar/eyc/wp-content/uploads/2025/12/Ehoba_1_ano.xlsx,Downloaded official XLSX: 307 hotel-category establishments including apart hotels; boutique 44 establishments and 34348 available room nights; definition explicitly multiplies rooms by days open,2025-09-28,2026-07-02,277,True,,170,50,39,161,703,703,0,85,79,79,0,31,401,83,43,383,2011,2011,0,177,117,117,0,57,121,276,4,45,4,121,39,33,117,560,560,0,60,66,66,0,26,121,39,33,115,1021,1021,0,77,36,36,0,16,276,58,6,264,774,774,0,96,73,73,0,37,78,27,0,835,0,1.3588235294117648,1.860597439544808,0.481012658227848,4.135294117647059,5.014962593516209,0.4647058823529412,0.29177057356608477
cape-town,South Africa,geographic_extension,African urban comparison with existing history,,no verified city room-stock denominator,,,2025-07-31,Cape Town CBD; named properties only,HOTEL-CPT,"The Trade 50 rooms, Labotessa 7 suites, Gorgeous George 32 rooms: 89 units in three examples, not city TAM. Design Hotels affiliation shows boutique is not identical to unbranded",,,,,89,,,False,,,,https://www.capetownccid.org/news/cape-towns-small-luxury-hotels-magnet-visitors,Full district report: names independent boutique properties and room/suite counts; citywide denominator absent,2025-09-29,2026-07-03,277,True,,433,102,164,414,1164,1164,0,106,75,75,0,24,312,92,126,304,1345,1345,0,114,60,60,0,20,180,123,9,243,10,180,67,106,176,963,963,0,71,70,70,0,22,180,67,106,174,1082,1082,0,71,41,41,0,16,123,30,11,121,211,211,0,35,19,19,0,4,35,1,0,859,1,-0.27944572748267893,0.15549828178694147,-0.19999999999999996,2.6882217090069283,4.310897435897436,0.17321016166281755,0.19230769230769232
chicago,United States,existing_panel,Retain the original team market,46000,approximately; search-index evidence only,,,undated; indexed 2026-09-07,Central Business District,HOTEL-CHI,Direct page returned 403; provisional all-hotel denominator; excludes other city hotels,,,,,,,,False,,,,https://www.choosechicago.com/meeting-planners/plan-your-chicago-meeting/chicago-meeting-ideas/one-community-approach/,search-index snippet; direct page returned 403,2025-09-24,2026-07-03,282,True,,335,53,24,249,5042,5042,0,169,577,577,0,83,374,58,13,289,4811,4811,0,180,350,350,0,85,233,140,1,98,4,233,37,10,171,2585,2585,0,115,264,264,0,52,233,37,12,186,3839,3839,0,121,236,236,0,47,140,25,1,103,972,972,0,59,114,114,0,38,52,10,0,2983,0,0.11641791044776117,-0.04581515271717573,-0.3934142114384749,15.050746268656717,12.863636363636363,1.7223880597014924,0.9358288770053476
lisbon,Portugal,geographic_extension,European urban comparison with existing history,32000,approximately,,,2023,Lisbon metropolitan area,HOTEL-LIS,"Qualitative independent dominance is not a numeric share; metropolitan, not municipality",,,,,,,,False,,,,https://www.hvs.com/Print/Lisbon-Market-Pulse-2025-Award-Winning-City-Destination?id=10177,Public report: approximately 32000 hotel rooms in metropolitan area in 2023,2025-10-08,2026-07-03,268,True,,515,132,216,508,2531,2531,0,192,201,201,0,75,469,114,161,462,2242,2242,0,167,93,93,0,43,375,82,12,133,7,375,95,144,368,2073,2073,0,165,159,159,0,63,375,95,144,369,2218,2218,0,158,91,91,0,41,82,20,13,81,19,19,0,7,1,1,0,1,7,3,0,1627,0,-0.08932038834951461,-0.11418411694982222,-0.5373134328358209,4.914563106796116,4.780383795309168,0.39029126213592236,0.19829424307036247
london,United Kingdom,existing_panel,Retain the original team market and disclosed hotel destination,174000,approximately,,,2025-Q1,London; serviced accommodation,HOTEL-LON,Broader serviced-accommodation definition; no current independent share verified,,,,,,,,False,,,,https://data.london.gov.uk/blog/a-snapshot-of-tourist-accommodation-in-london/,full official analysis,2025-09-18,2026-07-01,286,True,,1374,297,217,1301,7783,7783,0,584,826,826,0,246,1477,306,180,1447,10418,10418,0,710,927,927,0,344,1017,392,68,349,8,1017,238,152,981,5705,5705,0,427,556,556,0,177,1017,238,159,990,7988,7988,0,454,564,564,0,197,392,99,15,389,1790,1790,0,224,335,335,0,137,211,21,0,6343,3,0.07496360989810769,0.3385583965052037,0.12227602905569013,5.66448326055313,7.053486797562627,0.6011644832605532,0.6276235612728503
