quarter,evaluable,consensus_status_a2,default_kernel_status,default_kernel_guide_musd,consensus_status_lane1,kernel_status,kernel_guide_musd,diagnostic_difference_musd
2021Q4,False,pit_usable_false: vintage_unknown: no contemporaneous next-quarter consensus retrievable; excluded from PIT use,No realised guide cushion before as_of,,no_strictly_earlier_attributed_vintage,unavailable,,
2022Q1,False,vendor_unattributed,No admissible same-season lambda observations: season=1; variant=ex_covid,,no_strictly_earlier_attributed_vintage,unavailable,,
2022Q2,False,vendor_unattributed,No admissible same-season lambda observations: season=2; variant=ex_covid,,no_strictly_earlier_attributed_vintage,unavailable,,
2022Q3,False,available,No admissible same-season lambda observations: season=3; variant=ex_covid,,no_strictly_earlier_attributed_vintage,unavailable,,
2022Q4,False,available,No admissible same-season lambda observations: season=4; variant=ex_covid,,no_strictly_earlier_attributed_vintage,unavailable,,
2023Q1,False,available,No admissible same-season lambda observations: season=1; variant=ex_covid,,no_strictly_earlier_attributed_vintage,unavailable,,
2023Q2,True,available,available,2435.665270113213,no_strictly_earlier_attributed_vintage,unavailable,2435.665270113213,0.0
2023Q3,False,available,No admissible same-season lambda observations: season=3; variant=ex_covid,,no_strictly_earlier_attributed_vintage,unavailable,,
2023Q4,True,available,available,2141.4449187070622,no_strictly_earlier_attributed_vintage,unavailable,2141.4449187070622,0.0
2024Q1,True,available,available,2051.9043840507834,no_strictly_earlier_attributed_vintage,unavailable,2051.9043840507834,0.0
2024Q2,True,available,available,2743.6535096912417,no_strictly_earlier_attributed_vintage,unavailable,2743.6535096912417,0.0
2024Q3,False,"pit_usable_false: vintage_unknown: this value appears only in 16_consensus_at_print_merged.csv, is absent from 04_consensus_at_print.csv, carries no as-of timestamp or url, and the same row's notes column says NEXT-QUARTER CONSENSUS NOT FOUND. Registered for audit; excluded from every PIT use.",available,3691.7903685246083,no_strictly_earlier_attributed_vintage,unavailable,,
2024Q4,True,available,available,2374.4305133170524,no_strictly_earlier_attributed_vintage,unavailable,2374.4305133170524,0.0
2025Q1,True,available,available,2328.4784046689074,no_strictly_earlier_attributed_vintage,unavailable,2328.4784046689074,0.0
2025Q2,True,available,available,2971.9858710181106,no_strictly_earlier_attributed_vintage,unavailable,2971.98587101811,4.547473508864641e-13
2025Q3,True,available,available,4036.466377130657,no_strictly_earlier_attributed_vintage,unavailable,4036.466377130657,0.0
2025Q4,True,available,available,2711.2967713197595,no_strictly_earlier_attributed_vintage,unavailable,2711.2967713197595,0.0
2026Q1,True,available,available,2649.170508020707,no_strictly_earlier_attributed_vintage,unavailable,2649.170508020707,0.0
2026Q2,True,available,available,3537.7603445991504,no_strictly_earlier_attributed_vintage,unavailable,3537.7603445991504,0.0
