variant,quarter,guide_date,n_train,intercept,slope,prediction_pct,actual_gap_pct,latest_training_date
default,2025Q2,2025-05-01,6,-0.772863614232602,0.10041901044449883,-0.9975317566209518,-0.6578947368421018,2025-02-13
default,2025Q3,2025-08-06,7,-0.7412807866546907,0.0579411393108937,-0.7606426021621894,0.24691358024691024,2025-05-01
default,2025Q4,2025-11-06,8,-0.6138242503738729,0.06181164788112661,-0.5182204493459941,0.7490636704119868,2025-08-06
default,2026Q1,2026-02-12,9,-0.45179804270971646,0.18278179983368473,0.4091584767811707,3.1620553359683834,2025-11-06
default,2026Q2,2026-05-07,10,-0.27242537861533755,0.48905044186823404,0.8266708897673393,3.1791907514450823,2026-02-12
ex_covid,2025Q2,2025-05-01,6,-0.772863614232602,0.10041901044449883,-0.9975317566209518,-0.6578947368421018,2025-02-13
ex_covid,2025Q3,2025-08-06,7,-0.7412807866546907,0.0579411393108937,-0.7606426021621894,0.24691358024691024,2025-05-01
ex_covid,2025Q4,2025-11-06,8,-0.6138242503738729,0.06181164788112661,-0.5182204493459941,0.7490636704119868,2025-08-06
ex_covid,2026Q1,2026-02-12,9,-0.45179804270971646,0.18278179983368473,0.4091584767811707,3.1620553359683834,2025-11-06
ex_covid,2026Q2,2026-05-07,10,-0.27242537861533755,0.48905044186823404,0.8266708897673393,3.1791907514450823,2026-02-12
full_sample,2024Q1,2024-02-13,6,-0.7993731009614491,0.5551546188298164,0.8521894550366751,0.9852216748768461,2023-11-01
full_sample,2024Q2,2024-05-08,7,-0.7676573804816813,0.5519737642335968,0.503125852224729,-1.0948905109489093,2024-02-13
full_sample,2024Q4,2024-11-07,8,-1.1656300110932492,0.6043521321731425,-1.7452872217215998,-0.20661157024793875,2024-05-08
full_sample,2025Q1,2025-02-13,9,-0.6706403230221749,0.5048765191891273,0.433224067953089,-2.1739130434782594,2024-11-07
full_sample,2025Q2,2025-05-01,10,-1.0508390769318554,0.5428053292148528,-1.6301636040067367,-0.6578947368421018,2025-02-13
full_sample,2025Q3,2025-08-06,11,-0.8373133116680203,0.49757757116192,-0.9257178107602693,0.24691358024691024,2025-05-01
full_sample,2025Q4,2025-11-06,12,-0.6512836438345104,0.4625540371613328,0.3825525217952548,0.7490636704119868,2025-08-06
full_sample,2026Q1,2026-02-12,13,-0.6204128699850384,0.4614827485405135,1.798809658080187,3.1620553359683834,2025-11-06
full_sample,2026Q2,2026-05-07,14,-0.6190901136954973,0.49711896636581643,0.9994184929432454,3.1791907514450823,2026-02-12
