quarter,guide_date,print_quarter,extension,consensus_musd,consensus_status,consensus_register_id,street_vendor,street_as_of,vendor_attributed,consensus_source_value,guide_mid_musd,guide_mid_lo,guide_mid_hi,actual_gap_pct,actual_gap_lo,actual_gap_hi,gbv_q_musd,gbv_q_minus_1_musd,actual_sign,default_kernel_status,default_kernel_guide_musd,default_signal_pct,default_base_musd,default_lambda_pct,default_variant,default_n_train,default_knowable_from,default_cushion,default_cushion_n,default_training_quarters,default_quantile_basis,default_q05,default_q10,default_q25,default_q50,default_q75,default_q90,default_q95,ex_covid_kernel_status,ex_covid_kernel_guide_musd,ex_covid_signal_pct,ex_covid_base_musd,ex_covid_lambda_pct,ex_covid_variant,ex_covid_n_train,ex_covid_knowable_from,ex_covid_cushion,ex_covid_cushion_n,ex_covid_training_quarters,ex_covid_quantile_basis,ex_covid_q05,ex_covid_q10,ex_covid_q25,ex_covid_q50,ex_covid_q75,ex_covid_q90,ex_covid_q95,full_sample_kernel_status,full_sample_kernel_guide_musd,full_sample_signal_pct,full_sample_base_musd,full_sample_lambda_pct,full_sample_variant,full_sample_n_train,full_sample_knowable_from,full_sample_cushion,full_sample_cushion_n,full_sample_training_quarters,full_sample_quantile_basis,full_sample_q05,full_sample_q10,full_sample_q25,full_sample_q50,full_sample_q75,full_sample_q90,full_sample_q95,signal_pct,evaluable,availability_reason,engine_as_of,unattributed_sensitivity_gap_pct,entry_date,excess_open_1d_pct,excess_open_5d_pct,excess_open_20d_pct,excess_open_60d_pct,gbv_consensus_status,gbv_consensus_vendor,gbv_consensus_stamp,gbv_consensus_register_id,gbv_consensus_musd,gbv_actual_musd,gbv_surprise_pct,revenue_consensus_status,revenue_consensus_vendor,revenue_consensus_stamp,revenue_consensus_register_id,revenue_consensus_musd,revenue_actual_musd,revenue_surprise_pct,previous_gap_sign
2021Q4,2021-11-04,2021Q3,True,,pit_usable_false: vintage_unknown: no contemporaneous next-quarter consensus retrievable; excluded from PIT use,PG-2021Q4-revenue,,,False,,1435.0,1434.5,1435.5,,,,11900.0,13400.0,,No realised guide cushion before as_of,,,,,,,,,,,,,,,,,,,No realised guide cushion before as_of,,,,,,,,,,,,,,,,,,,No realised guide cushion before as_of,,,,,,,,,,,,,,,,,,,,False,pit_usable_false: vintage_unknown: no contemporaneous next-quarter consensus retrievable; excluded from PIT use,2021-11-05,,2021-11-05,8.670467817555538,5.295388930346534,-6.194621873223526,-7.062500661484572,available,vendor_not_recorded,2021-11-04,AP-2021Q3-gbv,12310.0,11900.0,-3.3306255077172997,available,Refinitiv,2021-11-04,AP-2021Q3-revenue,2050.0,2237.0,9.121951219512203,
2022Q1,2022-02-15,2021Q4,True,,vendor_unattributed,PG-2022Q1-revenue,CNBC unattributed,2022-02-15,False,1240.0,1445.0,1444.5,1445.5,,,,11300.0,11900.0,,No admissible same-season lambda observations: season=1; variant=ex_covid,,,,,,,,,,,,,,,,,,,No admissible same-season lambda observations: season=1; variant=ex_covid,,,,,,,,,,,,,,,,,,,available,1444.7039501219904,,11500.0,13.411825187619387,ewm,1.0,2022-02-15,0.06759581881533094,1.0,"[""2021Q1""]",empirical cushion-only conditional; kernel dispersion unavailable,1444.7039501219904,1444.7039501219904,1444.7039501219904,1444.7039501219904,1444.7039501219904,1444.7039501219904,1444.7039501219904,,False,vendor_unattributed,2022-02-16,16.532258064516125,2022-02-16,4.053008049895768,-8.951174548348416,-8.829273885706257,-17.260536509020753,available,vendor_not_recorded,2022-02-15,AP-2021Q4-gbv,11080.0,11300.0,1.9855595667870096,available,Refinitiv,2022-02-15,AP-2021Q4-revenue,1460.0,1532.0,4.93150684931507,
2022Q2,2022-05-03,2022Q1,True,,vendor_unattributed,PG-2022Q2-revenue,CNBC unattributed,2022-05-03,False,1960.0,2080.0,2079.5,2080.5,,,,17200.0,11300.0,,No admissible same-season lambda observations: season=2; variant=ex_covid,,,,,,,,,,,,,,,,,,,No admissible same-season lambda observations: season=2; variant=ex_covid,,,,,,,,,,,,,,,,,,,available,2179.804847904316,,15233.333333333332,15.109957480843743,ewm,1.0,2022-05-03,0.05594323812738855,2.0,"[""2021Q2""]",empirical cushion-only conditional; kernel dispersion unavailable,2158.4185014668246,2160.824260081186,2168.04153592427,2180.0703289960766,2192.0991220678834,2199.3163979109677,2201.722156525329,,False,vendor_unattributed,2022-05-04,6.1224489795918435,2022-05-04,-0.8430355351928043,-18.06474520618506,-19.319019616857812,-26.04435443027637,available,vendor_not_recorded,2022-05-03,AP-2022Q1-gbv,16540.0,17200.0,3.9903264812575667,available,Refinitiv,2022-05-03,AP-2022Q1-revenue,1450.0,1509.0,4.068965517241385,
2022Q3,2022-08-02,2022Q2,True,2770.0,available,PG-2022Q3-revenue,StreetAccount,2022-08-02,True,2770.0,2830.0,2829.5,2830.5,2.166064981949467,2.1480144404332213,2.184115523465713,17000.0,17200.0,1.0,No admissible same-season lambda observations: season=3; variant=ex_covid,,,,,,,,,,,,,,,,,,,No admissible same-season lambda observations: season=3; variant=ex_covid,,,,,,,,,,,,,,,,,,,available,2956.246492295106,6.72370008285581,17066.666666666664,18.088948787061994,ewm,1.0,2022-08-02,0.04429065743944638,3.0,"[""2021Q3""]",empirical cushion-only conditional; kernel dispersion unavailable,2898.1662522641427,2904.619612267583,2923.979692277904,2956.246492295106,3004.10604876713,3032.821782650344,3042.393693944749,,False,No admissible same-season lambda observations: season=3; variant=ex_covid,2022-08-03,2.166064981949467,2022-08-03,4.11436157138223,5.416772062076669,8.76111966277574,18.607927406417232,no_registered_row,,,,,17000.0,,available,Refinitiv,2022-08-02,AP-2022Q2-revenue,2110.0,2104.0,-0.28436018957346265,
2022Q4,2022-11-01,2022Q3,True,1850.0,available,PG-2022Q4-revenue,Refinitiv,2022-11-01,True,1850.0,1840.0,1839.5,1840.5,-0.540540540540535,-0.5675675675675729,-0.5135135135135083,15600.0,17000.0,-1.0,No admissible same-season lambda observations: season=4; variant=ex_covid,,,,,,,,,,,,,,,,,,,No admissible same-season lambda observations: season=4; variant=ex_covid,,,,,,,,,,,,,,,,,,,available,1924.0455143206802,4.002460233550287,16066.666666666668,12.35483870967742,ewm,1.0,2022-11-01,0.03168596476212615,4.0,"[""2021Q4""]",empirical cushion-only conditional; kernel dispersion unavailable,1865.5520773210205,1871.7761976527931,1890.4485586481114,1924.3327574508903,1951.474577896187,1958.010657848037,1960.1893511653204,,False,No admissible same-season lambda observations: season=4; variant=ex_covid,2022-11-02,-0.540540540540535,2022-11-02,-4.605604767859774,-1.6345409241550923,-7.137323703791177,1.1368484607032323,no_registered_row,,,,,15600.0,,available,Refinitiv,2022-11-01,AP-2022Q3-revenue,2800.0,2884.0,3.0000000000000027,1.0
2023Q1,2023-02-14,2022Q4,False,1690.0,available,PG-2023Q1-revenue,Refinitiv,2023-02-14,True,1690.0,1785.0,1784.5,1785.5,5.621301775147924,5.591715976331368,5.650887573964503,13500.0,15600.0,1.0,No admissible same-season lambda observations: season=1; variant=ex_covid,,,,,,,,,,,,,,,,,,,No admissible same-season lambda observations: season=1; variant=ex_covid,,,,,,,,,,,,,,,,,,,available,1819.05508531967,7.636395581045563,14200.0,13.241896709575983,ewm,2.0,2023-02-14,0.033695652173913127,5.0,"[""2021Q1"", ""2022Q1""]",K0 kernel and cushion predictive bootstrap,1750.901281345605,1766.0293781895057,1790.092033677926,1818.1478252451147,1848.2527008895872,1874.5223021702645,1889.7872849303428,,False,No admissible same-season lambda observations: season=1; variant=ex_covid,2023-02-15,5.621301775147924,2023-02-15,4.014798615662896,1.3467920254149113,-10.672748360077655,-21.447443969730763,no_registered_row,,,,,13500.0,,available,Refinitiv,2023-02-14,AP-2022Q4-revenue,1860.0,1902.0,2.2580645161290214,-1.0
2023Q2,2023-05-09,2023Q1,False,2420.0,available,PG-2023Q2-revenue,Refinitiv,2023-05-09,True,2420.0,2400.0,2399.5,2400.5,-0.8264462809917328,-0.8471074380165255,-0.80578512396694,20400.0,13500.0,-1.0,available,2435.665270113213,0.6473252112897843,18100.0,13.811816192560176,ex_covid,1.0,2023-05-09,0.026388462129359525,6.0,"[""2022Q2""]",empirical cushion-only conditional; kernel dispersion unavailable,2354.7173061124204,2367.7818192910177,2400.04502497883,2435.788727448431,2454.202701765911,2462.9913122603293,2467.2068158675825,available,2435.665270113213,0.6473252112897843,18100.0,13.811816192560176,ex_covid,1.0,2023-05-09,0.026388462129359525,6.0,"[""2022Q2""]",empirical cushion-only conditional; kernel dispersion unavailable,2354.7173061124204,2367.7818192910177,2400.04502497883,2435.788727448431,2454.202701765911,2462.9913122603293,2467.2068158675825,available,2530.4881391004656,4.565625582663868,18100.0,14.349523920043712,ewm,2.0,2023-05-09,0.026388462129359525,6.0,"[""2021Q2"", ""2022Q2""]",K0 kernel and cushion predictive bootstrap,2358.1328127551656,2378.0145186160476,2417.187678695008,2543.7548431472605,2643.676568945651,2685.993706432902,2711.1953360497428,0.6473252112897843,True,available,2023-05-10,-0.8264462809917328,2023-05-10,2.725809149277625,-4.979797493899863,-1.5214077445124374,12.816622543849498,no_registered_row,,,,,20400.0,,available,Refinitiv,2023-05-09,AP-2023Q1-revenue,1790.0,1818.0,1.5642458100558754,1.0
2023Q3,2023-08-03,2023Q2,False,3220.0,available,PG-2023Q3-revenue,Refinitiv,2023-08-03,True,3220.0,3350.0,3349.5,3350.5,4.037267080745344,4.021739130434776,4.052795031055911,19100.0,20400.0,1.0,No admissible same-season lambda observations: season=3; variant=ex_covid,,,,,,,,,,,,,,,,,,,No admissible same-season lambda observations: season=3; variant=ex_covid,,,,,,,,,,,,,,,,,,,available,3286.414185653463,2.062552349486424,19533.333333333332,17.39156342125933,ewm,2.0,2023-08-03,0.033695652173913127,7.0,"[""2021Q3"", ""2022Q3""]",K0 kernel and cushion predictive bootstrap,3104.752167685248,3128.5438967964856,3175.315122569335,3293.6933862744577,3397.4126437079503,3446.697726237775,3475.9799671345586,,False,No admissible same-season lambda observations: season=3; variant=ex_covid,2023-08-04,4.037267080745344,2023-08-04,0.7737854377885434,-1.2980077118529445,-6.946247437404396,-10.67868222764431,available,vendor_not_recorded,2023-08-03,AP-2023Q2-gbv,18990.0,19100.0,0.5792522380200005,available,Refinitiv,2023-08-03,AP-2023Q2-revenue,2420.0,2484.0,2.6446280991735627,-1.0
2023Q4,2023-11-01,2023Q3,False,2180.0,available,PG-2023Q4-revenue,LSEG,2023-11-01,True,2180.0,2150.0,2149.5,2150.5,-1.3761467889908285,-1.3990825688073416,-1.3532110091743155,18300.0,19100.0,-1.0,available,2141.4449187070622,-1.768581710685213,18566.666666666668,11.83817427385892,ex_covid,1.0,2023-11-01,0.026388462129359525,8.0,"[""2022Q4""]",empirical cushion-only conditional; kernel dispersion unavailable,2074.869747629894,2090.950655785448,2118.904121276311,2141.5534628023543,2160.4291310662334,2169.1456165033696,2171.014125324086,available,2141.4449187070622,-1.768581710685213,18566.666666666668,11.83817427385892,ex_covid,1.0,2023-11-01,0.026388462129359525,8.0,"[""2022Q4""]",empirical cushion-only conditional; kernel dispersion unavailable,2074.869747629894,2090.950655785448,2118.904121276311,2141.5534628023543,2160.4291310662334,2169.1456165033696,2171.014125324086,available,2180.157761324762,0.007236758016593292,18566.666666666668,12.052183690370788,ewm,2.0,2023-11-01,0.026388462129359525,8.0,"[""2021Q4"", ""2022Q4""]",K0 kernel and cushion predictive bootstrap,2087.1153331473715,2102.9659097450835,2133.3183328314954,2180.9054371728766,2226.8637348094726,2258.2906773677155,2277.195186456302,-1.768581710685213,True,available,2023-11-02,-1.3761467889908285,2023-11-02,-6.247511500951341,-7.112035495497182,-4.421988877518124,4.346215417328072,no_registered_row,,,,,18300.0,,available,LSEG,2023-11-01,AP-2023Q3-revenue,3370.0,3397.0,0.8011869436201691,1.0
2024Q1,2024-02-13,2023Q4,False,2030.0,available,PG-2024Q1-revenue,LSEG,2024-02-13,True,2030.0,2050.0,2049.5,2050.5,0.9852216748768461,0.9605911330049288,1.0098522167487634,15500.0,18300.0,1.0,available,2051.9043840507834,1.0790336970829317,16433.333333333332,12.80281690140845,ex_covid,1.0,2024-02-13,0.025354589530774962,8.0,"[""2023Q1""]",empirical cushion-only conditional; kernel dispersion unavailable,2021.0270210742078,2027.356733045288,2034.705969093029,2051.981194401123,2068.009617537429,2076.353226432495,2078.141803598082,available,2051.9043840507834,1.0790336970829317,16433.333333333332,12.80281690140845,ex_covid,1.0,2024-02-13,0.025354589530774962,8.0,"[""2023Q1""]",empirical cushion-only conditional; kernel dispersion unavailable,2021.0270210742078,2027.356733045288,2034.705969093029,2051.981194401123,2068.009617537429,2076.353226432495,2078.141803598082,available,2090.3916796323,2.9749595877980317,16433.333333333332,13.042957622482298,ewm,3.0,2024-02-13,0.025354589530774962,8.0,"[""2021Q1"", ""2022Q1"", ""2023Q1""]",K0 kernel and cushion predictive bootstrap,2016.8187969811438,2031.9832096600471,2060.689479366708,2100.311856630443,2135.5718772444716,2165.461373025933,2179.773577372937,1.0790336970829317,True,available,2024-02-14,0.9852216748768461,2024-02-14,0.941245854371231,3.417401072963966,10.641186353226818,-1.6542097673369005,no_registered_row,,,,,15500.0,,available,LSEG,2024-02-13,AP-2023Q4-revenue,2170.0,2218.0,2.211981566820276,-1.0
