method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
alpha-a2,guide_mid_next_q,guide_mid,2023Q1,2023-02-14,0,1819.05508531967,1818.1478252451147,W1,full_sample,2,2,1750.901281345605,1766.0293781895057,1790.092033677926,1848.2527008895872,1874.5223021702645,1889.7872849303428,,,,,,,,,2023-02-14,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2023Q2,2023-05-09,0,2435.665270113213,2435.788727448431,W1,PIT,2,1,2354.7173061124204,2367.7818192910177,2400.04502497883,2454.202701765911,2462.9913122603293,2467.2068158675825,,,,,,,,,2023-05-09,nested_PIT,Guide-close via K0 d+1; empirical cushion-only conditional; kernel dispersion unavailable; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2023Q2,2023-05-09,0,2530.4881391004656,2543.7548431472605,W1,full_sample,2,2,2358.1328127551656,2378.0145186160476,2417.187678695008,2643.676568945651,2685.993706432902,2711.1953360497428,,,,,,,,,2023-05-09,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2023Q3,2023-08-03,0,3286.414185653463,3293.6933862744577,W1,full_sample,2,2,3104.752167685248,3128.5438967964856,3175.315122569335,3397.4126437079503,3446.697726237775,3475.9799671345586,,,,,,,,,2023-08-03,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2023Q4,2023-11-01,0,2141.4449187070622,2141.5534628023543,W1,PIT,2,1,2074.869747629894,2090.950655785448,2118.904121276311,2160.4291310662334,2169.1456165033696,2171.014125324086,,,,,,,,,2023-11-01,nested_PIT,Guide-close via K0 d+1; empirical cushion-only conditional; kernel dispersion unavailable; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2023Q4,2023-11-01,0,2180.157761324762,2180.9054371728766,W1,full_sample,2,2,2087.1153331473715,2102.9659097450835,2133.3183328314954,2226.8637348094726,2258.2906773677155,2277.195186456302,,,,,,,,,2023-11-01,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q1,2024-02-13,0,2051.9043840507834,2051.981194401123,W1,PIT,2,1,2021.0270210742078,2027.356733045288,2034.705969093029,2068.009617537429,2076.353226432495,2078.141803598082,,,,,,,,,2024-02-13,nested_PIT,Guide-close via K0 d+1; empirical cushion-only conditional; kernel dispersion unavailable; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q1,2024-02-13,0,2051.9043840507834,2051.981194401123,W2,PIT,2,1,2021.0270210742078,2027.356733045288,2034.705969093029,2068.009617537429,2076.353226432495,2078.141803598082,,,,,,,,,2024-02-13,nested_PIT,Guide-close via K0 d+1; empirical cushion-only conditional; kernel dispersion unavailable; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q1,2024-02-13,0,2090.3916796323,2100.311856630443,W1,full_sample,2,3,2016.8187969811438,2031.9832096600471,2060.689479366708,2135.5718772444716,2165.461373025933,2179.773577372937,,,,,,,,,2024-02-13,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q1,2024-02-13,0,2090.3916796323,2100.311856630443,W2,full_sample,2,3,2016.8187969811438,2031.9832096600471,2060.689479366708,2135.5718772444716,2165.461373025933,2179.773577372937,,,,,,,,,2024-02-13,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q2,2024-05-08,0,2743.6535096912417,2742.938016087033,W1,PIT,2,2,2692.3392168510227,2702.8274807356147,2722.484990239486,2765.3456972979398,2784.8833513729114,2797.21645533005,,,,,,,,,2024-05-08,nested_PIT,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q2,2024-05-08,0,2743.6535096912417,2742.938016087033,W2,PIT,2,2,2692.3392168510227,2702.8274807356147,2722.484990239486,2765.3456972979398,2784.8833513729114,2797.21645533005,,,,,,,,,2024-05-08,nested_PIT,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q2,2024-05-08,0,2803.0817311118067,2771.6103630827174,W1,full_sample,2,3,2608.793408103217,2632.2024338653187,2695.4356485266103,2935.3698822067995,3022.5841638511315,3070.832822046886,,,,,,,,,2024-05-08,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q2,2024-05-08,0,2803.0817311118067,2771.6103630827174,W2,full_sample,2,3,2608.793408103217,2632.2024338653187,2695.4356485266103,2935.3698822067995,3022.5841638511315,3070.832822046886,,,,,,,,,2024-05-08,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q3,2024-08-06,0,3691.7903685246083,3691.9285658567023,W1,PIT,2,1,3634.911217058916,3647.0128609142625,3660.8469467996733,3720.766936015274,3733.0289934721372,3733.038928404648,,,,,,,,,2024-08-06,nested_PIT,Guide-close via K0 d+1; empirical cushion-only conditional; kernel dispersion unavailable; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q3,2024-08-06,0,3691.7903685246083,3691.9285658567023,W2,PIT,2,1,3634.911217058916,3647.0128609142625,3660.8469467996733,3720.766936015274,3733.0289934721372,3733.038928404648,,,,,,,,,2024-08-06,nested_PIT,Guide-close via K0 d+1; empirical cushion-only conditional; kernel dispersion unavailable; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q3,2024-08-06,0,3691.880746872973,3668.2082110172123,W1,full_sample,2,3,3485.2259907911357,3520.4672552161323,3579.2199589056036,3773.965404670581,3845.117107687612,3881.942628497748,,,,,,,,,2024-08-06,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q3,2024-08-06,0,3691.880746872973,3668.2082110172123,W2,full_sample,2,3,3485.2259907911357,3520.4672552161323,3579.2199589056036,3773.965404670581,3845.117107687612,3881.942628497748,,,,,,,,,2024-08-06,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q4,2024-11-07,0,2374.4305133170524,2374.175840505083,W1,PIT,2,2,2322.9331047964492,2333.794998474478,2352.3326094136214,2394.8372063639376,2415.6106685507607,2428.366565373288,,,,,,,,,2024-11-07,nested_PIT,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q4,2024-11-07,0,2374.4305133170524,2374.175840505083,W2,PIT,2,2,2322.9331047964492,2333.794998474478,2352.3326094136214,2394.8372063639376,2415.6106685507607,2428.366565373288,,,,,,,,,2024-11-07,nested_PIT,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q4,2024-11-07,0,2396.788855783854,2387.0352443311085,W1,full_sample,2,3,2306.6024938624737,2321.9578303233175,2350.218307572547,2437.4207085761977,2474.7250162556365,2496.08621102489,,,,,,,,,2024-11-07,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2024Q4,2024-11-07,0,2396.788855783854,2387.0352443311085,W2,full_sample,2,3,2306.6024938624737,2321.9578303233175,2350.218307572547,2437.4207085761977,2474.7250162556365,2496.08621102489,,,,,,,,,2024-11-07,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q1,2025-02-13,0,2328.4784046689074,2327.068846943398,W1,PIT,2,2,2270.6111112875546,2282.6850347568193,2302.7011156640574,2352.453070259793,2374.481306231903,2387.130421494634,,,,,,,,,2025-02-13,nested_PIT,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q1,2025-02-13,0,2328.4784046689074,2327.068846943398,W2,PIT,2,2,2270.6111112875546,2282.6850347568193,2302.7011156640574,2352.453070259793,2374.481306231903,2387.130421494634,,,,,,,,,2025-02-13,nested_PIT,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q1,2025-02-13,0,2350.2873079405786,2341.334428722255,W1,full_sample,2,4,2260.500560202271,2277.907266570061,2305.298221514782,2379.7905158802478,2412.075079681657,2430.7959759114938,,,,,,,,,2025-02-13,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q1,2025-02-13,0,2350.2873079405786,2341.334428722255,W2,full_sample,2,4,2260.500560202271,2277.907266570061,2305.298221514782,2379.7905158802478,2412.075079681657,2430.7959759114938,,,,,,,,,2025-02-13,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q2,2025-05-01,0,2971.9858710181106,2983.387427281423,W1,PIT,2,3,2891.780105754358,2910.927983320915,2944.8686735285523,3019.5888545435664,3047.926507871213,3065.772486079306,,,,,,,,,2025-05-01,nested_PIT,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q2,2025-05-01,0,2971.9858710181106,2983.387427281423,W2,PIT,2,3,2891.780105754358,2910.927983320915,2944.8686735285523,3019.5888545435664,3047.926507871213,3065.772486079306,,,,,,,,,2025-05-01,nested_PIT,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q2,2025-05-01,0,3007.5547297065955,2946.767376638847,W1,full_sample,2,4,2793.8260952025817,2822.3852463067983,2872.6303749432473,3110.4810740864286,3242.6546150924587,3281.2557481542785,,,,,,,,,2025-05-01,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q2,2025-05-01,0,3007.5547297065955,2946.767376638847,W2,full_sample,2,4,2793.8260952025817,2822.3852463067983,2872.6303749432473,3110.4810740864286,3242.6546150924587,3281.2557481542785,,,,,,,,,2025-05-01,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q3,2025-08-06,0,4036.466377130657,4035.673301365344,W1,PIT,2,2,3946.1569857137083,3965.8064274956973,3998.145894998762,4074.782353088108,4108.552421393928,4127.784110571689,,,,,,,,,2025-08-06,nested_PIT,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q3,2025-08-06,0,4036.466377130657,4035.673301365344,W2,PIT,2,2,3946.1569857137083,3965.8064274956973,3998.145894998762,4074.782353088108,4108.552421393928,4127.784110571689,,,,,,,,,2025-08-06,nested_PIT,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; nested PIT,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q3,2025-08-06,0,4042.804373788643,4003.0484230511156,W1,full_sample,2,4,3859.0667485359504,3887.476246740323,3937.5684533598173,4110.369630131332,4200.868042805297,4237.604423490494,,,,,,,,,2025-08-06,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
alpha-a2,guide_mid_next_q,guide_mid,2025Q3,2025-08-06,0,4042.804373788643,4003.0484230511156,W2,full_sample,2,4,3859.0667485359504,3887.476246740323,3937.5684533598173,4110.369630131332,4200.868042805297,4237.604423490494,,,,,,,,,2025-08-06,retrospective_fixed_ewm,Guide-close via K0 d+1; K0 kernel and cushion predictive bootstrap; retrospective selection,1.1
