vol_ann,drift_Hd,p_normal,p_t4,p_leg_mix
0.035,-0.015,0.1208,0.0865,0.1036
0.035,-0.01,0.0811,0.0596,0.0703
0.035,-0.0066,0.0603,0.0466,0.0534
0.035,-0.0042,0.0484,0.0393,0.0438
0.035,0.0,0.032,0.0294,0.0307
0.035,0.005,0.0188,0.0212,0.02
0.035,0.01,0.0106,0.0155,0.0131
0.04,-0.015,0.1527,0.1104,0.1316
0.04,-0.01,0.1106,0.0794,0.095
0.04,-0.0066,0.0872,0.0636,0.0754
0.04,-0.0042,0.0731,0.0545,0.0638
0.04,0.0,0.0526,0.0419,0.0472
0.04,0.005,0.0345,0.0309,0.0327
0.04,0.01,0.0219,0.0231,0.0225
0.0413,-0.015,0.1605,0.1165,0.1385
0.0413,-0.01,0.1181,0.0846,0.1013
0.0413,-0.0066,0.0942,0.0682,0.0812
0.0413,-0.0042,0.0796,0.0587,0.0691
0.0413,0.0,0.0583,0.0454,0.0518
0.0413,0.005,0.0391,0.0337,0.0364
0.0413,0.01,0.0254,0.0254,0.0254
0.045,-0.015,0.1812,0.1336,0.1574
0.045,-0.01,0.1385,0.0995,0.119
0.045,-0.0066,0.1137,0.0815,0.0976
0.045,-0.0042,0.0982,0.0709,0.0845
0.045,0.0,0.0749,0.0557,0.0653
0.045,0.005,0.053,0.0421,0.0476
0.045,0.01,0.0365,0.0321,0.0343
0.0464,-0.015,0.1885,0.1398,0.1642
0.0464,-0.01,0.1458,0.1051,0.1255
0.0464,-0.0066,0.1208,0.0866,0.1037
0.0464,-0.0042,0.1051,0.0756,0.0903
0.0464,0.0,0.0813,0.0597,0.0705
0.0464,0.005,0.0585,0.0455,0.052
0.0464,0.01,0.041,0.0349,0.038
0.048,-0.015,0.1966,0.1468,0.1717
0.048,-0.01,0.154,0.1114,0.1327
0.048,-0.0066,0.1289,0.0924,0.1106
0.048,-0.0042,0.1129,0.081,0.0969
0.048,0.0,0.0885,0.0644,0.0765
0.048,0.005,0.0648,0.0494,0.0571
0.048,0.01,0.0464,0.0381,0.0423
0.05,-0.015,0.2062,0.1554,0.1808
0.05,-0.01,0.1639,0.1193,0.1416
0.05,-0.0066,0.1386,0.0996,0.1191
0.05,-0.0042,0.1225,0.0877,0.1051
0.05,0.0,0.0975,0.0704,0.0839
0.05,0.005,0.0729,0.0544,0.0636
0.05,0.01,0.0533,0.0423,0.0478
0.054,-0.015,0.2239,0.1717,0.1978
0.054,-0.01,0.1824,0.1346,0.1585
0.054,-0.0066,0.1572,0.1139,0.1356
0.054,-0.0042,0.1408,0.1013,0.1211
0.054,0.0,0.1151,0.0825,0.0988
0.054,0.005,0.089,0.0647,0.0769
0.054,0.01,0.0676,0.0511,0.0593
0.06,-0.015,0.2472,0.1943,0.2208
0.06,-0.01,0.2074,0.1565,0.182
0.06,-0.0066,0.1826,0.1348,0.1587
0.06,-0.0042,0.1663,0.1212,0.1438
0.06,0.0,0.1401,0.1007,0.1204
0.06,0.005,0.1127,0.0808,0.0967
0.06,0.01,0.0894,0.065,0.0772
