item,value
spot_11sep,118.2126
beta_broad_on_dxy,0.57216
dxy_11sep,99.12
dxy_16sep,100.31
spot_16sep_est,119.02255
threshold_level,114.26164
threshold_log,-0.04082
horizon_obs,105.0
n_windows,5083.0
mean_105d,0.00374
sd_105d,0.03985
rv63,0.03959
rv126,0.04222
rv252,0.0412
rv_full,0.05412
mom12_log,-0.01631
drift_cons_105d,-0.0042
P_empirical_all_2006_2026,0.1218
P_empirical_2010plus,0.0975
P_empirical_2015plus,0.1067
P_regime_vol_quintile1,0.1138
P_regime_vol_band_pm1pp,0.0716
P_momentum_band_12m,0.1211
P_normal_rv252_zero_drift,0.0624
P_normal_rv252_cons_drift,0.0842
P_normal_rv63_zero_drift,0.0551
P_normal_fullsample_vol,0.1213
P_t4_rv252_zero_drift,0.0479
P_t4_rv252_cons_drift,0.0617
P_normal_implied_4.8_zero_drift,0.0938
P_normal_implied_4.8_cons_drift,0.1186
P_t4_implied_4.8_cons_drift,0.085
