start,r,yr,rv,mom12
2006-01-02,-0.03534476486559157,2006,,
2006-01-03,-0.03194523236771474,2006,,
2006-01-04,-0.024832676954104294,2006,,
2006-01-05,-0.02551334467585953,2006,,
2006-01-06,-0.025000985826018507,2006,,
2006-01-09,-0.028463937088933022,2006,,
2006-01-10,-0.02016019783739953,2006,,
2006-01-11,-0.01723878515030286,2006,,
2006-01-12,-0.011387309498902987,2006,,
2006-01-13,-0.014310526685350489,2006,,
2006-01-16,-0.014327200067739021,2006,,
2006-01-17,-0.013301743388083764,2006,,
2006-01-18,-0.015807213516323415,2006,,
2006-01-19,-0.013076940952060134,2006,,
2006-01-20,-0.00994905960433723,2006,,
2006-01-23,-0.002350354919538944,2006,,
2006-01-24,-0.0033445100145401696,2006,,
2006-01-25,-0.008020157955491491,2006,,
2006-01-26,-0.003970485471004537,2006,,
2006-01-27,-0.0022274151963648237,2006,,
2006-01-30,-0.0035262632368846525,2006,,
2006-01-31,-0.0021354137812954477,2006,,
2006-02-01,-0.0022230584034721446,2006,,
2006-02-02,-0.005786735636803542,2006,,
2006-02-03,-0.018851542534591204,2006,,
2006-02-06,-0.021195267197024137,2006,,
2006-02-07,-0.021734677308314687,2006,,
2006-02-08,-0.02193191487925894,2006,,
2006-02-09,-0.02091029689739088,2006,,
2006-02-10,-0.025963629914826036,2006,,
2006-02-13,-0.02434074139972875,2006,,
2006-02-14,-0.02200863308777201,2006,,
2006-02-15,-0.019387537184294423,2006,,
2006-02-16,-0.019691549215247406,2006,,
2006-02-17,-0.016671926661736336,2006,,
2006-02-20,-0.012716961053159892,2006,,
2006-02-21,-0.011039959406401678,2006,,
2006-02-22,-0.014667564466738447,2006,,
2006-02-23,-0.0160388152201989,2006,,
2006-02-24,-0.017479938882890345,2006,,
2006-02-27,-0.013003830680246686,2006,,
2006-02-28,-0.008361048223100909,2006,,
2006-03-01,-0.011013443648653087,2006,,
2006-03-02,-0.013836678393058577,2006,,
2006-03-03,-0.016672421418704175,2006,,
2006-03-06,-0.020040775178977732,2006,,
2006-03-07,-0.024078391533623567,2006,,
2006-03-08,-0.029310995674377338,2006,,
2006-03-09,-0.027183163285254608,2006,,
2006-03-10,-0.033808105165440416,2006,,
2006-03-13,-0.03375410112130606,2006,,
2006-03-14,-0.026871094294608433,2006,,
2006-03-15,-0.028050083338443166,2006,,
2006-03-16,-0.02038761452801907,2006,,
2006-03-17,-0.02099873917285855,2006,,
2006-03-20,-0.02102323298052422,2006,,
2006-03-21,-0.0269065571448035,2006,,
2006-03-22,-0.031400550554691264,2006,,
2006-03-23,-0.03509394103108576,2006,,
2006-03-24,-0.03042116372198933,2006,,
2006-03-27,-0.034816087248288774,2006,,
2006-03-28,-0.032174962541184904,2006,,
2006-03-29,-0.03498787300567585,2006,,
2006-03-30,-0.02798981088239305,2006,,
2006-03-31,-0.026984741290262626,2006,,
2006-04-03,-0.027953052224124697,2006,,
2006-04-04,-0.0238214417449214,2006,,
2006-04-05,-0.025297516568818068,2006,,
2006-04-06,-0.025418730751806784,2006,,
2006-04-07,-0.029409916755477106,2006,,
2006-04-10,-0.029419949966065673,2006,,
2006-04-11,-0.02884038667354094,2006,,
2006-04-12,-0.027786132105472205,2006,,
2006-04-13,-0.02688289735550775,2006,,
2006-04-14,-0.022728800222512113,2006,,
2006-04-17,-0.015005093480851883,2006,,
2006-04-18,-0.014110668534327964,2006,,
2006-04-19,-0.01183868767159435,2006,,
2006-04-20,-0.015074242612342026,2006,,
2006-04-21,-0.01238701987191515,2006,,
2006-04-24,-0.009975231028989562,2006,,
2006-04-25,-0.008099912905648488,2006,,
2006-04-26,-0.007461225206878197,2006,,
2006-04-27,-0.005793541322258733,2006,,
2006-04-28,-0.002800909345556768,2006,,
2006-05-01,0.0008412481596113963,2006,,
2006-05-02,0.004071281565938278,2006,,
2006-05-03,0.004637783735082834,2006,,
2006-05-04,0.005628936657672945,2006,,
2006-05-05,0.008670028649853556,2006,,
2006-05-08,0.007484690474846012,2006,,
2006-05-09,0.011983668498652733,2006,,
2006-05-10,0.01773415986635385,2006,,
2006-05-11,0.017856306534209665,2006,,
2006-05-12,0.017224064486150326,2006,,
2006-05-15,0.012365861477192652,2006,,
2006-05-16,0.01750709142852358,2006,,
2006-05-17,0.014686564658017431,2006,,
2006-05-18,0.011475985375732911,2006,,
2006-05-19,0.008816057653366904,2006,,
2006-05-22,0.007854696196943678,2006,,
2006-05-23,0.00846825712211885,2006,,
2006-05-24,0.00226181508536083,2006,,
2006-05-25,0.0045622415109898284,2006,,
2006-05-26,0.002686901297410671,2006,,
2006-05-29,0.005650362717344315,2006,,
2006-05-30,0.007767841974898104,2006,,
2006-05-31,0.004441362934737292,2006,,
2006-06-01,0.001207175942979255,2006,,
2006-06-02,-0.0006460021409431249,2006,,
2006-06-05,0.002042729759389239,2006,,
2006-06-06,-0.0077203953166398165,2006,,
2006-06-07,-0.006840499128133004,2006,,
2006-06-08,-0.012978666504637637,2006,,
2006-06-09,-0.008419150143947007,2006,,
2006-06-12,-0.007572020447926597,2006,,
2006-06-13,-0.015021258641612967,2006,,
2006-06-14,-0.01276709712462587,2006,,
2006-06-15,-0.014059085261187043,2006,,
2006-06-16,-0.014756615912125959,2006,,
2006-06-19,-0.013757012337159757,2006,,
2006-06-20,-0.012850401879004103,2006,,
2006-06-21,-0.007317094639573085,2006,,
2006-06-22,-0.012959346488202073,2006,,
2006-06-23,-0.014549885338551505,2006,,
2006-06-26,-0.013557207839566487,2006,,
2006-06-27,-0.012142685845230261,2006,,
2006-06-28,-0.01889622477745423,2006,,
2006-06-29,-0.017122898363117756,2006,,
2006-06-30,-0.0121098789870695,2006,,
2006-07-03,-0.010649433049524148,2006,,
2006-07-04,-0.012103918127148283,2006,,
2006-07-05,-0.014862516280571114,2006,,
2006-07-06,-0.01602471482698853,2006,,
2006-07-07,-0.013308518942540815,2006,,
2006-07-10,-0.01593958439630505,2006,,
2006-07-11,-0.02062603275460173,2006,,
2006-07-12,-0.022960484345440513,2006,,
2006-07-13,-0.02296500228386744,2006,,
2006-07-14,-0.021190416527162803,2006,,
2006-07-17,-0.024647042873907843,2006,,
2006-07-18,-0.02473702311873094,2006,,
2006-07-19,-0.02245466063557977,2006,,
2006-07-20,-0.01849425268823257,2006,,
2006-07-21,-0.01571734353892662,2006,,
2006-07-24,-0.016573188538254513,2006,,
2006-07-25,-0.020498997008234987,2006,,
2006-07-26,-0.020109291557799835,2006,,
2006-07-27,-0.013462119203050626,2006,,
2006-07-28,-0.009659584078491434,2006,,
2006-07-31,-0.008994447217407497,2006,,
2006-08-01,-0.010165426587134263,2006,,
2006-08-02,-0.007538821095379511,2006,,
2006-08-03,-0.010288352723537564,2006,,
2006-08-04,-0.005850040086930797,2006,,
2006-08-07,-0.004898717575851919,2006,,
2006-08-08,-0.005383508783256552,2006,,
2006-08-09,0.000870924265666595,2006,,
2006-08-10,-0.0011100391186662506,2006,,
2006-08-11,1.7384697273747918e-05,2006,,
2006-08-14,-3.572669892282221e-05,2006,,
2006-08-15,0.0029607175532779806,2006,,
2006-08-16,0.007111976891610361,2006,,
2006-08-17,0.005862680514497676,2006,,
2006-08-18,0.0016598718637137466,2006,,
2006-08-21,0.006101350164344765,2006,,
2006-08-22,0.0014639732178940434,2006,,
2006-08-23,0.002615127152029828,2006,,
2006-08-24,-0.0010957604583587965,2006,,
2006-08-25,-0.0005692104326353586,2006,,
2006-08-28,-0.00035776639667250976,2006,,
2006-08-29,0.0013613871078339557,2006,,
2006-08-30,0.002665047110346208,2006,,
2006-08-31,0.005159539539599578,2006,,
2006-09-01,0.007134894738985764,2006,,
2006-09-04,0.006679312701767692,2006,,
