vol_ann,drift_105d,dist,p
0.035,-0.015,normal,0.1265
0.035,-0.015,t4,0.0907
0.035,-0.008,normal,0.0731
0.035,-0.008,t4,0.0546
0.035,-0.0042,normal,0.0525
0.035,-0.0042,t4,0.0418
0.035,0.0,normal,0.0354
0.035,0.0,t4,0.0315
0.035,0.005,normal,0.0213
0.035,0.005,t4,0.0228
0.035,0.01,normal,0.0122
0.035,0.01,t4,0.0167
0.04,-0.015,normal,0.1586
0.04,-0.015,t4,0.1151
0.04,-0.008,normal,0.1018
0.04,-0.008,t4,0.0733
0.04,-0.0042,normal,0.078
0.04,-0.0042,t4,0.0577
0.04,0.0,normal,0.0569
0.04,0.0,t4,0.0445
0.04,0.005,normal,0.038
0.04,0.005,t4,0.033
0.04,0.01,normal,0.0245
0.04,0.01,t4,0.0248
0.042,-0.015,normal,0.1704
0.042,-0.015,t4,0.1246
0.042,-0.008,normal,0.113
0.042,-0.008,t4,0.081
0.042,-0.0042,normal,0.0884
0.042,-0.0042,t4,0.0643
0.042,0.0,normal,0.0661
0.042,0.0,t4,0.0501
0.042,0.005,normal,0.0455
0.042,0.005,t4,0.0376
0.042,0.01,normal,0.0304
0.042,0.01,t4,0.0285
0.045,-0.015,normal,0.187
0.045,-0.015,t4,0.1385
0.045,-0.008,normal,0.1292
0.045,-0.008,t4,0.0926
0.045,-0.0042,normal,0.1037
0.045,-0.0042,t4,0.0746
0.045,0.0,normal,0.08
0.045,0.0,t4,0.0589
0.045,0.005,normal,0.0573
0.045,0.005,t4,0.0448
0.045,0.01,normal,0.0401
0.045,0.01,t4,0.0343
0.048,-0.015,normal,0.2023
0.048,-0.015,t4,0.1519
0.048,-0.008,normal,0.1447
0.048,-0.008,t4,0.1042
0.048,-0.0042,normal,0.1186
0.048,-0.0042,t4,0.085
0.048,0.0,normal,0.0938
0.048,0.0,t4,0.0679
0.048,0.005,normal,0.0696
0.048,0.005,t4,0.0523
0.048,0.01,normal,0.0505
0.048,0.01,t4,0.0406
0.054,-0.015,normal,0.2294
0.054,-0.015,t4,0.177
0.054,-0.008,normal,0.1732
0.054,-0.008,t4,0.1269
0.054,-0.0042,normal,0.1467
0.054,-0.0042,t4,0.1058
0.054,0.0,normal,0.1208
0.054,0.0,t4,0.0865
0.054,0.005,normal,0.0943
0.054,0.005,t4,0.0683
0.054,0.01,normal,0.0724
0.054,0.01,t4,0.0541
0.06,-0.015,normal,0.2525
0.06,-0.015,t4,0.1996
0.06,-0.008,normal,0.1984
0.06,-0.008,t4,0.1484
0.06,-0.0042,normal,0.1722
0.06,-0.0042,t4,0.1261
0.06,0.0,normal,0.1459
0.06,0.0,t4,0.1052
0.06,0.005,normal,0.1184
0.06,0.005,t4,0.0848
0.06,0.01,normal,0.0947
0.06,0.01,t4,0.0685
spot16,118.55,threshold,113.8
spot16,119.02,threshold,114.26
spot16,119.5,threshold,114.72
