artifact,sha256,purpose
candidate_source_manifest.csv,119698cdf3b55f69f8db14d6a5ed73f3e0b47af8aa7c4a4d21c3253b3b25ec2f,"Five-source registered/proposed candidate slate and exact paths."
proposed_source_registry.csv,175941f22c3814256f08da62c2bdf05626589132a6ca8a44c9aaa0996273194c,"Lane proposal that preceded canonical registration of CENSUS_QSS_ACCOMMODATION."
permission_request_manifest.csv,4dd2f7c503cd53d539db1f690e9f16daac7bf50441b165107467f70e39300b44,"Five preregistered permission-only requests."
permission_request_results.csv,63573f971ee90c835ae35f1a6d1ad28ae41928be78ff5d185601b4c51569cc72,"Provider responses and BLS host-stop skip with UTC URLs/statuses/cache checksums."
permission_response_interpretation.csv,c122ff119b6c7f4327069efa5d47cfcc4d4e23bdd670a0f77e0edee761a4ade6,"Cached-body interpretation including the Census HTTP-200 rejection sequencing."
permission_evidence_reuse.csv,e62c82b7a616dea8184d0c8e1da3b102cab26300c3fe83ab82171e5cc44b5efc,"Same-day evidence reused without duplicate NYC/NOLA/San Diego requests."
run_permission_recon.py,361bf16e58a772f49b768e2550ce3cd50b9e9bf1ce67739260ea1339adbf7020,"One-pass, no-cookie, no-auth permission-only collector."
preflight_exact_paths.py,94b0ec06306faabde054b6cf9f5234d6aa03b59efa352d1b9cc247dc2b3c86c1,"Deterministic five-source ScrapeCandidate reassessment; no network activity."
exact_path_gate_decisions.csv,ebdb5253f4278a99d6242c421653a5e8d81ec872ebcbb7e0e447c53e2e99cbdf,"Exact gate output: zero of five allowed."
data_request_manifest.csv,42394ef3ee2b5465983d9b0f873bb4b448b0a8f8dd648113e31d3404dbd32e8f,"Intentionally header-only because no exact path passed."
data_request_decisions.csv,c56be7fc768939e8028e520cc2b17da9ea7af47f5a9b1d465b7bdf38e9a1ee0a,"Explicit zero-request decision for each candidate."
observations_long.csv,3ecca4cebe4225bbc6843c1150f71fc8efff1cf5d872879ff24f78e94178c8b8,"Five explicit not-collected records with empty PIT values rather than fabricated observations."
publication_vintage_audit.csv,eaee3ba597b6810bf65aede7e3269b79a49092ecf804fadccf85673cc9ed1082,"Source-level release, revision, vintage, and current-history treatment."
lane_memo.md,9691d0b66aa4a6d026178367bc95f36b2b9632f556f10a8561d589da0c78b386,"Concise findings, blockers, scope boundary, and artifact map."
