method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
final-margin,combined_dollar_from_margin,adj_ebitda_musd,2023Q1,2023-02-14,0,286.66047151154265,286.66047151154265,W1,PIT,54,0,249.39461021504212,257.9944243603884,,,315.3265186626969,323.9263328080432,,,,,,,LSEG,2023-02-13,2023-02-13,stack,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; margin combination x PIT revenue leg (1845.1); equal_insufficient_prior; conformal fallback n=0",1.0
final-margin,combined_dollar_from_margin,adj_ebitda_musd,2023Q2,2023-05-09,0,847.099212764949,847.099212764949,W1,PIT,54,1,736.9763151055056,762.3892914884541,,,931.8091340414439,957.2221104243924,,,,,,,LSEG,2023-05-08,2023-05-08,stack,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; margin combination x PIT revenue leg (2463.3); equal_insufficient_prior; conformal fallback n=1",1.0
final-margin,combined_dollar_from_margin,adj_ebitda_musd,2023Q3,2023-08-03,0,1793.2481486266695,1793.2481486266695,W1,PIT,54,2,1560.1258893052025,1613.9233337640026,,,1972.5729634893364,2026.3704079481365,,,,,,,LSEG,2023-08-02,2023-08-02,stack,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; margin combination x PIT revenue leg (3462.9); equal_insufficient_prior; conformal fallback n=2",1.0
final-margin,combined_dollar_from_margin,adj_ebitda_musd,2023Q4,2023-11-01,0,648.0587517703032,648.0587517703032,W1,PIT,54,3,563.8111140401637,583.2528765932728,,,712.8646269473335,732.3063895004426,,,,,,,LSEG,2023-10-31,2023-10-31,stack,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; margin combination x PIT revenue leg (2206.7); equal_insufficient_prior; conformal fallback n=3",1.0
final-margin,combined_dollar_from_margin,adj_ebitda_musd,2024Q1,2024-02-13,0,361.41621499866665,361.41621499866665,W1,PIT,54,4,248.9896547115456,271.4749667689698,,,451.3574632283635,473.8427752857877,,,,,,,LSEG,2024-02-12,2024-02-12,stack,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; margin combination x PIT revenue leg (2102.0); invmae_shrunk_lam0.5; conformal split_conformal n=4",1.0
final-margin,combined_dollar_from_margin,adj_ebitda_musd,2024Q2,2024-05-08,0,913.8010871544792,913.8010871544792,W1,PIT,54,5,805.871589278843,823.8598389247824,,,1003.742335384176,1021.7305850301154,,,,,,,LSEG,2024-05-07,2024-05-07,stack,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; margin combination x PIT revenue leg (2778.7); invmae_shrunk_lam0.5; conformal split_conformal n=5",1.0
final-margin,combined_dollar_from_margin,adj_ebitda_musd,2024Q3,2024-08-06,0,1986.6890760794527,1986.6890760794527,W1,PIT,54,6,1881.757619811473,1896.7478278497558,,,2076.6303243091497,2091.6205323474323,,,,,,,LSEG,2024-08-05,2024-08-05,stack,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; margin combination x PIT revenue leg (3793.8); invmae_shrunk_lam0.5; conformal split_conformal n=6",1.0
final-margin,combined_dollar_from_margin,adj_ebitda_musd,2024Q4,2024-11-07,0,763.8069143674164,763.8069143674164,W1,PIT,54,7,661.01691639062,673.8656661377196,,,853.7481625971133,866.5969123442128,,,,,,,LSEG,2024-11-06,2024-11-06,stack,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; margin combination x PIT revenue leg (2475.5); invmae_shrunk_lam0.5; conformal split_conformal n=7",1.0
final-margin,combined_dollar_from_margin,adj_ebitda_musd,2025Q1,2025-02-13,0,395.85810142226455,395.85810142226455,W1,PIT,54,8,294.67419716385564,305.9168531925677,,,485.7993496519614,497.04200568067347,,,,,,,LSEG,2025-02-12,2025-02-12,stack,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; margin combination x PIT revenue leg (2301.1); invmae_shrunk_lam0.5; conformal split_conformal n=8",1.0
final-margin,combined_dollar_from_margin,adj_ebitda_musd,2025Q2,2025-05-01,0,974.1151180790308,974.1151180790308,W1,PIT,54,9,884.173869849334,911.5313330776975,,,1036.6989030803643,1064.0563663087278,,,,,,,LSEG,2025-04-30,2025-04-30,stack,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; margin combination x PIT revenue leg (3081.8); invmae_shrunk_lam0.5; conformal split_conformal n=9",1.0
