method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
final-margin,combined,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,15.176246589486508,15.176246589486508,W1,PIT,54,0,11.176246589486508,12.176246589486508,,,18.17624658948651,19.17624658948651,,,,,,,LSEG,2023-02-13,2023-02-13,stack_clip,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; equal_insufficient_prior; clipped_ceiling; conformal fallback n=0",1.0
final-margin,combined,adj_ebitda_margin_pct,2023Q2,2023-05-09,0,33.79105720383992,33.79105720383992,W1,PIT,54,1,29.79105720383992,30.79105720383992,,,36.79105720383992,37.79105720383992,,,,,,,LSEG,2023-05-08,2023-05-08,stack_clip,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; equal_insufficient_prior; clipped_ceiling; conformal fallback n=1",1.0
final-margin,combined,adj_ebitda_margin_pct,2023Q3,2023-08-03,0,51.784870497246764,51.784870497246764,W1,PIT,54,2,47.784870497246764,48.784870497246764,,,54.784870497246764,55.784870497246764,,,,,,,LSEG,2023-08-02,2023-08-02,stack_clip,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; equal_insufficient_prior; sentence_not_binding; conformal fallback n=2",1.0
final-margin,combined,adj_ebitda_margin_pct,2023Q4,2023-11-01,0,29.367309392456132,29.367309392456132,W1,PIT,54,3,25.367309392456132,26.367309392456132,,,32.367309392456136,33.367309392456136,,,,,,,LSEG,2023-10-31,2023-10-31,stack_clip,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; equal_insufficient_prior; sentence_not_binding; conformal fallback n=3",1.0
final-margin,combined,adj_ebitda_margin_pct,2024Q1,2024-02-13,0,17.19410967506914,17.19410967506914,W1,PIT,54,4,12.311722520238042,13.288199951204263,,,21.100019398934016,22.076496829900236,,,,,,,LSEG,2024-02-12,2024-02-12,stack_clip,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; invmae_shrunk_lam0.5; sentence_not_binding; conformal split_conformal n=4",1.0
final-margin,combined,adj_ebitda_margin_pct,2024Q2,2024-05-08,0,32.885791565437124,32.885791565437124,W1,PIT,54,5,28.198699896799273,28.979881841572247,,,36.791701289302,37.57288323407498,,,,,,,LSEG,2024-05-07,2024-05-07,stack_clip,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; invmae_shrunk_lam0.5; sentence_not_binding; conformal split_conformal n=5",1.0
final-margin,combined,adj_ebitda_margin_pct,2024Q3,2024-08-06,0,52.36656655340123,52.36656655340123,W1,PIT,54,6,47.80967187555887,48.46065682953635,,,56.27247627726611,56.923461231243586,,,,,,,LSEG,2024-08-05,2024-08-05,stack_clip,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; invmae_shrunk_lam0.5; sentence_not_binding; conformal split_conformal n=6",1.0
final-margin,combined,adj_ebitda_margin_pct,2024Q4,2024-11-07,0,30.854474840423727,30.854474840423727,W1,PIT,54,7,26.390578013149582,26.94856511655885,,,34.7603845642886,35.318371667697875,,,,,,,LSEG,2024-11-06,2024-11-06,stack_clip,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; invmae_shrunk_lam0.5; sentence_not_binding; conformal split_conformal n=7",1.0
final-margin,combined,adj_ebitda_margin_pct,2025Q1,2025-02-13,0,17.203160082767496,17.203160082767496,W1,PIT,54,8,12.80901164341951,13.29725035890262,,,21.109069806632373,21.597308522115483,,,,,,,LSEG,2025-02-12,2025-02-12,stack_clip,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; invmae_shrunk_lam0.5; sentence_not_binding; conformal split_conformal n=8",1.0
final-margin,combined,adj_ebitda_margin_pct,2025Q2,2025-05-01,0,31.608365776878586,31.608365776878586,W1,PIT,54,9,27.70245605301371,29.007890951480874,,,34.2088406022763,35.514275500743466,,,,,,,LSEG,2025-04-30,2025-04-30,stack_clip,"WS23/WS31 combination; n_params=2 wrapper + 52 inherited; n_train = prior quarters the weights were fitted on; n_members=6; consensus_anchored=yes; members=street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_flowthrough|rw_hl4,baselines-margin|street,guide-policy-margin|actual_given_guide|nov_sentence_pin,margin-ts|q_sentence_direction|k_fit_median,FAMILY_A; invmae_shrunk_lam0.5; sentence_not_binding; conformal split_conformal n=9",1.0
