method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
baselines-margin,guide_implied,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,4.101008382893827,4.101008382893827,W1,PIT,3,12,-0.8335524979605893,0.25635368626002597,2.077539132305582,6.124477633482073,7.945663079527629,9.035569263748243,3.0,,,,,,,,2023-02-14,guide_implied|adj_ebitda_margin_pct|h0|PIT,"FY2023 guide point 34.56% (yoy_pts(+0.0) on FY2022 actual 34.56, 2023-02-14); YTD rev 0 EBITDA 0; FY rev hat 10399; shares FY2021-22; rev[guide_cushion]=1845; sigma additive_fallback n=0 (PIT)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,17.892274089623502,17.892274089623502,W1,full_sample,4,12,12.198701491032182,13.456252088814907,15.557563999422623,20.22698417982438,22.328296090432097,23.585846688214822,3.4614463592992375,,,,,,,,2023-02-14,guide_implied|adj_ebitda_margin_pct|h0|full_sample,"FY2023 guide point 34.56% (yoy_pts(+0.0) on FY2022 actual 34.56, 2023-02-14); YTD rev 0 EBITDA 0; FY rev hat 10384; shares FY2023-25; rev[guide_cushion]=1830; sigma additive n=14 (full_sample)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2023Q2,2023-05-09,0,25.41133406440724,25.41133406440724,W1,PIT,3,13,20.476773183552822,21.56667936777344,23.387864813818993,27.434803314995484,29.25598876104104,30.345894945261655,3.0,,,,,,,,2023-05-09,guide_implied|adj_ebitda_margin_pct|h0|PIT,"FY2023 guide point 34.56% (yoy_pts(+0.0) on FY2022 actual 34.56, 2023-05-09); YTD rev 1818 EBITDA 262; FY rev hat 10047; shares FY2021-22; rev[guide_cushion]=2463; sigma additive_fallback n=1 (PIT)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2023Q2,2023-05-09,0,32.926873792149856,32.926873792149856,W1,full_sample,4,13,27.233301193558535,28.49085179134126,30.592163701948976,35.261583882350735,37.362895792958454,38.62044639074117,3.4614463592992375,,,,,,,,2023-05-09,guide_implied|adj_ebitda_margin_pct|h0|full_sample,"FY2023 guide point 34.56% (yoy_pts(+0.0) on FY2022 actual 34.56, 2023-05-09); YTD rev 1818 EBITDA 262; FY rev hat 10044; shares FY2023-25; rev[guide_cushion]=2460; sigma additive n=14 (full_sample)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2023Q3,2023-08-03,0,51.98858568024195,51.98858568024195,W1,PIT,3,14,47.054024799387534,48.14393098360814,49.965116429653705,54.01205493083019,55.83324037687575,56.92314656109636,3.0,,,,,,,,2023-08-03,guide_implied|adj_ebitda_margin_pct|h0|PIT,"FY2023 guide floor 34.56% (yoy_pts(+0.0) on FY2022 actual 34.56, 2023-08-03); YTD rev 4302 EBITDA 1081; FY rev hat 10010; shares FY2021-22; rev[guide_cushion]=3463; sigma additive_fallback n=2 (PIT)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2023Q3,2023-08-03,0,49.54285858614862,49.54285858614862,W1,full_sample,4,14,43.8492859875573,45.10683658534002,47.20814849594774,51.8775686763495,53.97888058695722,55.236431184739935,3.4614463592992375,,,,,,,,2023-08-03,guide_implied|adj_ebitda_margin_pct|h0|full_sample,"FY2023 guide floor 34.56% (yoy_pts(+0.0) on FY2022 actual 34.56, 2023-08-03); YTD rev 4302 EBITDA 1081; FY rev hat 9982; shares FY2023-25; rev[guide_cushion]=3434; sigma additive n=14 (full_sample)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2023Q4,2023-11-01,0,29.780803622618443,29.780803622618443,W1,PIT,4,15,22.81736371344366,24.35539240610904,26.925370915484745,32.636236329752144,35.206214839127846,36.744243531793224,4.233470866389878,,,,,,,,2023-11-01,guide_implied|adj_ebitda_margin_pct|h0|PIT,"FY2023 guide point 36.06% (yoy_pts(+1.5) on FY2022 actual 34.56, 2023-11-01); YTD rev 7699 EBITDA 2915; FY rev hat 9906; shares FY2021-22; rev[guide_cushion]=2207; sigma additive n=3 (PIT)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2023Q4,2023-11-01,0,29.77331118478206,29.77331118478206,W1,full_sample,4,15,24.07973858619074,25.337289183973464,27.43860109458118,32.10802127498294,34.20933318559065,35.466883783373376,3.4614463592992375,,,,,,,,2023-11-01,guide_implied|adj_ebitda_margin_pct|h0|full_sample,"FY2023 guide point 36.06% (yoy_pts(+1.5) on FY2022 actual 34.56, 2023-11-01); YTD rev 7699 EBITDA 2915; FY rev hat 9903; shares FY2023-25; rev[guide_cushion]=2204; sigma additive n=14 (full_sample)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2024Q1,2024-02-13,0,7.294984953597908,7.294984953597908,W1,PIT,4,16,1.0534159642865593,2.432003604593911,4.735563106296704,9.854406800899111,12.157966302601904,13.536553942909256,3.7946045089004703,,,,,,,,2024-02-13,guide_implied|adj_ebitda_margin_pct|h0|PIT,"FY2024 guide floor 35.00% (level, 2024-02-13); YTD rev 0 EBITDA 0; FY rev hat 11547; shares FY2021-23; rev[guide_cushion]=2102; sigma additive n=4 (PIT)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2024Q1,2024-02-13,0,7.294984953597908,7.294984953597908,W2,PIT,4,16,1.0534159642865593,2.432003604593911,4.735563106296704,9.854406800899111,12.157966302601904,13.536553942909256,3.7946045089004703,,,,,,,,2024-02-13,guide_implied|adj_ebitda_margin_pct|h0|PIT,"FY2024 guide floor 35.00% (level, 2024-02-13); YTD rev 0 EBITDA 0; FY rev hat 11547; shares FY2021-23; rev[guide_cushion]=2102; sigma additive n=4 (PIT)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2024Q1,2024-02-13,0,17.54272013640596,17.54272013640596,W1,full_sample,4,16,11.849147537814641,13.106698135597366,15.208010046205082,19.87743022660684,21.978742137214557,23.23629273499728,3.4614463592992375,,,,,,,,2024-02-13,guide_implied|adj_ebitda_margin_pct|h0|full_sample,"FY2024 guide floor 35.00% (level, 2024-02-13); YTD rev 0 EBITDA 0; FY rev hat 11546; shares FY2023-25; rev[guide_cushion]=2102; sigma additive n=14 (full_sample)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2024Q1,2024-02-13,0,17.54272013640596,17.54272013640596,W2,full_sample,4,16,11.849147537814641,13.106698135597366,15.208010046205082,19.87743022660684,21.978742137214557,23.23629273499728,3.4614463592992375,,,,,,,,2024-02-13,guide_implied|adj_ebitda_margin_pct|h0|full_sample,"FY2024 guide floor 35.00% (level, 2024-02-13); YTD rev 0 EBITDA 0; FY rev hat 11546; shares FY2023-25; rev[guide_cushion]=2102; sigma additive n=14 (full_sample)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2024Q2,2024-05-08,0,27.303356685588096,27.303356685588096,W1,PIT,4,17,20.008753517846976,21.619926891916226,24.31212695683217,30.29458641434402,32.98678647925996,34.597959853329215,4.434803831913445,,,,,,,,2024-05-08,guide_implied|adj_ebitda_margin_pct|h0|PIT,"FY2024 guide floor 35.00% (level, 2024-05-08); YTD rev 2142 EBITDA 424; FY rev hat 11536; shares FY2021-23; rev[guide_cushion]=2779; sigma additive n=5 (PIT)",1.0
baselines-margin,guide_implied,adj_ebitda_margin_pct,2024Q2,2024-05-08,0,27.303356685588096,27.303356685588096,W2,PIT,4,17,20.008753517846976,21.619926891916226,24.31212695683217,30.29458641434402,32.98678647925996,34.597959853329215,4.434803831913445,,,,,,,,2024-05-08,guide_implied|adj_ebitda_margin_pct|h0|PIT,"FY2024 guide floor 35.00% (level, 2024-05-08); YTD rev 2142 EBITDA 424; FY rev hat 11536; shares FY2021-23; rev[guide_cushion]=2779; sigma additive n=5 (PIT)",1.0
