method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,15.176246589486508,15.176246589486508,W1,PIT,1,12,10.2808148217831,11.362078481686746,13.168822648536867,17.18367053043615,18.99041469728627,20.071678357189917,2.9762111883331954,,,,,,,,2023-02-14,q_guide_implied|adj_ebitda_margin_pct|h0|PIT,ceiling yoy_pts(+0.0) on 2022Q1 actual 15.18 (ABNB-4Q22-adj_ebitda_margin_yoy_pts-1Q23-062); rev[guide_cushion]=1845; sigma additive n=3 (PIT),1.0
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,15.176246589486508,15.176246589486508,W1,full_sample,1,12,9.836573152030777,11.015957344813067,12.986656619932077,17.36583655904094,19.33653583415995,20.51592002694224,3.246290946479013,,,,,,,,2023-02-14,q_guide_implied|adj_ebitda_margin_pct|h0|full_sample,ceiling yoy_pts(+0.0) on 2022Q1 actual 15.18 (ABNB-4Q22-adj_ebitda_margin_yoy_pts-1Q23-062); rev[guide_cushion]=1830; sigma additive n=17 (full_sample),1.0
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,2023Q2,2023-05-09,0,33.79105720383992,33.79105720383992,W1,PIT,1,13,27.88205503818008,29.187187988897783,31.368007924974453,36.21410648270538,38.394926418782056,39.700059369499755,3.5924182363943378,,,,,,,,2023-05-09,q_guide_implied|adj_ebitda_margin_pct|h0|PIT,ceiling yoy_pts(+0.0) on 2022Q2 actual 33.79 (ABNB-1Q23-adj_ebitda_margin_yoy_pts-2Q23-072); rev[guide_cushion]=2463; sigma additive n=4 (PIT),1.0
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,2023Q2,2023-05-09,0,33.79105720383992,33.79105720383992,W1,full_sample,1,13,28.451383766384186,29.630767959166477,31.601467234285487,35.98064717339435,37.95134644851336,39.13073064129565,3.246290946479013,,,,,,,,2023-05-09,q_guide_implied|adj_ebitda_margin_pct|h0|full_sample,ceiling yoy_pts(+0.0) on 2022Q2 actual 33.79 (ABNB-1Q23-adj_ebitda_margin_yoy_pts-2Q23-072); rev[guide_cushion]=2460; sigma additive n=17 (full_sample),1.0
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,2023Q3,2023-08-03,0,50.512929853938935,50.512929853938935,W1,PIT,1,14,44.6011714928992,45.90691320992094,48.08875036779981,52.93710934007806,55.118946497956934,56.42468821497867,3.594093884205631,,,,,,,,2023-08-03,q_guide_implied|adj_ebitda_margin_pct|h0|PIT,floor yoy_pts(+0.0) on 2022Q3 actual 50.51 (ABNB-2Q23-adj_ebitda_margin_yoy_pts-3Q23-081); rev[guide_cushion]=3463; sigma additive n=5 (PIT),1.0
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,2023Q3,2023-08-03,0,50.512929853938935,50.512929853938935,W1,full_sample,1,14,45.173256416483206,46.35264060926549,48.3233398843845,52.70251982349337,54.67321909861238,55.852603291394665,3.246290946479013,,,,,,,,2023-08-03,q_guide_implied|adj_ebitda_margin_pct|h0|full_sample,floor yoy_pts(+0.0) on 2022Q3 actual 50.51 (ABNB-2Q23-adj_ebitda_margin_yoy_pts-3Q23-081); rev[guide_cushion]=3434; sigma additive n=17 (full_sample),1.0
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,2023Q4,2023-11-01,0,26.603575184016822,26.603575184016822,W1,PIT,1,15,21.2667282884003,22.445488177317486,24.415144268050994,28.79200609998265,30.76166219071616,31.940422079633343,3.2445725310571802,,,,,,,,2023-11-01,q_guide_implied|adj_ebitda_margin_pct|h0|PIT,floor yoy_pts(+0.0) on 2022Q4 actual 26.60 (ABNB-3Q23-adj_ebitda_margin_yoy_pts-4Q23-088); rev[guide_cushion]=2207; sigma additive n=6 (PIT),1.0
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,2023Q4,2023-11-01,0,26.603575184016822,26.603575184016822,W1,full_sample,1,15,21.26390174656109,22.44328593934338,24.413985214462393,28.793165153571252,30.763864428690265,31.943248621472556,3.246290946479013,,,,,,,,2023-11-01,q_guide_implied|adj_ebitda_margin_pct|h0|full_sample,floor yoy_pts(+0.0) on 2022Q4 actual 26.60 (ABNB-3Q23-adj_ebitda_margin_yoy_pts-4Q23-088); rev[guide_cushion]=2204; sigma additive n=17 (full_sample),1.0
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,2024Q1,2024-02-13,0,14.411441144114413,14.411441144114413,W1,PIT,1,16,8.915637033112205,10.12950611538184,12.157828128817313,16.66505415941151,18.693376172846985,19.90724525511662,3.341211656132579,,,,,,,,2024-02-13,q_guide_implied|adj_ebitda_margin_pct|h0|PIT,floor yoy_pts(+0.0) on 2023Q1 actual 14.41 (ABNB-4Q23-adj_ebitda_margin_yoy_pts-1Q24-096); rev[guide_cushion]=2102; sigma additive n=7 (PIT),1.0
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,2024Q1,2024-02-13,0,14.411441144114413,14.411441144114413,W2,PIT,1,16,8.915637033112205,10.12950611538184,12.157828128817313,16.66505415941151,18.693376172846985,19.90724525511662,3.341211656132579,,,,,,,,2024-02-13,q_guide_implied|adj_ebitda_margin_pct|h0|PIT,floor yoy_pts(+0.0) on 2023Q1 actual 14.41 (ABNB-4Q23-adj_ebitda_margin_yoy_pts-1Q24-096); rev[guide_cushion]=2102; sigma additive n=7 (PIT),1.0
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,2024Q1,2024-02-13,0,14.411441144114413,14.411441144114413,W1,full_sample,1,16,9.07176770665868,10.25115189944097,12.221851174559982,16.601031113668846,18.571730388787856,19.751114581570146,3.246290946479013,,,,,,,,2024-02-13,q_guide_implied|adj_ebitda_margin_pct|h0|full_sample,floor yoy_pts(+0.0) on 2023Q1 actual 14.41 (ABNB-4Q23-adj_ebitda_margin_yoy_pts-1Q24-096); rev[guide_cushion]=2102; sigma additive n=17 (full_sample),1.0
