method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,20.049713631956145,20.049713631956145,W1,PIT,1,12,2.8272809258449705,6.631233570657368,12.987471652866981,27.11195561104531,33.46819369325492,37.272146338067316,10.470495625820988,,,,,,,,2023-02-14,seasonal_naive_drift|adj_ebitda_margin_pct|h0|PIT,y[2022Q1] + (y[2022Q4] - y[2021Q4] = +4.873); sigma additive n=5 (PIT),1.0
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,20.049713631956145,20.049713631956145,W1,full_sample,1,12,10.765524780129782,12.816141864283694,16.24263310099875,23.85679416291354,27.283285399628596,29.33390248378251,5.644386041226921,,,,,,,,2023-02-14,seasonal_naive_drift|adj_ebitda_margin_pct|h0|full_sample,y[2022Q1] + (y[2022Q4] - y[2021Q4] = +4.873); sigma additive n=19 (full_sample),1.0
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,2023Q2,2023-05-09,0,33.02625175846782,33.02625175846782,W1,PIT,1,13,17.360888834125273,20.820928408375085,26.602502828811545,39.4500006881241,45.23157510856056,48.69161468281037,9.523864414231383,,,,,,,,2023-05-09,seasonal_naive_drift|adj_ebitda_margin_pct|h0|PIT,y[2022Q2] + (y[2023Q1] - y[2022Q1] = -0.765); sigma additive n=6 (PIT),1.0
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,2023Q2,2023-05-09,0,33.02625175846782,33.02625175846782,W1,full_sample,1,13,23.742062906641458,25.79267999079537,29.219171227510426,36.83333228942522,40.25982352614027,42.31044061029419,5.644386041226921,,,,,,,,2023-05-09,seasonal_naive_drift|adj_ebitda_margin_pct|h0|full_sample,y[2022Q2] + (y[2023Q1] - y[2022Q1] = -0.765); sigma additive n=19 (full_sample),1.0
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,2023Q3,2023-08-03,0,49.69288714285264,49.69288714285264,W1,PIT,1,14,35.3358577893849,38.50692315005221,43.805634329892186,55.580139955813095,60.87885113565307,64.04991649632038,8.72845408139852,,,,,,,,2023-08-03,seasonal_naive_drift|adj_ebitda_margin_pct|h0|PIT,y[2022Q3] + (y[2023Q2] - y[2022Q2] = -0.820); sigma additive n=7 (PIT),1.0
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,2023Q3,2023-08-03,0,49.69288714285264,49.69288714285264,W1,full_sample,1,14,40.408698291026276,42.45931537518019,45.88580661189524,53.49996767381004,56.92645891052509,58.977075994679005,5.644386041226921,,,,,,,,2023-08-03,seasonal_naive_drift|adj_ebitda_margin_pct|h0|full_sample,y[2022Q3] + (y[2023Q2] - y[2022Q2] = -0.820); sigma additive n=19 (full_sample),1.0
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,2023Q4,2023-11-01,0,30.07945898918887,30.07945898918887,W1,PIT,1,15,16.32119891204288,19.36001292290591,24.437737895886563,35.72118008249117,40.79890505547183,43.837719066334856,8.364428209119847,,,,,,,,2023-11-01,seasonal_naive_drift|adj_ebitda_margin_pct|h0|PIT,y[2022Q4] + (y[2023Q3] - y[2022Q3] = +3.476); sigma additive n=8 (PIT),1.0
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,2023Q4,2023-11-01,0,30.07945898918887,30.07945898918887,W1,full_sample,1,15,20.795270137362508,22.845887221516417,26.272378458231472,33.886539520146265,37.313030756861316,39.36364784101523,5.644386041226921,,,,,,,,2023-11-01,seasonal_naive_drift|adj_ebitda_margin_pct|h0|full_sample,y[2022Q4] + (y[2023Q3] - y[2022Q3] = +3.476); sigma additive n=19 (full_sample),1.0
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,2024Q1,2024-02-13,0,21.0810850764186,21.0810850764186,W1,PIT,1,16,8.003016624860917,10.891595371212345,15.718283804376512,26.443886348460687,31.270574781624852,34.15915352797628,7.950901063334265,,,,,,,,2024-02-13,seasonal_naive_drift|adj_ebitda_margin_pct|h0|PIT,y[2023Q1] + (y[2023Q4] - y[2022Q4] = +6.670); sigma additive n=9 (PIT),1.0
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,2024Q1,2024-02-13,0,21.0810850764186,21.0810850764186,W2,PIT,1,16,8.003016624860917,10.891595371212345,15.718283804376512,26.443886348460687,31.270574781624852,34.15915352797628,7.950901063334265,,,,,,,,2024-02-13,seasonal_naive_drift|adj_ebitda_margin_pct|h0|PIT,y[2023Q1] + (y[2023Q4] - y[2022Q4] = +6.670); sigma additive n=9 (PIT),1.0
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,2024Q1,2024-02-13,0,21.0810850764186,21.0810850764186,W1,full_sample,1,16,11.796896224592237,13.847513308746148,17.274004545461203,24.888165607375996,28.31465684409105,30.36527392824496,5.644386041226921,,,,,,,,2024-02-13,seasonal_naive_drift|adj_ebitda_margin_pct|h0|full_sample,y[2023Q1] + (y[2023Q4] - y[2022Q4] = +6.670); sigma additive n=19 (full_sample),1.0
