method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
street-bias,street_plus_bias,adj_ebitda_musd,2023Q1,2023-02-14,0,261.3129772497341,261.3129772497341,W1,PIT,3,12,125.29002836267848,155.3336850866496,205.53531818483344,317.09063631463476,367.2922694128186,397.33592613678974,82.69608107267084,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,b_pct=+0.1543 b_pt=+4.806 n_pool=4; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,street_plus_bias,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,18.218678535752346,18.218678535752346,W1,PIT,3,12,-16.72024733912832,-9.00321794167876,3.891599822283979,32.54575724922071,45.44057501318345,53.15760441063301,21.241358685292585,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,b_pct=+0.1543 b_pt=+4.806 n_pool=4; sigma additive n=8 (PIT); street_src=street_pit,1.0
street-bias,street_plus_bias,adj_ebitda_musd,2023Q2,2023-02-14,1,970.3713805929975,970.3713805929975,W1,PIT,3,12,180.56138878001016,355.00827781852547,646.5013806419149,1294.2413805440801,1585.7344833674695,1760.1813724059848,480.1703804348841,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,b_pct=+0.2340 b_pt=+5.741 n_pool=4; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,street_plus_bias,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,39.35626667085203,39.35626667085203,W1,PIT,3,12,18.44029495483073,23.060046838067784,30.779449678330828,47.93308366337323,55.652486503636275,60.272238386873326,12.71600790082848,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,b_pct=+0.2340 b_pt=+5.741 n_pool=4; sigma additive n=7 (PIT); street_src=street_pit,1.0
street-bias,street_plus_bias,adj_ebitda_musd,2023Q1,2023-02-14,0,265.5149224617704,265.5149224617704,W1,PIT,3,12,126.13818730866403,156.9226014131156,208.36200761499686,322.667837308544,374.1072435104253,404.8916576148768,84.73503834588826,,,,,,LSEG,2023-02-13,2023-02-14,ew,b_pct=+0.1728 b_pt=+5.772 n_pool=4; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,street_plus_bias,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,19.18507251213186,19.18507251213186,W1,PIT,3,12,-15.979744208332463,-8.21282185475064,4.765364851313519,33.6047801729502,46.582966879014364,54.34988923259618,21.378690568131496,,,,,,LSEG,2023-02-13,2023-02-14,ew,b_pct=+0.1728 b_pt=+5.772 n_pool=4; sigma additive n=8 (PIT); street_src=street_pit,1.0
street-bias,street_plus_bias,adj_ebitda_musd,2023Q2,2023-02-14,1,996.7353685975642,996.7353685975642,W1,PIT,3,12,185.46705519092083,364.65348599872743,664.0661553096955,1329.4045818854327,1628.8172511964008,1808.0036820042076,493.2161136491071,,,,,,LSEG,2023-02-13,2023-02-14,ew,b_pct=+0.2675 b_pt=+6.811 n_pool=4; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,street_plus_bias,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,40.42597877979243,40.42597877979243,W1,PIT,3,12,19.390416776765058,24.036582802319487,31.800122516246184,49.05183504333868,56.815374757265374,61.4615407828198,12.788713632844111,,,,,,LSEG,2023-02-13,2023-02-14,ew,b_pct=+0.2675 b_pt=+6.811 n_pool=4; sigma additive n=7 (PIT); street_src=street_pit,1.0
street-bias,street_plus_bias,adj_ebitda_musd,2023Q1,2023-02-14,0,336.390327824762,336.390327824762,W1,PIT,3,12,155.0265742982003,195.0847438769768,262.02018886141013,410.76046678811383,477.69591177254716,517.7540813513236,110.2613330176354,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4_usd,b_pct=+0.1543 b_pt=+4.806 n_pool=4; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,street_plus_bias,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,18.218678535752346,18.218678535752346,W1,PIT,3,12,-16.72024733912832,-9.00321794167876,3.891599822283979,32.54575724922071,45.44057501318345,53.15760441063301,21.241358685292585,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4_usd,b_pct=+0.1543 b_pt=+4.806 n_pool=4; sigma additive n=8 (PIT); street_src=street_pit,1.0
street-bias,street_plus_bias,adj_ebitda_musd,2023Q2,2023-02-14,1,924.8566295757015,924.8566295757015,W1,PIT,3,12,122.71489250683615,299.88551841700746,595.9298661285658,1253.7833930228371,1549.8277407343955,1726.9983666445669,487.66754921259064,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4_usd,b_pct=+0.2340 b_pt=+5.741 n_pool=4; sigma relative n=5 (PIT); street_src=street_pit,1.0
