method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
below-ebitda,da,da_musd,2023Q1,2023-02-14,0,18.952397655858398,18.952397655858398,W1,PIT,2,12,-2.150394641909119,2.5106206713070667,10.298972893837952,27.605822417878844,35.39417464040973,40.05518995362591,12.829586749842823,,,,,,,,2023-02-14,mean4|rw,D&A rule mean4; sigma relative n=5 (PIT),1.0
below-ebitda,da,da_musd,2023Q1,2023-02-14,0,13.0,13.0,W1,PIT,1,12,3.284068198585295,5.430045198669256,9.015878673773498,16.9841213262265,20.569954801330745,22.715931801414705,5.9068671170588924,,,,,,,,2023-02-14,last_value|rw,D&A rule last_value; sigma relative n=5 (PIT),1.0
below-ebitda,da,da_musd,2023Q1,2023-02-14,0,20.633970599907517,20.633970599907517,W1,full_sample,2,12,0.603713019621734,5.027835476594096,12.420350123093675,28.84759107672136,36.240105723220935,40.6642281801933,12.177531940887244,,,,,,,,2023-02-14,mean4|rw,D&A rule mean4; sigma relative n=19 (full_sample),1.0
below-ebitda,da,da_musd,2023Q1,2023-02-14,0,13.0,13.0,W1,full_sample,1,12,6.699292007436604,8.090941795912627,10.41632757448519,15.58367242551481,17.909058204087373,19.300707992563396,3.8305584699600046,,,,,,,,2023-02-14,last_value|rw,D&A rule last_value; sigma relative n=19 (full_sample),1.0
below-ebitda,da,da_musd,2023Q1,2023-02-14,0,20.25,20.25,W1,PIT,2,12,-3.6168466636414176,1.6546707833261993,10.463145303413299,30.036854696586698,38.8453292166738,44.116846663641425,14.510012485351412,,,,,,,,2023-02-14,mean4|eq,D&A rule mean4; sigma relative n=5 (PIT),1.0
below-ebitda,da,da_musd,2023Q1,2023-02-14,0,13.0,13.0,W1,PIT,1,12,3.284068198585295,5.430045198669256,9.015878673773498,16.9841213262265,20.569954801330745,22.715931801414705,5.9068671170588924,,,,,,,,2023-02-14,last_value|eq,D&A rule last_value; sigma relative n=5 (PIT),1.0
below-ebitda,da,da_musd,2023Q1,2023-02-14,0,21.0,21.0,W1,full_sample,2,12,-0.052397581073360566,4.597486951774891,12.367240128348701,29.6327598716513,37.40251304822511,42.05239758107336,12.79894893753635,,,,,,,,2023-02-14,mean4|eq,D&A rule mean4; sigma relative n=19 (full_sample),1.0
below-ebitda,da,da_musd,2023Q1,2023-02-14,0,13.0,13.0,W1,full_sample,1,12,6.699292007436604,8.090941795912627,10.41632757448519,15.58367242551481,17.909058204087373,19.300707992563396,3.8305584699600046,,,,,,,,2023-02-14,last_value|eq,D&A rule last_value; sigma relative n=19 (full_sample),1.0
below-ebitda,da,da_musd,2023Q2,2023-02-14,1,18.952397655858398,18.952397655858398,W1,PIT,2,12,-11.308637523069278,-4.6248230603890415,6.543537849689186,31.36125746202761,42.52961837210584,49.213432834786076,18.397403077751466,,,,,,,,2023-02-14,mean4|rw,D&A rule mean4; sigma relative n=4 (PIT),1.0
below-ebitda,da,da_musd,2023Q2,2023-02-14,1,13.0,13.0,W1,PIT,1,12,-4.1338130620576115,-0.34943401263282947,5.974097449903637,20.02590255009636,26.34943401263283,30.133813062057612,10.416618707777033,,,,,,,,2023-02-14,last_value|rw,D&A rule last_value; sigma relative n=4 (PIT),1.0
below-ebitda,da,da_musd,2023Q2,2023-02-14,1,20.633970599907517,20.633970599907517,W1,full_sample,2,12,0.20695048884284492,4.718706667721594,12.25765342115783,29.010287778657204,36.54923453209344,41.06099071097219,12.418746432120873,,,,,,,,2023-02-14,mean4|rw,D&A rule mean4; sigma relative n=18 (full_sample),1.0
