method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
baselines-margin,pct_rev_last4,adj_ebitda_musd,2023Q1,2023-02-14,0,581.6078218054638,581.6078218054638,W1,PIT,3,12,173.16303561132486,263.3770402885919,414.1206866008766,749.094957010051,899.8386033223356,990.0526079996027,248.3167982254686,,,,,,,,2023-02-14,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=31.52% x rev[guide_cushion]=1845; sigma relative n=5 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2023Q1,2023-02-14,0,576.8083756397722,576.8083756397722,W1,full_sample,3,12,204.85071100840162,287.0057332562564,424.2831732813663,729.333577998178,866.6110180232879,948.7660402711429,226.13420339458838,,,,,,,,2023-02-14,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=31.52% x rev[guide_cushion]=1830; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2023Q2,2023-05-09,0,771.7558749650897,771.7558749650897,W1,PIT,3,13,143.37381804656937,282.1658010467223,514.081119197185,1029.4306307329944,1261.345948883457,1400.13793188361,382.0291645543846,,,,,,,,2023-05-09,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=31.33% x rev[guide_cushion]=2463; sigma relative n=6 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2023Q2,2023-05-09,0,770.8363598995584,770.8363598995584,W1,full_sample,3,13,273.75881326516696,383.5493103722222,567.004417188097,974.6683026110197,1158.1234094268946,1267.9139065339498,302.2016904663193,,,,,,,,2023-05-09,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=31.33% x rev[guide_cushion]=2460; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2023Q3,2023-08-03,0,1077.812537679042,1077.812537679042,W1,PIT,3,14,276.40412779628434,453.4127822860001,749.1864828557407,1406.4385925023432,1702.2122930720836,1879.2209475617994,487.22171793976986,,,,,,,,2023-08-03,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=31.12% x rev[guide_cushion]=3463; sigma relative n=7 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2023Q3,2023-08-03,0,1068.9183944826182,1068.9183944826182,W1,full_sample,3,14,379.621209343315,531.8676367334473,786.2647415389526,1351.5720474262837,1605.969152231789,1758.2155796219215,419.06293292299097,,,,,,,,2023-08-03,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=31.12% x rev[guide_cushion]=3434; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2023Q4,2023-11-01,0,706.0164830167345,706.0164830167345,W1,PIT,3,15,158.73885324461884,279.6171416225198,481.599461499118,930.433504534351,1132.4158244109492,1253.29411278885,332.72117397243755,,,,,,,,2023-11-01,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=31.99% x rev[guide_cushion]=2207; sigma relative n=8 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2023Q4,2023-11-01,0,705.1752937058313,705.1752937058313,W1,full_sample,3,15,250.43960247798705,350.87797055609,518.7060798159804,891.6445075956823,1059.4726168555726,1159.9109849336758,276.4596701960887,,,,,,,,2023-11-01,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=31.99% x rev[guide_cushion]=2204; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q1,2024-02-13,0,707.5490137614473,707.5490137614473,W1,PIT,3,16,192.39477182481662,306.17790423942745,496.3045295940174,918.7934979288773,1108.9201232834673,1222.703255698078,313.19154087370305,,,,,,,,2024-02-13,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=33.66% x rev[guide_cushion]=2102; sigma relative n=9 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q1,2024-02-13,0,707.5490137614473,707.5490137614473,W2,PIT,3,16,192.39477182481662,306.17790423942745,496.3045295940174,918.7934979288773,1108.9201232834673,1222.703255698078,313.19154087370305,,,,,,,,2024-02-13,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=33.66% x rev[guide_cushion]=2102; sigma relative n=9 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q1,2024-02-13,0,707.4185753768095,707.4185753768095,W1,full_sample,3,16,251.23629313765767,351.9941726226173,520.3561714341383,894.4809793194806,1062.8429781310015,1163.6008576159613,277.33913508439525,,,,,,,,2024-02-13,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=33.66% x rev[guide_cushion]=2102; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q1,2024-02-13,0,707.4185753768095,707.4185753768095,W2,full_sample,3,16,251.23629313765767,351.9941726226173,520.3561714341383,894.4809793194806,1062.8429781310015,1163.6008576159613,277.33913508439525,,,,,,,,2024-02-13,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=33.66% x rev[guide_cushion]=2102; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q2,2024-05-08,0,972.7407799143916,972.7407799143916,W1,PIT,3,17,248.79225158382854,408.6921894174606,675.8779745999169,1269.6035852288662,1536.7893704113226,1696.6893082449549,440.12945375103675,,,,,,,,2024-05-08,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=35.01% x rev[guide_cushion]=2779; sigma relative n=10 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q2,2024-05-08,0,972.7407799143916,972.7407799143916,W2,PIT,3,17,248.79225158382854,408.6921894174606,675.8779745999169,1269.6035852288662,1536.7893704113226,1696.6893082449549,440.12945375103675,,,,,,,,2024-05-08,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=35.01% x rev[guide_cushion]=2779; sigma relative n=10 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q2,2024-05-08,0,972.5614527815209,972.5614527815209,W1,full_sample,3,17,345.4005065038817,483.92278039085346,715.3874264387969,1229.7354791242449,1461.200125172188,1599.7223990591601,381.2867819977408,,,,,,,,2024-05-08,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=35.01% x rev[guide_cushion]=2778; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q2,2024-05-08,0,972.5614527815209,972.5614527815209,W2,full_sample,3,17,345.4005065038817,483.92278039085346,715.3874264387969,1229.7354791242449,1461.200125172188,1599.7223990591601,381.2867819977408,,,,,,,,2024-05-08,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=35.01% x rev[guide_cushion]=2778; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q3,2024-08-06,0,1323.939545425159,1323.939545425159,W1,PIT,3,18,381.92339395305225,589.98835736422,937.6557884536087,1710.2233023967092,2057.8907334860983,2265.9556968972656,572.7051550586992,,,,,,,,2024-08-06,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=34.90% x rev[guide_cushion]=3794; sigma relative n=11 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q3,2024-08-06,0,1323.939545425159,1323.939545425159,W2,PIT,3,18,381.92339395305225,589.98835736422,937.6557884536087,1710.2233023967092,2057.8907334860983,2265.9556968972656,572.7051550586992,,,,,,,,2024-08-06,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=34.90% x rev[guide_cushion]=3794; sigma relative n=11 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q3,2024-08-06,0,1323.6954739441667,1323.6954739441667,W1,full_sample,3,18,470.104059593979,658.6384770955428,973.6712223020088,1673.7197255863246,1988.7524707927903,2177.2868882943544,518.9467320154264,,,,,,,,2024-08-06,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=34.90% x rev[guide_cushion]=3793; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q3,2024-08-06,0,1323.6954739441667,1323.6954739441667,W2,full_sample,3,18,470.104059593979,658.6384770955428,973.6712223020088,1673.7197255863246,1988.7524707927903,2177.2868882943544,518.9467320154264,,,,,,,,2024-08-06,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=34.90% x rev[guide_cushion]=3793; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q4,2024-11-07,0,854.4591405261936,854.4591405261936,W1,PIT,3,19,252.68095378070387,385.59688755866796,607.6935850988161,1101.224695953571,1323.3213934937191,1456.2373272716832,365.85515992739687,,,,,,,,2024-11-07,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=34.52% x rev[guide_cushion]=2476; sigma relative n=12 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q4,2024-11-07,0,854.4591405261936,854.4591405261936,W2,PIT,3,19,252.68095378070387,385.59688755866796,607.6935850988161,1101.224695953571,1323.3213934937191,1456.2373272716832,365.85515992739687,,,,,,,,2024-11-07,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=34.52% x rev[guide_cushion]=2476; sigma relative n=12 (PIT),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q4,2024-11-07,0,854.5490928805896,854.5490928805896,W1,full_sample,3,19,303.48898639692874,425.2027178586467,628.5810264976492,1080.51715926353,1283.8954679025323,1405.6091993642506,335.0207565307686,,,,,,,,2024-11-07,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=34.52% x rev[guide_cushion]=2476; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2024Q4,2024-11-07,0,854.5490928805896,854.5490928805896,W2,full_sample,3,19,303.48898639692874,425.2027178586467,628.5810264976492,1080.51715926353,1283.8954679025323,1405.6091993642506,335.0207565307686,,,,,,,,2024-11-07,pct_rev_last4|adj_ebitda_musd|h0|full_sample,ratio4=34.52% x rev[guide_cushion]=2476; sigma relative n=19 (full_sample),1.0
baselines-margin,pct_rev_last4,adj_ebitda_musd,2025Q1,2025-02-13,0,780.2913241558113,780.2913241558113,W1,PIT,3,20,270.57344772545815,383.1558393795357,571.2760795706898,989.3065687409327,1177.4268089320867,1290.0092005861643,309.8864653233921,,,,,,,,2025-02-13,pct_rev_last4|adj_ebitda_musd|h0|PIT,ratio4=33.91% x rev[guide_cushion]=2301; sigma relative n=12 (PIT),1.0
