method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
below-ebitda,fcf,fcf_musd,2023Q1,2023-02-14,0,1405.9973412183558,1405.9973412183558,W1,PIT,3,12,-1392.3472706339007,-774.271382691848,258.506326039736,2553.4883563969756,3586.2660651285596,4204.341953070612,1701.2727248190672,,,,,,,,2023-02-14,swing_x_gbv|rw,NI from q_guide_implied; wc swing x GBV; other_cf 111; capex 6; rev leg guide_cushion; sigma additive n=5 (PIT),1.0
below-ebitda,fcf,fcf_musd,2023Q1,2023-02-14,0,1389.7757240568822,1389.7757240568822,W1,PIT,3,12,-1287.9441363530996,-696.5108749266296,291.7481730641639,2487.8032750496004,3476.062323040394,4067.495584466864,1627.9380830820771,,,,,,,,2023-02-14,swing_x_gbv_ebitda_known|rw,NI from EBITDA actual; wc swing x GBV; other_cf 111; capex 6; rev leg guide_cushion; sigma additive n=5 (PIT),1.0
below-ebitda,fcf,fcf_musd,2023Q1,2023-02-14,0,1154.827648721915,1154.827648721915,W1,PIT,5,12,-3512.266718326508,-2481.4363899941286,-758.9641089108165,3068.6194063546463,4791.091687437958,5821.9220157703385,2837.391905624023,,,,,,,,2023-02-14,balance_ratio|rw,NI from q_guide_implied; wc balance ratio; other_cf 111; capex 6; rev leg guide_cushion; sigma additive n=5 (PIT),1.0
below-ebitda,fcf,fcf_musd,2023Q1,2023-02-14,0,1597.7195675075534,1597.7195675075534,W1,PIT,3,12,-1509.4485502990653,-823.1622061281148,323.5921842212797,2871.846950793827,4018.6013411432214,4704.887685314172,1889.0240851189667,,,,,,,,2023-02-14,swing_x_gbv_seasonal_other|rw,NI from q_guide_implied; wc swing x GBV; other_cf 303 (seasonal); capex 6; rev leg guide_cushion; sigma additive n=5 (PIT),1.0
below-ebitda,fcf,fcf_musd,2023Q1,2023-02-14,0,1581.4979503460797,1581.4979503460797,W1,PIT,3,12,-1400.4322969020297,-741.8074879550011,358.72568987681666,2804.2702108153426,3904.8033886471603,4563.428197594189,1812.8848660988392,,,,,,,,2023-02-14,swing_x_gbv_seasonal_other_ebitda_known|rw,NI from EBITDA actual; wc swing x GBV; other_cf 303 (seasonal); capex 6; rev leg guide_cushion; sigma additive n=5 (PIT),1.0
below-ebitda,fcf,cfo_musd,2023Q1,2023-02-14,0,1604.1309753991682,1604.1309753991682,W1,PIT,3,12,-1505.0459396806455,-818.3159084980716,329.1798633939429,2879.0820874043934,4026.577859296408,4713.307890478982,1890.2453471451313,,,,,,,,2023-02-14,swing_x_gbv_seasonal_other|rw,NI from q_guide_implied; wc swing x GBV; other_cf 303 (seasonal); capex 6; rev leg guide_cushion; sigma additive n=5 (PIT),1.0
below-ebitda,fcf,fcf_margin_pct,2023Q1,2023-02-14,0,86.59037970392063,86.59037970392063,W1,PIT,3,12,-130.95324380789594,-82.90395506100424,-2.615700323505777,175.79645973134706,256.0847144688455,304.1340032157372,132.25713215285066,,,,,,,,2023-02-14,swing_x_gbv_seasonal_other|rw,NI from q_guide_implied; wc swing x GBV; other_cf 303 (seasonal); capex 6; rev leg guide_cushion; sigma additive n=5 (PIT),1.0
below-ebitda,fcf,cfo_musd,2023Q1,2023-02-14,0,1412.4087491099706,1412.4087491099706,W1,PIT,3,12,-1388.027714031806,-769.4897947739044,264.0599480283395,2560.7575501916017,3594.3072929938453,4212.845212251747,1702.5444801018743,,,,,,,,2023-02-14,swing_x_gbv|rw,NI from q_guide_implied; wc swing x GBV; other_cf 111; capex 6; rev leg guide_cushion; sigma additive n=5 (PIT),1.0
below-ebitda,fcf,cfo_musd,2023Q1,2023-02-14,0,1161.2390566135298,1161.2390566135298,W1,PIT,5,12,-3507.9846580004532,-2476.684016475858,-753.4258626696017,3075.903975896661,4799.162129702918,5830.462771227513,2838.68645702402,,,,,,,,2023-02-14,balance_ratio|rw,NI from q_guide_implied; wc balance ratio; other_cf 111; capex 6; rev leg guide_cushion; sigma additive n=5 (PIT),1.0
below-ebitda,fcf,fcf_margin_pct,2023Q1,2023-02-14,0,76.19975752611211,76.19975752611211,W1,PIT,3,12,-119.39888779067823,-76.1966296154722,-4.007550441423035,156.40706549364725,228.59614466769642,271.7984028429024,118.91553273302965,,,,,,,,2023-02-14,swing_x_gbv|rw,NI from q_guide_implied; wc swing x GBV; other_cf 111; capex 6; rev leg guide_cushion; sigma additive n=5 (PIT),1.0
below-ebitda,fcf,fcf_margin_pct,2023Q1,2023-02-14,0,62.587306702021564,62.587306702021564,W1,PIT,5,12,-262.40650278150605,-190.62447975209687,-70.67986660876487,195.85448001280798,315.79909315614003,387.5811161855492,197.58220680454252,,,,,,,,2023-02-14,balance_ratio|rw,NI from q_guide_implied; wc balance ratio; other_cf 111; capex 6; rev leg guide_cushion; sigma additive n=5 (PIT),1.0
