method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,25.127168270556336,25.127168270556336,W1,PIT,3,12,9.998070526594223,13.339664153860882,18.923320590243463,31.331015950869208,36.91467238725179,40.256266014518445,9.1978383341027,,,,,,,,2023-02-14,k4_rw,margin[2022Q1]=15.18 + delta +9.95; rev=1845; sigma additive n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q1,2023-02-14,0,463.6331259799876,463.6331259799876,W1,PIT,3,12,331.3812641584434,360.59199345215785,409.4018413347358,517.8644106252393,566.6742585078173,595.8849878015318,80.40342292745903,,,,,,,,2023-02-14,k4_rw,margin[2022Q1]=15.18 + delta +9.95; rev=1845; sigma relative n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,43.74197888490975,43.74197888490975,W1,PIT,3,12,24.760266078713844,28.952794385506245,35.95832536148133,51.52563240833817,58.53116338431325,62.72369169110566,11.540061981913919,,,,,,,,2023-02-14,k4_rw,margin[2022Q2]=33.79 + delta +9.95; rev=2612; sigma additive n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-02-14,1,1142.6044454142489,1142.6044454142489,W1,PIT,3,12,969.0176224894071,1007.3580860834513,1071.4233196815564,1213.7855711469413,1277.8508047450464,1316.1912683390906,105.53329492701609,,,,,,,,2023-02-14,k4_rw,margin[2022Q2]=33.79 + delta +9.95; rev=2612; sigma relative n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,60.463851535008764,60.463851535008764,W1,PIT,3,12,52.66842626601057,54.39021720434421,57.26725436903253,63.660448700985,66.53748586567332,68.25927680400696,4.739282049945093,,,,,,,,2023-02-14,k4_rw,margin[2022Q3]=50.51 + delta +9.95; rev=3581; sigma additive n=3 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q3,2023-02-14,2,2164.924780462715,2164.924780462715,W1,PIT,3,12,1948.1954677937633,1996.064898100371,2076.052617270189,2253.7969436552407,2333.7846628250586,2381.6540931316667,131.762066312631,,,,,,,,2023-02-14,k4_rw,margin[2022Q3]=50.51 + delta +9.95; rev=3581; sigma relative n=3 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,14.827559542034367,14.827559542034367,W1,full_sample,3,12,-3.4903722466600495,0.5555454389623726,7.316096495219518,22.339022588849215,29.09957364510636,33.14549133072878,11.136511777430544,,,,,,,,2023-02-14,k4_rw,margin[2022Q1]=15.18 + delta -0.35; rev=1830; sigma additive n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q1,2023-02-14,0,271.33255612820216,271.33255612820216,W1,full_sample,3,12,160.17572790419572,184.7271555641005,225.75151470729836,316.91359754910593,357.9379566923038,382.48938435220856,67.57855313242769,,,,,,,,2023-02-14,k4_rw,margin[2022Q1]=15.18 + delta -0.35; rev=1830; sigma relative n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,33.44237015638778,33.44237015638778,W1,full_sample,3,12,10.626226270204864,15.665672924536619,24.086367325454184,42.79837298732138,51.21906738823894,56.258514042570695,13.871230553486846,,,,,,,,2023-02-14,k4_rw,margin[2022Q2]=33.79 + delta -0.35; rev=2612; sigma additive n=18 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-02-14,1,873.5636059451297,873.5636059451297,W1,full_sample,3,12,449.1674861274219,542.904693290719,699.5354564795983,1047.5917554106609,1204.2225185995403,1297.9597257628375,258.0145204800212,,,,,,,,2023-02-14,k4_rw,margin[2022Q2]=33.79 + delta -0.35; rev=2612; sigma relative n=18 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,50.1642428064868,50.1642428064868,W1,full_sample,3,12,23.737928269805302,29.57476042875948,39.327851045911466,61.00063456706213,70.75372518421412,76.59055734316829,16.066058464824813,,,,,,,,2023-02-14,k4_rw,margin[2022Q3]=50.51 + delta -0.35; rev=3581; sigma additive n=17 (full_sample),1.0
