method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
below-ebitda,sbc,sbc_musd,2023Q1,2023-02-14,0,205.6618441211035,205.6618441211035,W1,PIT,2,12,-12021.49130666176,-9320.85589933381,-4808.2125451555285,5219.5362333977355,9732.179587576016,12432.814994903965,7433.5812928499545,,,,,,,,2023-02-14,yoy|rw,y/y growth 5.5% on SBC[q-4]; sigma relative n=5 (PIT),1.0
below-ebitda,sbc,sbc_pct_rev,2023Q1,2023-02-14,0,11.1460969341672,11.1460969341672,W1,PIT,2,12,-927.4074541566679,-720.1072821140039,-373.7177838685101,396.00997773684446,742.3994759823382,949.6996480250023,570.6000435007248,,,,,,,,2023-02-14,yoy|rw,y/y growth 5.5% on SBC[q-4]; sigma additive n=5 (PIT),1.0
below-ebitda,sbc,sbc_musd,2023Q1,2023-02-14,0,219.3600556481055,219.3600556481055,W1,PIT,1,12,-14450.606134248925,-11210.42179794631,-5796.215840395156,6234.935951691367,11649.14190924252,14889.326245545135,8918.706169062565,,,,,,,,2023-02-14,yoy_last|rw,last y/y growth 12.5% on SBC[q-4]; sigma relative n=5 (PIT),1.0
below-ebitda,sbc,sbc_musd,2023Q1,2023-02-14,0,220.60944763562134,220.60944763562134,W1,full_sample,2,12,-902.8433769083938,-654.7041380347971,-240.0743497355664,681.2932450068091,1095.9230333060398,1344.0622721796365,683.0108200121081,,,,,,,,2023-02-14,yoy|rw,y/y growth 13.2% on SBC[q-4]; sigma relative n=19 (full_sample),1.0
below-ebitda,sbc,sbc_pct_rev,2023Q1,2023-02-14,0,12.055684607220238,12.055684607220238,W1,full_sample,2,12,-66.40159108170096,-49.07257801749275,-20.116556991300328,44.2279262057408,73.18394723193323,90.51296029614144,47.6986367682648,,,,,,,,2023-02-14,yoy|rw,y/y growth 13.2% on SBC[q-4]; sigma additive n=19 (full_sample),1.0
below-ebitda,sbc,sbc_musd,2023Q1,2023-02-14,0,223.88561556603776,223.88561556603776,W1,full_sample,1,12,-934.4262726584875,-678.5876437076628,-251.09251217514972,698.8637433072253,1126.3588748397383,1382.1975037905631,704.2036259307217,,,,,,,,2023-02-14,yoy_last|rw,last y/y growth 14.9% on SBC[q-4]; sigma relative n=19 (full_sample),1.0
below-ebitda,sbc,sbc_musd,2023Q1,2023-02-14,0,202.12558931502,202.12558931502,W1,PIT,2,12,-11637.448518330139,-9022.418457899228,-4652.817884952664,5057.069063582704,9426.669636529268,12041.699696960179,7197.949965668562,,,,,,,,2023-02-14,yoy|eq,y/y growth 3.7% on SBC[q-4]; sigma relative n=5 (PIT),1.0
below-ebitda,sbc,sbc_pct_rev,2023Q1,2023-02-14,0,10.954445249719056,10.954445249719056,W1,PIT,2,12,-913.522015258404,-709.3310779485527,-368.136974614766,390.04586511420416,731.2399684479907,935.4309057578421,562.0417801075242,,,,,,,,2023-02-14,yoy|eq,y/y growth 3.7% on SBC[q-4]; sigma additive n=5 (PIT),1.0
below-ebitda,sbc,sbc_musd,2023Q1,2023-02-14,0,219.3600556481055,219.3600556481055,W1,PIT,1,12,-14450.606134248925,-11210.42179794631,-5796.215840395156,6234.935951691367,11649.14190924252,14889.326245545135,8918.706169062565,,,,,,,,2023-02-14,yoy_last|eq,last y/y growth 12.5% on SBC[q-4]; sigma relative n=5 (PIT),1.0
below-ebitda,sbc,sbc_musd,2023Q1,2023-02-14,0,219.91671285499646,219.91671285499646,W1,full_sample,2,12,-896.236500903699,-649.7095414465325,-237.7738013605077,677.6072270705006,1089.5429671565255,1336.069926613692,678.5729717648762,,,,,,,,2023-02-14,yoy|eq,y/y growth 12.8% on SBC[q-4]; sigma relative n=19 (full_sample),1.0
below-ebitda,sbc,sbc_pct_rev,2023Q1,2023-02-14,0,12.017828603675644,12.017828603675644,W1,full_sample,2,12,-66.17591630083919,-48.90510980021222,-20.046349389651873,44.082006597003165,72.94076700756351,90.21157350819047,47.53842142746588,,,,,,,,2023-02-14,yoy|eq,y/y growth 12.8% on SBC[q-4]; sigma additive n=19 (full_sample),1.0
below-ebitda,sbc,sbc_musd,2023Q1,2023-02-14,0,223.88561556603776,223.88561556603776,W1,full_sample,1,12,-934.4262726584875,-678.5876437076628,-251.09251217514972,698.8637433072253,1126.3588748397383,1382.1975037905631,704.2036259307217,,,,,,,,2023-02-14,yoy_last|eq,last y/y growth 14.9% on SBC[q-4]; sigma relative n=19 (full_sample),1.0
below-ebitda,sbc,sbc_musd,2023Q2,2023-02-14,1,260.7186940050445,260.7186940050445,W1,PIT,2,12,-1340.8065179776702,-987.0744889540545,-396.00377811241975,917.4411661225087,1508.5118769641435,1862.2439059877593,973.6581941038357,,,,,,,,2023-02-14,yoy|rw,y/y growth 5.5% on SBC[q-4]; sigma relative n=4 (PIT),1.0
below-ebitda,sbc,sbc_pct_rev,2023Q2,2023-02-14,1,9.981014561811266,9.981014561811266,W1,PIT,2,12,-65.78178379966785,-49.047905251646384,-21.086327907864778,41.04835703148731,69.00993437526891,85.74381292329038,46.06051086861501,,,,,,,,2023-02-14,yoy|rw,y/y growth 5.5% on SBC[q-4]; sigma additive n=4 (PIT),1.0
below-ebitda,sbc,sbc_musd,2023Q2,2023-02-14,1,278.0839949668592,278.0839949668592,W1,PIT,1,12,-1439.4810054136717,-1060.1190396957634,-426.22182840253885,982.3898183362573,1616.2870296294818,1995.6489953473902,1044.2053762338842,,,,,,,,2023-02-14,yoy_last|rw,last y/y growth 12.5% on SBC[q-4]; sigma relative n=4 (PIT),1.0
below-ebitda,sbc,sbc_musd,2023Q2,2023-02-14,1,279.6678563227542,279.6678563227542,W1,full_sample,2,12,233.8560309926997,243.97457911546917,260.88222937297905,298.4534832725293,315.3611335300392,325.47968165280867,27.851612191755247,,,,,,,,2023-02-14,yoy|rw,y/y growth 13.2% on SBC[q-4]; sigma relative n=18 (full_sample),1.0
below-ebitda,sbc,sbc_pct_rev,2023Q2,2023-02-14,1,10.7064395864684,10.7064395864684,W1,full_sample,2,12,7.867002344449308,8.494154442580294,9.54209810058407,11.870781072352731,12.918724730356507,13.545876828487494,1.7262552700702187,,,,,,,,2023-02-14,yoy|rw,y/y growth 13.2% on SBC[q-4]; sigma additive n=18 (full_sample),1.0
below-ebitda,sbc,sbc_musd,2023Q2,2023-02-14,1,283.82107311320755,283.82107311320755,W1,full_sample,1,12,237.07662865047848,247.40116619860254,264.65301575411286,302.98913047230224,320.24098002781255,330.5655175759366,28.4186043650364,,,,,,,,2023-02-14,yoy_last|rw,last y/y growth 14.9% on SBC[q-4]; sigma relative n=18 (full_sample),1.0
below-ebitda,sbc,sbc_musd,2023Q2,2023-02-14,1,256.23576359735904,256.23576359735904,W1,PIT,2,12,-1360.6267132211742,-1003.5071122945661,-406.77591733376437,919.2474445284824,1515.9786394892842,1873.0982404158924,982.9825890436118,,,,,,,,2023-02-14,yoy|eq,y/y growth 3.7% on SBC[q-4]; sigma relative n=4 (PIT),1.0
below-ebitda,sbc,sbc_pct_rev,2023Q2,2023-02-14,1,9.809395898832578,9.809395898832578,W1,PIT,2,12,-66.27626348768827,-49.471073988939246,-21.39033917317615,41.009130970841305,69.0898657866044,85.89505528535342,46.25679643454718,,,,,,,,2023-02-14,yoy|eq,y/y growth 3.7% on SBC[q-4]; sigma additive n=4 (PIT),1.0
below-ebitda,sbc,sbc_musd,2023Q2,2023-02-14,1,278.0839949668592,278.0839949668592,W1,PIT,1,12,-1439.4810054136717,-1060.1190396957634,-426.22182840253885,982.3898183362573,1616.2870296294818,1995.6489953473902,1044.2053762338842,,,,,,,,2023-02-14,yoy_last|eq,last y/y growth 12.5% on SBC[q-4]; sigma relative n=4 (PIT),1.0
below-ebitda,sbc,sbc_musd,2023Q2,2023-02-14,1,278.7896724862325,278.7896724862325,W1,full_sample,2,12,233.0464841938982,243.1498723189122,260.0321908848747,297.54715408759034,314.4294726535528,324.5328607785668,27.8098838357511,,,,,,,,2023-02-14,yoy|eq,y/y growth 12.8% on SBC[q-4]; sigma relative n=18 (full_sample),1.0
below-ebitda,sbc,sbc_pct_rev,2023Q2,2023-02-14,1,10.67282034142838,10.67282034142838,W1,full_sample,2,12,7.8205308816762455,8.450521674460397,9.503208666764825,11.842432016091935,12.895119008396364,13.525109801180516,1.7340688636462396,,,,,,,,2023-02-14,yoy|eq,y/y growth 12.8% on SBC[q-4]; sigma additive n=18 (full_sample),1.0
below-ebitda,sbc,sbc_musd,2023Q2,2023-02-14,1,283.82107311320755,283.82107311320755,W1,full_sample,1,12,237.07662865047848,247.40116619860254,264.65301575411286,302.98913047230224,320.24098002781255,330.5655175759366,28.4186043650364,,,,,,,,2023-02-14,yoy_last|eq,last y/y growth 14.9% on SBC[q-4]; sigma relative n=18 (full_sample),1.0
below-ebitda,sbc,sbc_musd,2023Q3,2023-02-14,2,247.27575727645433,247.27575727645433,W1,PIT,2,12,-1177.3569783588275,-862.6955391137664,-336.91007071160107,831.4615852645097,1357.2470536666751,1671.9084929117362,866.1152045946228,,,,,,,,2023-02-14,yoy|rw,y/y growth 5.5% on SBC[q-4]; sigma relative n=3 (PIT),1.0
below-ebitda,sbc,sbc_pct_rev,2023Q3,2023-02-14,2,6.906126629016103,6.906126629016103,W1,PIT,2,12,-48.72245131047831,-36.435657697111154,-15.904964293227899,29.717217551260106,50.247910955143354,62.53470456851051,33.819774007851954,,,,,,,,2023-02-14,yoy|rw,y/y growth 5.5% on SBC[q-4]; sigma additive n=3 (PIT),1.0
below-ebitda,sbc,sbc_musd,2023Q3,2023-02-14,2,263.74568461347604,263.74568461347604,W1,PIT,1,12,-1201.0232208941109,-877.4968267298634,-336.89840734860354,864.3897765755556,1404.9881959568156,1728.5145901210628,890.5162632752621,,,,,,,,2023-02-14,yoy_last|rw,last y/y growth 12.5% on SBC[q-4]; sigma relative n=3 (PIT),1.0
below-ebitda,sbc,sbc_musd,2023Q3,2023-02-14,2,265.24788037160704,265.24788037160704,W1,full_sample,2,12,237.57587109227674,243.6878423034071,253.9006782130591,276.59508253015497,286.807918439807,292.9198896509373,16.82338709409473,,,,,,,,2023-02-14,yoy|rw,y/y growth 13.2% on SBC[q-4]; sigma relative n=17 (full_sample),1.0
below-ebitda,sbc,sbc_pct_rev,2023Q3,2023-02-14,2,7.408067293375796,7.408067293375796,W1,full_sample,2,12,4.425486432762597,5.084254943965464,6.185028241966048,8.631106344785543,9.731879642786128,10.390648153988995,1.8132804109390783,,,,,,,,2023-02-14,yoy|rw,y/y growth 13.2% on SBC[q-4]; sigma additive n=17 (full_sample),1.0
