method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
street-bias,dispersion_conditioned,adj_ebitda_musd,2023Q1,2023-02-14,0,260.8872830051463,260.8872830051463,W1,PIT,5,12,133.36815503940457,161.53355608157736,208.5967062890621,313.1778597212305,360.24100992871524,388.406410970888,77.5261250462038,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,disp=0.1891 ref=0.1914 ratio=0.988 b_pt=+4.806; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,dispersion_conditioned,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,18.160093858035687,18.160093858035687,W1,PIT,5,12,-15.999222409111425,-8.454386921771142,4.152702368375342,32.16748534769603,44.77457463784252,52.3194101251828,20.767389698046916,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,disp=0.1891 ref=0.1914 ratio=0.988 b_pt=+4.806; sigma additive n=8 (PIT); street_src=street_pit,1.0
street-bias,dispersion_conditioned,adj_ebitda_musd,2023Q2,2023-02-14,1,878.3751902964988,878.3751902964988,W1,PIT,5,12,180.32929648518459,334.50806839710907,592.134036173376,1164.6163444196216,1422.2423121958884,1576.421084107813,424.38177013054576,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,disp=0.0602 ref=0.1859 ratio=0.500 b_pt=+5.741; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,dispersion_conditioned,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,36.485871000329894,36.485871000329894,W1,PIT,5,12,16.607751610362627,20.99827100548451,28.334636408984416,44.63710559167537,51.973470995175276,56.36399039029716,12.08503848868841,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,disp=0.0602 ref=0.1859 ratio=0.500 b_pt=+5.741; sigma additive n=7 (PIT); street_src=street_pit,1.0
street-bias,dispersion_conditioned,adj_ebitda_musd,2023Q1,2023-02-14,0,263.08514206638165,263.08514206638165,W1,PIT,5,12,134.11356102092995,162.5997682365574,210.19897149388797,315.9713126388753,363.5705158962059,392.0567231118334,78.40915381904479,,,,,,LSEG,2023-02-13,2023-02-14,ew,disp=0.1891 ref=0.2016 ratio=0.938 b_pt=+5.772; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,dispersion_conditioned,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,18.82657816919278,18.82657816919278,W1,PIT,5,12,-15.437771951270499,-7.869737429802186,4.776116429192495,32.87703990919306,45.52289376818774,53.090928289656055,20.8312457467525,,,,,,LSEG,2023-02-13,2023-02-14,ew,disp=0.1891 ref=0.2016 ratio=0.938 b_pt=+5.772; sigma additive n=8 (PIT); street_src=street_pit,1.0
street-bias,dispersion_conditioned,adj_ebitda_musd,2023Q2,2023-02-14,1,891.5571842987821,891.5571842987821,W1,PIT,5,12,186.57910255421294,342.2890004733063,602.4734126741379,1180.6409559234264,1440.825368124258,1596.5352660433512,428.5962411446644,,,,,,LSEG,2023-02-13,2023-02-14,ew,disp=0.0602 ref=0.2072 ratio=0.500 b_pt=+6.811; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,dispersion_conditioned,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,37.0207270548001,37.0207270548001,W1,PIT,5,12,17.155223691033857,21.54295655959162,28.874665799380303,45.16678831021989,52.49849755000858,56.88623041856634,12.077368489367917,,,,,,LSEG,2023-02-13,2023-02-14,ew,disp=0.0602 ref=0.2072 ratio=0.500 b_pt=+6.811; sigma additive n=7 (PIT); street_src=street_pit,1.0
street-bias,dispersion_conditioned,adj_ebitda_musd,2023Q1,2023-02-14,0,335.0494294631374,335.0494294631374,W1,PIT,5,12,159.2248296332712,198.05955542137522,262.9506794744424,407.14817945183245,472.0393035048996,510.8740292930036,106.89376668472003,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4_usd,disp=0.1891 ref=0.1914 ratio=0.988 b_pt=+4.806; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,dispersion_conditioned,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,18.160093858035687,18.160093858035687,W1,PIT,5,12,-15.999222409111425,-8.454386921771142,4.152702368375342,32.16748534769603,44.77457463784252,52.3194101251828,20.767389698046916,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4_usd,disp=0.1891 ref=0.1914 ratio=0.988 b_pt=+4.806; sigma additive n=8 (PIT); street_src=street_pit,1.0
street-bias,dispersion_conditioned,adj_ebitda_musd,2023Q2,2023-02-14,1,855.6178147878508,855.6178147878508,W1,PIT,5,12,141.90244118059624,299.5421619683118,562.9512235680214,1148.2844060076802,1411.6934676073897,1569.3331883951055,433.90813742499114,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4_usd,disp=0.0602 ref=0.1859 ratio=0.500 b_pt=+5.741; sigma relative n=5 (PIT); street_src=street_pit,1.0
