method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
below-ebitda,tax,tax_rate_pct,2023Q1,2023-02-14,0,10.0,10.0,W1,PIT,2,12,-103.15782757002839,-78.16443524203886,-36.40157251675714,56.40157251675714,98.16443524203886,123.15782757002839,68.7950743554927,,,,,,,,2023-02-14,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q1,2023-02-14,0,10.0,10.0,W1,PIT,2,12,-103.15782757002839,-78.16443524203886,-36.40157251675714,56.40157251675714,98.16443524203886,123.15782757002839,68.7950743554927,,,,,,,,2023-02-14,ttm|rw,ETR ttm 10.0; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q1,2023-02-14,0,10.0,10.0,W1,full_sample,2,12,-52.66271169863056,-38.82227510267038,-15.69551239556306,35.69551239556306,58.82227510267038,72.66271169863056,38.09622368329999,,,,,,,,2023-02-14,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q1,2023-02-14,0,10.0,10.0,W1,full_sample,2,12,-52.84869809845054,-38.96718231991685,-15.771778099878006,35.771778099878006,58.96718231991685,72.84869809845054,38.20929538571322,,,,,,,,2023-02-14,ttm|rw,ETR ttm 10.0; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q1,2023-02-14,0,10.0,10.0,W1,PIT,2,12,-103.15782757002839,-78.16443524203886,-36.40157251675714,56.40157251675714,98.16443524203886,123.15782757002839,68.7950743554927,,,,,,,,2023-02-14,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q1,2023-02-14,0,10.0,10.0,W1,PIT,2,12,-103.15782757002839,-78.16443524203886,-36.40157251675714,56.40157251675714,98.16443524203886,123.15782757002839,68.7950743554927,,,,,,,,2023-02-14,ttm|eq,ETR ttm 10.0; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q1,2023-02-14,0,10.0,10.0,W1,full_sample,2,12,-52.66271169863056,-38.82227510267038,-15.69551239556306,35.69551239556306,58.82227510267038,72.66271169863056,38.09622368329999,,,,,,,,2023-02-14,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q1,2023-02-14,0,10.0,10.0,W1,full_sample,2,12,-52.84869809845054,-38.96718231991685,-15.771778099878006,35.771778099878006,58.96718231991685,72.84869809845054,38.20929538571322,,,,,,,,2023-02-14,ttm|eq,ETR ttm 10.0; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-02-14,1,10.0,10.0,W1,PIT,2,12,-117.32104061673284,-89.19939151762321,-42.209348888658845,62.209348888658845,109.19939151762321,137.32104061673283,77.40569648905858,,,,,,,,2023-02-14,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=4 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-02-14,1,10.0,10.0,W1,PIT,2,12,-117.32104061673284,-89.19939151762321,-42.209348888658845,62.209348888658845,109.19939151762321,137.32104061673283,77.40569648905858,,,,,,,,2023-02-14,ttm|rw,ETR ttm 10.0; sigma additive n=4 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-02-14,1,10.0,10.0,W1,full_sample,2,12,-54.6895769315267,-40.40146261808485,-16.526650073844493,36.52665007384449,60.40146261808485,74.6895769315267,39.32847024900364,,,,,,,,2023-02-14,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-02-14,1,10.0,10.0,W1,full_sample,2,12,-55.26874292925926,-40.852707080779076,-16.76414326030918,36.76414326030918,60.852707080779076,75.26874292925926,39.680578174136144,,,,,,,,2023-02-14,ttm|rw,ETR ttm 10.0; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-02-14,1,10.0,10.0,W1,PIT,2,12,-117.32104061673284,-89.19939151762321,-42.209348888658845,62.209348888658845,109.19939151762321,137.32104061673283,77.40569648905858,,,,,,,,2023-02-14,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=4 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-02-14,1,10.0,10.0,W1,PIT,2,12,-117.32104061673284,-89.19939151762321,-42.209348888658845,62.209348888658845,109.19939151762321,137.32104061673283,77.40569648905858,,,,,,,,2023-02-14,ttm|eq,ETR ttm 10.0; sigma additive n=4 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-02-14,1,10.0,10.0,W1,full_sample,2,12,-54.6895769315267,-40.40146261808485,-16.526650073844493,36.52665007384449,60.40146261808485,74.6895769315267,39.32847024900364,,,,,,,,2023-02-14,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-02-14,1,10.0,10.0,W1,full_sample,2,12,-55.26874292925926,-40.852707080779076,-16.76414326030918,36.76414326030918,60.852707080779076,75.26874292925926,39.680578174136144,,,,,,,,2023-02-14,ttm|eq,ETR ttm 10.0; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
