quarter,adr_usd,adr_yoy_reported_pct,fx_pts_adr_final,fx_basis,adr_yoy_exfx_final,adr_exfx_basis
3Q20,129.92,,0.28573819293030456,"backcast (basket, calibrated)",,n/a
4Q20,127.55,,1.2380585130413002,"backcast (basket, calibrated)",,n/a
1Q21,159.82,,3.0415932403740595,"backcast (basket, calibrated)",,n/a
2Q21,161.45,,4.912974053324923,"backcast (basket, calibrated)",,n/a
3Q21,149.15,14.8,1.1587489194487017,"backcast (basket, calibrated)",13.6412510805513,reconstructed
4Q21,153.61,20.4,-1.3573568375796399,"backcast (basket, calibrated)",21.75735683757964,reconstructed
1Q22,168.07,5.2,-2.7265655566264435,"backcast (basket, calibrated)",7.926565556626444,reconstructed
2Q22,163.74,1.4,-5.6,disclosed (letter),7.0,disclosed (letter)
3Q22,156.44,4.9,-7.1,disclosed (letter),12.0,disclosed (letter)
4Q22,152.81,-0.5,-5.5,disclosed (letter),5.0,disclosed (letter)
1Q23,168.43,0.2,-2.8,disclosed (letter),3.0,disclosed (letter)
2Q23,166.01,1.4,-0.6,disclosed (letter),2.0,disclosed (letter)
3Q23,161.38,3.2,2.7,disclosed (letter),0.5,disclosed (letter)
4Q23,156.73,2.6,2.1,disclosed (letter),0.5,disclosed (letter)
1Q24,172.88,2.6,0.6,disclosed (letter),2.0,disclosed (letter)
2Q24,169.53,2.1,-0.9,disclosed (letter),3.0,disclosed (letter)
3Q24,163.64,1.4,-0.6,disclosed (letter),2.0,disclosed (letter)
4Q24,158.13,0.9,-1.1,disclosed (letter),2.0,disclosed (letter)
1Q25,171.34,-0.9,-1.9,disclosed (letter),1.0,disclosed (letter)
2Q25,174.48,2.9,1.9,disclosed (letter),1.0,disclosed (letter)
3Q25,171.29,4.7,2.7,disclosed (letter),2.0,disclosed (letter)
4Q25,167.51,5.9,2.9,disclosed (letter),3.0,disclosed (letter)
1Q26,186.82,9.0,5.0,disclosed (letter),4.0,disclosed (letter)
2Q26,183.73,5.3,1.3,disclosed (letter),4.0,disclosed (letter)
