period,m1_calibrated,m2,m3,r2,r3,feasible,nights_share_ge28,los_mix_pp
2022,2.5449114330529152,9.0,35.0,0.85,0.65,True,0.2021996443992888,0.4730280531352937
2023,2.5449114330529152,9.0,35.0,0.85,0.65,True,0.18220437304774656,0.9364792561073587
2024,2.5449114330529152,9.0,35.0,0.85,0.65,True,0.15798466840793557,0.8200374183593651
2025,2.5449114330529152,9.0,35.0,0.85,0.65,True,0.1324557905443509,0.8573333113446102
2022,2.5449114330529152,9.0,35.0,0.85,0.85,True,0.2021996443992888,0.26870765993467494
2023,2.5449114330529152,9.0,35.0,0.85,0.85,True,0.18220437304774656,0.46625582454005166
2024,2.5449114330529152,9.0,35.0,0.85,0.85,True,0.15798466840793557,0.27020720215251703
2025,2.5449114330529152,9.0,35.0,0.85,0.85,True,0.1324557905443509,0.28404548550422515
2022,2.5449114330529152,9.0,35.0,0.85,0.852,True,0.2021996443992888,0.2667580664410085
2023,2.5449114330529152,9.0,35.0,0.85,0.852,True,0.18220437304774656,0.4617597952091934
2024,2.5449114330529152,9.0,35.0,0.85,0.852,True,0.15798466840793557,0.2649251724023083
2025,2.5449114330529152,9.0,35.0,0.85,0.852,True,0.1324557905443509,0.27850761521188705
2022,2.5449114330529152,9.0,35.0,0.95,0.65,True,0.2021996443992888,0.370042799727921
2023,2.5449114330529152,9.0,35.0,0.95,0.65,True,0.18220437304774656,0.8125293339760864
2024,2.5449114330529152,9.0,35.0,0.95,0.65,True,0.15798466840793557,0.8777328912811022
2025,2.5449114330529152,9.0,35.0,0.95,0.65,True,0.1324557905443509,0.9171279785089137
2022,2.5449114330529152,9.0,35.0,0.95,0.85,True,0.2021996443992888,0.17595566154626763
2023,2.5449114330529152,9.0,35.0,0.95,0.85,True,0.18220437304774656,0.36021584605121504
2024,2.5449114330529152,9.0,35.0,0.95,0.85,True,0.15798466840793557,0.33996394759345794
2025,2.5449114330529152,9.0,35.0,0.95,0.85,True,0.1324557905443509,0.3571262766052463
2022,2.5449114330529152,9.0,35.0,0.95,0.852,True,0.2021996443992888,0.1741012370791717
2023,2.5449114330529152,9.0,35.0,0.95,0.852,True,0.18220437304774656,0.355885719535598
2024,2.5449114330529152,9.0,35.0,0.95,0.852,True,0.15798466840793557,0.33479230590278686
2025,2.5449114330529152,9.0,35.0,0.95,0.852,True,0.1324557905443509,0.3517116836471379
2022,2.5449114330529152,9.0,35.0,0.966,0.65,True,0.2021996443992888,0.35411940875405
2023,2.5449114330529152,9.0,35.0,0.966,0.65,True,0.18220437304774656,0.7933417160604472
2024,2.5449114330529152,9.0,35.0,0.966,0.65,True,0.15798466840793557,0.886676913080553
