quarter,adr_usd,adr_yoy_reported_pct,adr_yoy_exfx_pct,fx_pts_adr,basket_apac,basket_emea,basket_latam,basket_na,gbv_share_na,gbv_share_emea,gbv_share_latam,gbv_share_apac,fx_pred_pp,fx_pred_pp_na0,fx_pred_calibrated_pp,fx_pts_adr_final,fx_basis,adr_yoy_exfx_final,adr_exfx_basis
3Q20,129.92,,,,2.289,4.8525,-19.0406,-0.31020000000000003,0.54970261303472,0.2828138152964997,0.07215810507300525,0.09532546659577512,0.5925436021434926,0.7630613527068627,0.28573819293030456,0.28573819293030456,"backcast (basket, calibrated)",,n/a
4Q20,127.55,,,,4.8802,6.005999999999999,-15.5013,-0.024000000000000007,0.5468811904593567,0.2910386028429113,0.07412949225034614,0.08795071444738586,1.4614543310695751,1.4745794796405998,1.2380585130413002,1.2380585130413002,"backcast (basket, calibrated)",,n/a
1Q21,159.82,,,,10.8959,8.471,-11.2504,0.4528000000000001,0.5440597678839934,0.2992633903893229,0.07610087942768705,0.08057596229899662,3.107025302806858,2.860675039908985,3.0415932403740595,3.0415932403740595,"backcast (basket, calibrated)",,n/a
2Q21,161.45,,,,10.1072,9.718,7.036700000000001,1.3486,0.5412383453086301,0.3074881779357346,0.07807226660502795,0.07320121015060738,4.814500016871447,4.084585984388228,4.912974053324923,4.912974053324923,"backcast (basket, calibrated)",,n/a
3Q21,149.15,14.8,,,0.9966,2.1609999999999996,5.4405,0.6626000000000001,0.5361147622526683,0.3151384772117216,0.07874272776203183,0.07000403277357824,1.389091119528164,1.033861478059546,1.1587489194487017,1.1587489194487017,"backcast (basket, calibrated)",13.6412510805513,reconstructed
4Q21,153.61,20.4,,,-2.4318,-2.3375,-2.2433,0.253,0.5286890187161081,0.32221428821728415,0.07811226289869866,0.0709844301679092,-0.9066398873874425,-1.0403982091226178,-1.3573568375796399,-1.3573568375796399,"backcast (basket, calibrated)",21.75735683757964,reconstructed
1Q22,168.07,5.2,,,-6.1405,-5.5235,2.6037,-0.018000000000000002,0.5212632751795477,0.3292900992228466,0.07748179803536549,0.07196482756224018,-2.1559255751907234,-2.1465428362374914,-2.7265655566264435,-2.7265655566264435,"backcast (basket, calibrated)",7.926565556626444,reconstructed
2Q22,163.74,1.4,7.0,-5.6,-8.5015,-10.697,4.0693,-0.30460000000000004,0.5138375316429875,0.3363659102284091,0.07685133317203233,0.07294522495657114,-4.237975692645297,-4.081460780506843,-5.00847849467022,-5.6,disclosed (letter),7.0,disclosed (letter)
3Q22,156.44,4.9,12.0,-7.1,-9.7454,-13.8585,-0.5285,-0.30000000000000004,0.5059837292770069,0.3421944796210139,0.07729986409932989,0.07452192700264944,-5.733689798087456,-5.581894679304353,-6.6477711035319755,-7.1,disclosed (letter),12.0,disclosed (letter)
4Q22,152.81,-0.5,5.0,-5.5,-11.187100000000001,-10.665,5.5483,-0.4662,0.4977018680816057,0.346775807400661,0.07882739081725815,0.07669493370047503,-4.5450399363410545,-4.31301132544141,-5.345018842390866,-5.5,disclosed (letter),5.0,disclosed (letter)
1Q23,168.43,0.2,3.0,-2.8,-6.724900000000001,-5.3755,3.9608000000000003,-0.31199999999999994,0.4894200068862048,0.35135713518030814,0.08035491753518643,0.07886794039830064,-2.375766834595922,-2.2230677924474262,-2.967510099674172,-2.8,disclosed (letter),3.0,disclosed (letter)
2Q23,166.01,1.4,2.0,-0.6,-5.5236,1.5085,4.692200000000001,-0.12899999999999995,0.48113814569080376,0.3559384629599553,0.08188244425311471,0.08104094709612625,0.3495846496622107,0.41165147045632433,0.019456813614421586,-0.6,disclosed (letter),2.0,disclosed (letter)
3Q23,161.38,3.2,0.5,2.7,-3.1994,7.596,11.175200000000002,0.1632,0.4751711546179883,0.35892087139901474,0.08315496017470377,0.08275301380829304,3.261421248486648,3.1838733160529924,3.2108101593495477,2.7,disclosed (letter),0.5,disclosed (letter)
4Q23,156.73,2.6,0.5,2.1,-1.2259000000000002,5.139,8.004100000000001,0.2236,0.47151903366775866,0.36030436049748665,0.08417246529995366,0.08400414053480107,2.360245941904934,2.254814285976823,2.2231280789352437,2.1,disclosed (letter),0.5,disclosed (letter)
1Q24,172.88,2.6,2.0,0.6,-4.738,1.9064999999999999,6.4025,0.2208,0.4678669127175289,0.36168784959595857,0.08518997042520353,0.0852552672613091,0.8112231296899688,0.7079181153619385,0.5254094856673256,0.6,disclosed (letter),2.0,disclosed (letter)
2Q24,169.53,2.1,3.0,-0.9,-3.6298000000000004,-0.5865,-1.6305999999999998,-0.09059999999999999,0.46421479176729913,0.3630713386944304,0.08620747555045341,0.0865063939878171,-0.6207109795077665,-0.5786531193736493,-1.0439806758909695,-0.9,disclosed (letter),3.0,disclosed (letter)
3Q24,163.64,1.4,2.0,-0.6,0.2783999999999999,1.333,-10.296100000000001,-0.33140000000000003,0.4597748604442452,0.3650781656107147,0.08757512081880046,0.08757185312623969,-0.18433038774560007,-0.03196099899437721,-0.5657104796525196,-0.6,disclosed (letter),2.0,disclosed (letter)
4Q24,158.13,0.9,2.0,-1.1,-1.1675,0.1885,-13.125499999999999,-0.4676,0.45454711874836695,0.36770833034481143,0.0892929062302447,0.0884516446765768,-0.955919270733004,-0.7433730380062676,-1.4113667105852588,-1.1,disclosed (letter),2.0,disclosed (letter)
1Q25,171.34,-0.9,1.0,-1.9,-4.1099,-2.2384999999999997,-14.7639,-0.8171999999999999,0.449319377052489,0.3703384950789082,0.09101069164168896,0.08933143622691397,-2.3781669421987433,-2.0109831472714497,-2.970140601478936,-1.9,disclosed (letter),1.0,disclosed (letter)
2Q25,174.48,2.9,1.0,1.9,-0.3352,5.2,-8.994800000000001,-0.3308,0.44409163535661084,0.372968659813005,0.09272847705313321,0.0902112277772511,1.3269776828924964,1.4738831958684633,1.0906730102777087,1.9,disclosed (letter),1.0,disclosed (letter)
3Q25,171.29,4.7,2.0,2.7,-1.6133,5.372,1.5266,-0.0474,0.44147776450867166,0.3742837421800533,0.09358736975885532,0.09065112355241967,2.032959190691661,2.0538852367293723,1.8644239988639453,2.7,disclosed (letter),2.0,disclosed (letter)
4Q25,167.51,5.9,3.0,2.9,-0.5641000000000002,7.343500000000001,8.1642,0.22299999999999998,0.44147776450867166,0.3742837421800533,0.09358736975885532,0.09065112355241967,3.386688014242986,3.288238472757552,3.3481016928673633,2.9,disclosed (letter),3.0,disclosed (letter)
1Q26,186.82,9.0,4.0,5.0,4.9082,9.5095,12.358699999999999,0.6952,0.44147776450867166,0.3742837421800533,0.09358736975885532,0.09065112355241967,5.108283044887316,4.801367703000888,5.234958277905778,5.0,disclosed (letter),4.0,disclosed (letter)
2Q26,183.73,5.3,4.0,1.3,2.7336000000000005,1.9344999999999999,11.4344,0.2494,0.44147776450867166,0.3742837421800533,0.09358736975885532,0.09065112355241967,1.7397014543183638,1.6295968998499009,1.5430154903935636,1.3,disclosed (letter),4.0,disclosed (letter)
