quarter,nights_m,gbv_busd,adr_usd,source,adr_yoy_reported_pct,fx_pred_pp,fx_pts_adr_backcast,fx_pts_adr,adr_yoy_exfx_pct,fx_pts_adr_final,adr_yoy_exfx_final,basis,usable_for_calibration
1Q19,81.3,10.0,122.36,"1Q21 letter, Quarterly Summary",,-3.1889870663224102,-3.8587940090760875,,,-3.8587940090760875,,n/a,True
2Q19,83.9,9.8,117.14,"1Q21 letter, Quarterly Summary",,-2.329670292138311,-2.9169885988941107,,,-2.9169885988941107,,n/a,True
3Q19,85.9,9.7,112.39,"1Q21 letter, Quarterly Summary",,-1.6827858922286991,-2.208007643441854,,,-2.208007643441854,,n/a,True
4Q19,75.8,8.5,112.63,"1Q21 letter, Quarterly Summary",,-0.8816386949436956,-1.329955698661017,,,-1.329955698661017,,n/a,True
1Q20,57.1,6.8,118.45,"1Q21 letter, Quarterly Summary",-3.195488721804507,-1.653379584632316,-2.175778527916855,,,-2.175778527916855,-1.019710193887652,"reconstructed (basket, calibrated)",False
2Q20,28.0,3.2,114.18,"1Q21 letter, Quarterly Summary",-2.5268908997780337,-2.283616025953157,-2.86651343262458,,,-2.86651343262458,0.3396225328465463,"reconstructed (basket, calibrated)",False
3Q20,61.8,8.0,129.95,"1Q21 letter, Quarterly Summary",15.62416585105435,0.5925436021434927,0.28573819293030456,,,0.28573819293030456,15.338427658124045,"reconstructed (basket, calibrated)",False
4Q20,46.3,5.9,127.56,"1Q21 letter, Quarterly Summary",13.255793305513631,1.4614543310695751,1.2380585130413,,,1.2380585130413,12.01773479247233,"reconstructed (basket, calibrated)",False
1Q21,64.4,10.3,159.82,"1Q21 letter, Quarterly Summary",34.926129168425476,3.107025302806858,3.0415932403740595,,,3.0415932403740595,31.884535928051417,"reconstructed (basket, calibrated)",False
2Q21,83.1,13.4,161.45,02_kpi_panel_quarterly.csv (letters),41.399544578735316,4.814500016871447,4.912974053324923,,,4.912974053324923,36.48657052541039,"reconstructed (basket, calibrated)",False
3Q21,79.7,11.9,149.15,02_kpi_panel_quarterly.csv (letters),14.774913428241643,1.3890911195281643,1.1587489194487017,,,1.1587489194487017,13.616164508792941,"reconstructed (basket, calibrated)",True
4Q21,73.4,11.3,153.61,02_kpi_panel_quarterly.csv (letters),20.421762307933534,-0.9066398873874425,-1.35735683757964,,,-1.35735683757964,21.779119145513175,"reconstructed (basket, calibrated)",True
1Q22,102.1,17.2,168.07,02_kpi_panel_quarterly.csv (letters),5.162057314478785,-2.1559255751907234,-2.7265655566264435,,,-2.7265655566264435,7.888622871105229,"reconstructed (basket, calibrated)",True
2Q22,103.7,17.0,163.74,02_kpi_panel_quarterly.csv (letters),1.418395788169735,-4.237975692645297,-5.00847849467022,-5.6,7.0,-5.6,7.0,disclosed (letter),True
3Q22,99.7,15.6,156.44,02_kpi_panel_quarterly.csv (letters),4.887696949379805,-5.733689798087456,-6.6477711035319755,-7.1,12.0,-7.1,12.0,disclosed (letter),True
4Q22,88.2,13.5,152.81,02_kpi_panel_quarterly.csv (letters),-0.5207994271206329,-4.5450399363410545,-5.345018842390866,-5.5,5.0,-5.5,5.0,disclosed (letter),True
1Q23,121.1,20.4,168.43,02_kpi_panel_quarterly.csv (letters),0.21419646575833173,-2.375766834595922,-2.967510099674172,-2.8,3.0,-2.8,3.0,disclosed (letter),True
2Q23,115.1,19.1,166.01,02_kpi_panel_quarterly.csv (letters),1.3863442042262086,0.3495846496622107,0.019456813614421475,-0.6,2.0,-0.6,2.0,disclosed (letter),True
3Q23,113.2,18.3,161.38,02_kpi_panel_quarterly.csv (letters),3.1577601636410213,3.261421248486649,3.210810159349549,2.7,0.5,2.7,0.5,disclosed (letter),True
4Q23,98.8,15.5,156.73,02_kpi_panel_quarterly.csv (letters),2.5652771415483278,2.360245941904934,2.2231280789352437,2.1,0.5,2.1,0.5,disclosed (letter),True
1Q24,132.6,22.9,172.88,02_kpi_panel_quarterly.csv (letters),2.642047141245607,0.811223129689969,0.5254094856673258,0.6,2.0,0.6,2.0,disclosed (letter),True
2Q24,125.1,21.2,169.53,02_kpi_panel_quarterly.csv (letters),2.120354195530405,-0.6207109795077665,-1.0439806758909698,-0.9,3.0,-0.9,3.0,disclosed (letter),True
3Q24,122.8,20.1,163.64,02_kpi_panel_quarterly.csv (letters),1.40042136572065,-0.18433038774559996,-0.5657104796525196,-0.6,2.0,-0.6,2.0,disclosed (letter),True
4Q24,111.0,17.6,158.13,02_kpi_panel_quarterly.csv (letters),0.8932559178204569,-0.9559192707330044,-1.4113667105852594,-1.1,2.0,-1.1,2.0,disclosed (letter),True
1Q25,143.1,24.5,171.34,02_kpi_panel_quarterly.csv (letters),-0.8907913003239232,-2.3781669421987437,-2.9701406014789367,-1.9,1.0,-1.9,1.0,disclosed (letter),True
2Q25,134.4,23.5,174.48,02_kpi_panel_quarterly.csv (letters),2.9198371969562764,1.3269776828924964,1.0906730102777087,1.9,1.0,1.9,1.0,disclosed (letter),True
3Q25,133.6,22.9,171.29,02_kpi_panel_quarterly.csv (letters),4.674896113419713,2.0329591906916615,1.8644239988639457,2.7,2.0,2.7,2.0,disclosed (letter),True
4Q25,121.9,20.4,167.51,02_kpi_panel_quarterly.csv (letters),5.931828242585202,3.3866880142429863,3.3481016928673637,2.9,3.0,2.9,3.0,disclosed (letter),True
1Q26,156.2,29.2,186.82,02_kpi_panel_quarterly.csv (letters),9.0346679117544,5.108283044887318,5.234958277905781,5.0,4.0,5.0,4.0,disclosed (letter),True
2Q26,148.3,27.2,183.73,02_kpi_panel_quarterly.csv (letters),5.30146721687299,1.7397014543183642,1.543015490393564,1.3,4.0,1.3,4.0,disclosed (letter),True
