quarter,yq,adr,adr_yoy_pct,adr_exfx_yoy_pct,adr_exfx_basis,w_gbv_na_pct,w_nights_na_pct,w_basis,cpi_lodging_yoy_pct,cpi_n_months,bea_hotels_price_yoy_pct,us_leg_spread_pp,us_matched_item_price_yoy_pct,mar_revpar_yoy,hlt_revpar_yoy,global_revpar_yoy_pct,row_leg_yoy_pct,occ_adj_central_pp,occ_adj_us_proxy_pp,str_us_hotel_adr_yoy_pct,airdna_us_str_adr_yoy_pct,price_us_leg_contrib_pp,price_row_leg_contrib_pp,price_measured_pp,price_measured_lo_pp,price_measured_hi_pp,price_measured_us_only_pp,price_measured_occadj_pp,price_basis,confidence,confidence_reason,residual_vs_adr_exfx_pp,residual_content
1Q21,2021Q1,159.82,,,,53.983,37.924,10-K regional disclosure,-11.607,3,-12.743,1.137,-12.175,-46.3,-38.4,-42.35,,0.0,,,,-6.572,,,,,,,NOT ESTIMABLE,not estimable,no ABNB ADR ex-FX for this quarter (pre-3Q21; the letters do not disclose an ex-FX ADR before 3Q21),,
2Q21,2021Q2,161.45,,,,53.983,37.924,10-K regional disclosure,10.607,3,11.65,1.043,11.128,262.6,233.8,248.2,,0.0,,,,6.007,,,,,,,NOT ESTIMABLE,not estimable,no ABNB ADR ex-FX for this quarter (pre-3Q21; the letters do not disclose an ex-FX ADR before 3Q21),,
3Q21,2021Q3,149.15,,13.641,reconstructed,53.983,37.924,10-K regional disclosure,19.25,3,21.277,2.027,20.263,118.4,98.7,108.55,,0.0,,,,10.939,,,,,,,NOT ESTIMABLE,not estimable,"2021 reopening: MAR/HLT RevPAR y/y runs +98% to +263%, which is occupancy recovery not price, and CPI lodging y/y swings -11.7% to +23.1% off a collapsed 2020 base. Neither leg is a like-for-like price signal in this year.",,
4Q21,2021Q4,153.61,,21.757,reconstructed,53.983,37.924,10-K regional disclosure,23.09,3,26.22,3.13,24.655,124.5,104.2,114.35,,0.0,,,,13.309,,,,,,,NOT ESTIMABLE,not estimable,"2021 reopening: MAR/HLT RevPAR y/y runs +98% to +263%, which is occupancy recovery not price, and CPI lodging y/y swings -11.7% to +23.1% off a collapsed 2020 base. Neither leg is a like-for-like price signal in this year.",,
1Q22,2022Q1,168.07,5.162,7.927,reconstructed,51.012,33.756,10-K regional disclosure,23.407,3,27.14,3.733,25.273,96.5,80.5,88.5,,0.0,,,,12.893,,12.893,11.94,13.845,12.893,,"US matched-item leg ONLY -- ROW leg not estimable, ROW price left in the residual",low,"US leg usable but still carrying reopening base effects (CPI lodging +23.4% y/y in 1Q22). ROW leg NOT estimable: MAR worldwide RevPAR +96.5% falling to +28.8% across the year is occupancy, not rate. Only the US leg is measured; the ROW share of ADR growth stays in the unexplained line.",-4.966,geo mix + LOS mix + size mix + ROW like-for-like price (UNMEASURED) + unexplained
2Q22,2022Q2,163.74,1.418,7.0,disclosed (letter),51.012,33.756,10-K regional disclosure,16.373,3,18.71,2.337,17.542,70.6,54.3,62.45,,0.0,,,,8.948,,8.948,8.352,9.544,8.948,,"US matched-item leg ONLY -- ROW leg not estimable, ROW price left in the residual",low,"US leg usable but still carrying reopening base effects (CPI lodging +23.4% y/y in 1Q22). ROW leg NOT estimable: MAR worldwide RevPAR +96.5% falling to +28.8% across the year is occupancy, not rate. Only the US leg is measured; the ROW share of ADR growth stays in the unexplained line.",-1.948,geo mix + LOS mix + size mix + ROW like-for-like price (UNMEASURED) + unexplained
3Q22,2022Q3,156.44,4.888,12.0,disclosed (letter),51.012,33.756,10-K regional disclosure,2.817,3,3.067,0.25,2.942,36.3,29.9,33.1,,0.0,,,,1.501,,1.501,1.437,1.564,1.501,,"US matched-item leg ONLY -- ROW leg not estimable, ROW price left in the residual",low,"US leg usable but still carrying reopening base effects (CPI lodging +23.4% y/y in 1Q22). ROW leg NOT estimable: MAR worldwide RevPAR +96.5% falling to +28.8% across the year is occupancy, not rate. Only the US leg is measured; the ROW share of ADR growth stays in the unexplained line.",10.499,geo mix + LOS mix + size mix + ROW like-for-like price (UNMEASURED) + unexplained
4Q22,2022Q4,152.81,-0.521,5.0,disclosed (letter),51.012,33.756,10-K regional disclosure,3.93,3,4.34,0.41,4.135,28.8,24.8,26.8,,0.0,,,,2.109,,2.109,2.005,2.214,2.109,,"US matched-item leg ONLY -- ROW leg not estimable, ROW price left in the residual",low,"US leg usable but still carrying reopening base effects (CPI lodging +23.4% y/y in 1Q22). ROW leg NOT estimable: MAR worldwide RevPAR +96.5% falling to +28.8% across the year is occupancy, not rate. Only the US leg is measured; the ROW share of ADR growth stays in the unexplained line.",2.891,geo mix + LOS mix + size mix + ROW like-for-like price (UNMEASURED) + unexplained
1Q23,2023Q1,168.43,0.214,3.0,disclosed (letter),47.7,32.589,10-K regional disclosure,7.113,3,7.937,0.823,7.525,34.3,30.0,32.15,,0.0,,,,3.589,,3.589,3.393,3.786,3.589,,"US matched-item leg ONLY -- ROW leg not estimable, ROW price left in the residual",low,"US leg measured and clean. ROW leg NOT estimable: China lifted travel restrictions in Jan 2023, so every 2023 quarter compares a reopened period against a closed APAC base -- MAR worldwide comparable RevPAR +34.3% in 1Q23 falling to +7.2% in 4Q23 is occupancy recovery, not rate. The ROW share of ADR growth stays in the unexplained line.",-0.589,geo mix + LOS mix + size mix + ROW like-for-like price (UNMEASURED) + unexplained
2Q23,2023Q2,166.01,1.386,2.0,disclosed (letter),47.7,32.589,10-K regional disclosure,3.793,3,4.0,0.207,3.897,13.5,12.1,12.8,,0.0,,,,1.859,,1.859,1.809,1.908,1.859,,"US matched-item leg ONLY -- ROW leg not estimable, ROW price left in the residual",low,"US leg measured and clean. ROW leg NOT estimable: China lifted travel restrictions in Jan 2023, so every 2023 quarter compares a reopened period against a closed APAC base -- MAR worldwide comparable RevPAR +34.3% in 1Q23 falling to +7.2% in 4Q23 is occupancy recovery, not rate. The ROW share of ADR growth stays in the unexplained line.",0.141,geo mix + LOS mix + size mix + ROW like-for-like price (UNMEASURED) + unexplained
