case_business,ticket_experiences,ticket_services,exp_gbv_fy24_m,drag_fy25_pp,drag_fy26_pp,drag_fy27_pp,share_seats_fy27
bear,50.0,80.0,250.0,-0.7060702298982702,-0.37789305885780333,-0.3462807941961854,0.027352512462844075
base,50.0,80.0,250.0,-0.7060702298982702,-0.8330101071654661,-1.0142111436353685,0.04205867312413665
bull,50.0,80.0,250.0,-0.7060702298982702,-1.3090156579827705,-1.9482235989387475,0.0612943491657839
bear,50.0,80.0,400.0,-0.265679095395599,-0.37789305885780333,-0.3462807941961854,0.027352512462844075
base,50.0,80.0,400.0,-0.265679095395599,-0.8330101071654661,-1.0142111436353685,0.04205867312413665
bull,50.0,80.0,400.0,-0.265679095395599,-1.3090156579827705,-1.9482235989387475,0.0612943491657839
bear,50.0,80.0,550.0,0.17863591181865868,-0.37789305885780333,-0.3462807941961854,0.027352512462844075
base,50.0,80.0,550.0,0.17863591181865868,-0.8330101071654661,-1.0142111436353685,0.04205867312413665
bull,50.0,80.0,550.0,0.17863591181865868,-1.3090156579827705,-1.9482235989387475,0.0612943491657839
bear,50.0,120.0,250.0,-0.6421921614821913,-0.3231189463621442,-0.2895998401391875,0.025648853374308014
base,50.0,120.0,250.0,-0.6421921614821913,-0.6965195483641939,-0.8187808061672075,0.03824456497527865
bull,50.0,120.0,250.0,-0.6421921614821913,-1.0961360541389298,-1.5063146972644437,0.054444181768071157
bear,50.0,120.0,400.0,-0.2016427371481333,-0.3231189463621442,-0.2895998401391875,0.025648853374308014
base,50.0,120.0,400.0,-0.2016427371481333,-0.6965195483641939,-0.8187808061672075,0.03824456497527865
bull,50.0,120.0,400.0,-0.2016427371481333,-1.0961360541389298,-1.5063146972644437,0.054444181768071157
bear,50.0,120.0,550.0,0.24283085165210938,-0.3231189463621442,-0.2895998401391875,0.025648853374308014
base,50.0,120.0,550.0,0.24283085165210938,-0.6965195483641939,-0.8187808061672075,0.03824456497527865
bull,50.0,120.0,550.0,0.24283085165210938,-1.0961360541389298,-1.5063146972644437,0.054444181768071157
bear,50.0,180.0,250.0,-0.5996080350700317,-0.286569397051073,-0.2517420171355811,0.024510961020425125
base,50.0,180.0,250.0,-0.5996080350700317,-0.6053169156418847,-0.6877641061461048,0.03568758293420565
bull,50.0,180.0,250.0,-0.5996080350700317,-0.9537053744933632,-1.2084172921467018,0.049826381391863905
bear,50.0,180.0,400.0,-0.1589531764177754,-0.286569397051073,-0.2517420171355811,0.024510961020425125
base,50.0,180.0,400.0,-0.1589531764177754,-0.6053169156418847,-0.6877641061461048,0.03568758293420565
bull,50.0,180.0,400.0,-0.1589531764177754,-0.9537053744933632,-1.2084172921467018,0.049826381391863905
bear,50.0,180.0,550.0,0.2856260399608068,-0.286569397051073,-0.2517420171355811,0.024510961020425125
base,50.0,180.0,550.0,0.2856260399608068,-0.6053169156418847,-0.6877641061461048,0.03568758293420565
bull,50.0,180.0,550.0,0.2856260399608068,-0.9537053744933632,-1.2084172921467018,0.049826381391863905
bear,75.0,80.0,250.0,-0.4731642628567734,-0.2811235537029444,-0.25814672107604686,0.020004406011528985
base,75.0,80.0,250.0,-0.4731642628567734,-0.6196490760946416,-0.7622793688093932,0.03213142417847103
bull,75.0,80.0,250.0,-0.4731642628567734,-0.9646761432651418,-1.5026329136434646,0.04846096457188492
bear,75.0,80.0,400.0,-0.24021008806444089,-0.2811235537029444,-0.25814672107604686,0.020004406011528985
base,75.0,80.0,400.0,-0.24021008806444089,-0.6196490760946416,-0.7622793688093932,0.03213142417847103
bull,75.0,80.0,400.0,-0.24021008806444089,-0.9646761432651418,-1.5026329136434646,0.04846096457188492
bear,75.0,80.0,550.0,-0.006162841942880526,-0.2811235537029444,-0.25814672107604686,0.020004406011528985
base,75.0,80.0,550.0,-0.006162841942880526,-0.6196490760946416,-0.7622793688093932,0.03213142417847103
bull,75.0,80.0,550.0,-0.006162841942880526,-0.9646761432651418,-1.5026329136434646,0.04846096457188492
bear,75.0,120.0,250.0,-0.4095190914318092,-0.2262429488181783,-0.20126161614711924,0.018289343158943983
