case_business,year,denominator_m,home_nights_m,hotel_nights_m,experiences_seats_m,services_seats_m,share_hotels,share_experiences,share_services,share_seats,rho_hotels,rho_experiences,rho_services,dilution_ratio,dilution_drag_pp,drag_hotels_pp,drag_seats_pp,ticket_experiences,ticket_services,exp_gbv_fy24_m,p_home_fy25,case_adr
bear,2024,491.5,471.7820512820513,14.384615384615383,5.333333333333333,0.0,0.029266765787620313,0.010851135978297727,0.0,0.010851135978297727,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9881637015636212,,,,75.0,120.0,400.0,173.65289907413487,bull
bear,2025,533.0,507.6333333333334,18.7,6.0,0.6666666666666666,0.0350844277673546,0.01125703564727955,0.0012507817385866166,0.012507817385866166,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9864192306188283,-0.17653663477342763,-0.11409327123522717,-0.062443363538178254,75.0,120.0,400.0,173.65289907413487,bull
bear,2026,569.3313333333334,538.0913333333334,22.439999999999998,7.466666666666667,1.3333333333333333,0.039414658365310405,0.013114800169087244,0.0023419286016227218,0.015456728770709966,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9841875266637666,-0.2262429488181783,-0.08507264565020822,-0.14117030316799228,75.0,120.0,400.0,173.65289907413487,bull
bear,2027,607.5183244444445,570.3768133333334,26.030399999999997,9.0,2.111111111111111,0.042847102634811784,0.014814367958744626,0.0034749752001993566,0.018289343158943983,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9822067349416848,-0.20126161614711924,-0.06758745336853389,-0.13367416277857425,75.0,120.0,400.0,173.65289907413487,bull
bear,2028,648.1280194666667,604.5994221333334,30.195263999999995,10.333333333333334,3.0,0.04658842557809359,0.015943352274503508,0.00462871517646876,0.020572067450972266,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9804838415418473,-0.1754104648793442,-0.0738180781940323,-0.1015923866853008,75.0,120.0,400.0,173.65289907413487,bull
base,2024,491.5,471.7820512820513,14.384615384615383,5.333333333333333,0.0,0.029266765787620313,0.010851135978297727,0.0,0.010851135978297727,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9881637015636212,,,,75.0,120.0,400.0,173.65289907413487,base
base,2025,533.0,507.6333333333334,18.7,6.0,0.6666666666666666,0.0350844277673546,0.01125703564727955,0.0012507817385866166,0.012507817385866166,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9864192306188283,-0.17653663477342763,-0.11409327123522717,-0.062443363538178254,75.0,120.0,400.0,173.65289907413487,base
base,2026,584.8223333333335,548.2440000000001,25.245,9.0,2.3333333333333335,0.043166956118296886,0.015389289168733292,0.003989815710412335,0.019379104879145626,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9816590658411763,-0.48257015170575235,-0.15879109779559641,-0.32377905391014483,75.0,120.0,400.0,173.65289907413487,base
base,2027,643.099797777778,592.1035200000002,32.8185,13.066666666666666,5.111111111111112,0.05103173739659669,0.020318256531596406,0.007947617350794514,0.02826587388239092,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9761119246906989,-0.5650781766808444,-0.15526244197521244,-0.40981573470563193,75.0,120.0,400.0,173.65289907413487,base
base,2028,707.9838154888891,639.4718016000003,41.023125,18.266666666666666,9.222222222222223,0.057943591509464105,0.02580096644448412,0.013026035370390404,0.03882700181487453,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9700886390928036,-0.6170691542164874,-0.13722567938164731,-0.47984347483486234,75.0,120.0,400.0,173.65289907413487,base
bull,2024,491.5,471.7820512820513,14.384615384615383,5.333333333333333,0.0,0.029266765787620313,0.010851135978297727,0.0,0.010851135978297727,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9881637015636212,,,,75.0,120.0,400.0,173.65289907413487,bear
bull,2025,533.0,507.6333333333334,18.7,6.0,0.6666666666666666,0.0350844277673546,0.01125703564727955,0.0012507817385866166,0.012507817385866166,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9864192306188283,-0.17653663477342763,-0.11409327123522717,-0.062443363538178254,75.0,120.0,400.0,173.65289907413487,bear
bull,2026,600.58,558.3966666666668,28.049999999999997,10.8,3.3333333333333335,0.04670485197642278,0.01798261680375637,0.005550190371529744,0.023532807175286115,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9790180597402223,-0.750306831909886,-0.22829736400408196,-0.522009467905804,75.0,120.0,400.0,173.65289907413487,bear
bull,2027,683.2421666666669,614.2363333333335,40.67249999999999,18.333333333333332,10.0,0.05952867370354042,0.02683284818730693,0.014636099011258327,0.041468947198565254,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9686977880338994,-1.0541451818632752,-0.2538441818141224,-0.8003010000491306,75.0,120.0,400.0,173.65289907413487,bear
bull,2028,784.0014666666669,675.659966666667,56.941499999999984,29.4,22.0,0.07262932841452163,0.03749992984707,0.028061171994406123,0.06556110184147612,0.8062059473031431,0.43189604319811237,0.6910336691169798,0.9559510522245962,-1.3158630035869479,-0.2620867932997095,-1.0537762102872716,75.0,120.0,400.0,173.65289907413487,bear
