year,region,adr_computed,adr_stated,diff_pct,adr_round_err_pct,nights_precision_m,source_10k
2020,apac,85.7282608695652,85.83,-0.11853562907467538,0.18116001483411578,0.1,FY2021
2020,emea,98.37666174298376,98.41,-0.033876899721816824,0.07385528400738169,0.1,FY2021
2020,latam,75.92857142857143,75.74,0.24897204722925234,0.2232153978764694,0.1,FY2021
2020,na,174.43576158940397,174.43,0.0033030954560339322,0.0662251946077703,0.1,FY2021
2020,total,123.68995859213253,123.69,-3.347713434462464e-05,0.025879918917633186,0.1,sum of regions
2021,apac,109.71717171717172,109.75,-0.029911875014375085,0.16835064548585296,0.1,FY2021
2021,emea,123.68247248094835,123.71,-0.022251652292979793,0.04233701012879385,0.1,FY2021
2021,latam,95.51546391752578,95.42,0.10004602549337326,0.12886619338231556,0.1,FY2021
2021,na,221.9780701754386,221.92,0.026167166293536177,0.04385965755995337,0.1,FY2021
2021,total,155.9447771124418,155.93,0.00947676036798928,0.016633400327129705,0.1,sum of regions
2022,apac,116.05,117.41,-1.1583340430968396,1.2501953430223474,1.0,FY2022
2022,emea,127.89285714285714,127.99,-0.07589878673557003,0.297621683865543,1.0,FY2022
2022,latam,91.28301886792453,92.89,-1.7299829175104695,0.9434801958166448,1.0,FY2022
2022,na,242.45112781954887,240.29,0.8993831701481048,0.37594516288601676,1.0,FY2022
2022,total,160.43654822335026,160.56,-0.07688825152575032,0.1269037576717942,1.0,sum of regions
2023,emea,140.32620320855614,140.4,-0.05256181726771254,0.26738159070598755,1.0,FY2023
