period,metric,value,unit,source_doc,source_date,quote,definition_note,source_path,repo_panel_value,repo_panel_agrees,repo_panel_source
4Q21,ADR_effect_of_long_term_stays,,,4Q21 earnings call,2022-02,"the long-term stays ... have moderately lower take rate ... and the ADRs ... are just staying for longer, because Hosts often offer a discount. ... long-term stays are dilutive on the ADR as the percentage goes up.",management confirms the SIGN of the LOS ADR-mix term but declines to quantify it; the 0.75 / 0.90 price ratios here are placeholders,,,,
2Q24,ALOS_commentary,,,2Q24 earnings call,2024-08,"the average trip length has gone down, but that is really a function of the mix shift between short-term rentals growing more quickly than long-term rentals, less so people choosing a three-day trip versus a four-day trip.","management's own attribution: the ALOS drift is BUCKET MIX, not within-bucket shortening -- which is exactly the assumption the tier-C carry makes",data/raw/regulatory/transcripts/2024-Q2.json,,,
FY2021,average_length_of_long_term_stay,,nights,all sources,n/a,"NOT DISCLOSED. Airbnb has never stated an average length for long-term stays. The closest is the 3-month-or-longer share of LTS nights and the 4Q21 datapoint that ~175,000 guests booked stays of three months or longer in 2021.","m3 is therefore an ASSUMPTION (45 central, 35-60 carried)",,,,
FY2021,average_trip_length_change,15.0,pct_change_2y,4Q21 shareholder letter,2022-02,"Over the last two years, we have seen the average trip length increase by approximately 15%, with stays of more than 7 days now representing nearly half of all gross nights booked.",directional only,data/raw/letters/4Q21_d251410dex991.htm,,,
3Q24,long_term_stays_28plus_share_NORTH_AMERICA,23.0,pct_of_nights_booked,3Q24 shareholder letter,2024-11,"long-term stays comprised 23% of gross nights booked in North America during Q3 2024, largely unchanged from the prior-year period.","ONLY regional 28+ figure ever published; LAST quantified LTS share in any letter. Used here as an OUT-OF-SAMPLE TEST of the regional solve, not as an input.",data/raw/letters/3Q24_d886752dex991.htm,,,
1Q19,long_term_stays_28plus_share_of_gross_nights_booked,13.0,pct_of_nights_booked,1Q22 shareholder letter,2022-05,"Long-term stays accounted for 21% of gross nights booked in Q1 2022, up from 13% in Q1 2019 and down from 24% in Q1 2021.",GROSS nights BOOKED,data/raw/letters/1Q22_d711122dex991.htm,,ABSENT FROM PANEL,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
1Q21,long_term_stays_28plus_share_of_gross_nights_booked,24.0,pct_of_nights_booked,1Q21 shareholder letter,2021-05,"In Q1 2021, long-term stays represented 24% of nights booked (prior to cancellations and alterations).","GROSS nights BOOKED (longhand phrasing, this quarter only)",data/raw/letters/1Q21_d476842dex991.htm,24.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
1Q22,long_term_stays_28plus_share_of_gross_nights_booked,21.0,pct_of_nights_booked,1Q22 shareholder letter,2022-05,Long-term stays accounted for 21% of gross nights booked in Q1 2022.,GROSS nights BOOKED,data/raw/letters/1Q22_d711122dex991.htm,21.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
1Q23,long_term_stays_28plus_share_of_gross_nights_booked,18.0,pct_of_nights_booked,1Q23 shareholder letter,2023-05,"long-term stays of 28 days or more accounted for 18% of gross nights booked, a decrease from 21% in Q4 2022 as growth in short-term stays accelerated.",GROSS nights BOOKED,data/raw/letters/1Q23_d453262dex991.htm,18.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
1Q24,long_term_stays_28plus_share_of_gross_nights_booked,17.0,pct_of_nights_booked,1Q24 shareholder letter,2024-05,"Trip Length -- In Q1 2024, long-term stays of 28 days or more accounted for 17% of gross nights booked, compared to 18% in Q1 2023.",GROSS nights BOOKED -- LAST GLOBAL DISCLOSURE; the Trip Length section is dropped from every letter thereafter,data/raw/letters/1Q24_d813800dex991.htm,17.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
