market,dump_date,snapshot,quarter,region,segment,n_listings_dump,scope_ratio,short_stay_only,scope_ok,level,n_listings,n_listings_min28,share_listings_min28,runs_le90,nights_le90,runs_le30,nights_le30,runs_over90,runs_over30,mean_run_cap30,mean_run_cap90,share_runs_at_cap90,share_runs_over30,share_runs_lt7,share_nights_lt7,share_runs_n7_27,share_nights_n7_27,share_runs_ge28,share_nights_ge28,w_nights,w_runs,w_mean_run_cap90,w_share_nights_lt7,w_share_runs_lt7,w_share_nights_n7_27,w_share_runs_n7_27,w_share_nights_ge28,w_share_runs_ge28,reg_min_market,n_regions,regions
(global 10-K weighted),,2025-09-15,,global,all,,,,,global,361529,,0.08358503591630467,1967851.0,15795819.0,,,,,5.712442610283271,7.732121876075052,0.10105007444437325,,0.6953357537375551,0.30721019291633284,0.2518656077494098,0.3707759853437598,0.052798638513034964,0.3220138217399073,,,5.232223666627341,0.44474713317884174,0.7961915128612151,0.38093085492749934,0.1826757145841464,0.17432201189365884,0.021132772554638243,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2025-09-15,,global,entire,,,,,global,299317,,0.08344887455032324,1677306.0,13717035.0,,,,,5.849468721833068,7.883250066825568,0.09837496064134438,,0.6848206577765086,0.3055120533246297,0.2616538587951755,0.3757965543475038,0.053525483428315715,0.3186913923278664,,,5.4414998348626735,0.4371812067596737,0.7833020996478297,0.3881217136863223,0.194584057121527,0.17469707955400385,0.022113843230643103,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2025-09-15,,global,private,,,,,global,62212,,0.09058564637588772,290545.0,2078784.0,,,,,4.9614347923319775,7.043523751332609,0.12163995068822385,,0.7499041576232386,0.3084082089866474,0.1979933992702324,0.3338661119682073,0.052102443106528916,0.3577256790451452,,,4.345627393428693,0.48198303671015147,0.8497469943104881,0.3379227509603827,0.1323769446910856,0.1800942123294657,0.017876060998426216,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2025-12-15,,global,all,,,,,global,361835,,0.0764446090266791,1790612.0,14570375.0,,,,,5.731254121015087,7.8426822711245245,0.10590744842606484,,0.6902643709232736,0.2964197498324063,0.25373980516435973,0.3646270942168756,0.05599582391236646,0.33895315595071795,,,4.991241972460006,0.4572352901296516,0.8061251749543161,0.37537581174556356,0.17466562116123546,0.1673888981247847,0.019209203884448293,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2025-12-15,,global,entire,,,,,global,301315,,0.07672730120054984,1527324.0,12741197.0,,,,,5.87458536390163,8.01159920082674,0.10262295834712398,,0.6791021172574956,0.2932615826090301,0.2639072285343485,0.36955976459137385,0.05699065420815581,0.3371786527995959,,,5.219874782985162,0.4491143029866177,0.7931069845325013,0.38135488234378123,0.1865184641057609,0.16953081466960096,0.02037455136173777,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2025-12-15,,global,private,,,,,global,60520,,0.08007488402976554,263288.0,1829178.0,,,,,4.89848628450541,6.954322605745698,0.12908860081751533,,0.7542403792965868,0.31260786702510623,0.19334981959713324,0.3257476645809172,0.05240980110627981,0.36164446839397646,,,3.9778573472242096,0.5009637947793092,0.8639007807370656,0.3354492142483161,0.12133006144204933,0.1635869909723746,0.014769157820885039,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2026-03-15,,global,all,,,,,global,256498,,0.040925555813708575,1723225.0,13758410.0,,,,,5.7935040232369515,7.7568650545377285,0.07023718797116438,,0.6910688395365674,0.30614769339236814,0.2595585692259979,0.3796551379508294,0.04937259123743454,0.31419716865680236,,,5.3315313604126535,0.4473372335155412,0.7914788356560157,0.38451795680797785,0.1887957002763034,0.16814480967648077,0.019725464067680748,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2026-03-15,,global,entire,,,,,global,214952,,0.04039269119223701,1468573.0,11983342.0,,,,,5.942502988296326,7.9233666353476515,0.06797165515245701,,0.6790276146009562,0.3017711090257152,0.27099181334623273,0.38711518951968443,0.049980572052811006,0.3111137014546002,,,5.597866590503599,0.4364806999908917,0.7750387373049835,0.3949533838919812,0.20417258656886927,0.16856591611712693,0.020788676126147085,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2026-03-15,,global,private,,,,,global,41546,,0.041945018073909726,254652.0,1775068.0,,,,,4.876244765219565,6.78119411967897,0.08458454237906554,,0.7650864155214341,0.33545341953408103,0.18793940190285763,0.3214135500616596,0.046974182575708234,0.34313303040425924,,,4.195171195585685,0.5096358180286337,0.8612605628014076,0.3202839539646044,0.12296298616161375,0.17008022800676179,0.01577645103697849,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2026-06-15,,global,all,,,,,global,417863,,0.06944339821350028,2303027.0,17714893.0,,,,,5.682640864927613,7.506395779252158,0.08643682829982938,,0.7002651759950772,0.31401911056933757,0.24996312593451886,0.37899978037698034,0.04977169807040383,0.306981109053682,,,5.234087296305228,0.450918694132766,0.7960643349884219,0.3797586477307748,0.18296040897899768,0.16932265813645914,0.02097525603258029,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2026-06-15,,global,entire,,,,,global,350033,,0.06970964536954263,1967735.0,15434981.0,,,,,5.834222903047788,7.651742020872997,0.08451007867298783,,0.6889762307272203,0.31190172855249043,0.26076943152358306,0.386491725788945,0.050254337749196534,0.3016065456585645,,,5.433017556458199,0.4437541222330985,0.7835682202585217,0.38767490033956714,0.19458564759035543,0.16857097742733418,0.021846132151122747,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2026-06-15,,global,private,,,,,global,67830,,0.07381977980886316,335292.0,2279912.0,,,,,4.8394975187127045,6.844736401061575,0.10099867462127687,,0.7599647944742316,0.3204644420218067,0.18973067756284911,0.32451713105723384,0.05030452796291916,0.3550184269209593,,,4.392172302586783,0.48821918753845595,0.8492285051582161,0.32878780175421146,0.13238414616833677,0.18299301070733254,0.018387348673446886,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2026-08-20,,global,all,,,,,global,423923,,0.06909973578582142,2378345.0,17717036.0,,,,,5.474849159126172,7.185713676185055,0.0857533553664821,,0.7201896949614688,0.3367733251104284,0.2335162961342518,0.36482770557606725,0.046294008904279246,0.2983989693135042,,,4.814809117212192,0.48711741768026107,0.822175095649037,0.3574760299196592,0.16023006196879536,0.15540655240007956,0.017594842382167422,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2026-08-20,,global,entire,,,,,global,354132,,0.06961018804104904,2027247.0,15406121.0,,,,,5.61841065746029,7.340744964330085,0.08424379326153138,,0.7092295875957974,0.3344728358776199,0.2438498526056653,0.3709365267233844,0.04692055979853723,0.2945906373989955,,,4.99831147537544,0.4800137622457501,0.8107356603574725,0.3654155996310022,0.17104102775601046,0.15457063812324762,0.018223311886516838,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2026-08-20,,global,private,,,,,global,69791,,0.07163654186885203,351098.0,2310915.0,,,,,4.714702388740617,6.435672348368499,0.09731866065015238,,0.7765395787619178,0.3455630614896542,0.17868768789325418,0.32340768018739463,0.044772733344827925,0.33102925832295105,,,4.003940290647726,0.5251386682207636,0.8713000379107274,0.3113167080925898,0.11342229007158261,0.16354462368664646,0.015277672017689849,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2025-09-15,,global,all,,,,,global_fullscope,338601,,0.08341276975641113,1791066.0,14297095.0,,,,,5.675724739999073,7.70925706688798,0.10104639991634615,,0.6985309014574006,0.30815216232896214,0.24841700772575961,0.36707935489596516,0.053052090816839564,0.3247684827750726,,,5.194206229293111,0.44752395725825167,0.7991858054454015,0.37755210696660874,0.17979817987451532,0.17492393577513943,0.02101601468008294,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2025-09-15,,global,entire,,,,,global_fullscope,279568,,0.0830375671718728,1527860.0,12398889.0,,,,,5.810560125725692,7.853912136814594,0.09819401113149265,,0.6882987246692822,0.30676786135428824,0.25802218596548826,0.37224005620220807,0.05367908936522928,0.3209920824435035,,,5.399781519684497,0.44013924570796203,0.7865968845296352,0.3847347016791748,0.1914386019862075,0.1751260526128631,0.021964513484157143,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2025-09-15,,global,private,,,,,global_fullscope,59033,,0.09163987742907406,263206.0,1898206.0,,,,,4.928435641279819,7.057898796172781,0.1231472903547516,,0.7518183595580631,0.3067827116768223,0.19510973372955603,0.3286760425181762,0.05307190671238069,0.3645412458050013,,,4.322600958691743,0.4835485049165171,0.8514703463920891,0.3345892252707503,0.13062943819083275,0.18186226981273254,0.017900215417078032,False,4.0,"apac,emea,latam,na"
(global 10-K weighted),,2025-12-15,,global,all,,,,,global_fullscope,337923,,0.08031845745692773,1679538.0,13765176.0,,,,,5.865350928549424,8.065069767332977,0.11084139217265535,,0.6765097141943124,0.2829011081324171,0.2649459563770525,0.37206749591741994,0.05854432942863505,0.3450313959501628,,,5.130910301772966,0.43993926874322636,0.7949444682385262,0.3882064888311361,0.18480409191038288,0.17185424242563727,0.020251439851090847,False,4.0,"apac,emea,latam,na"
