scope,period,tier,los_mix_pp,los_mix_pp_linear,of_which_los_pp,gap_vs_elasticity_pp,sens_lo,sens_hi,sens_lo_means_only,sens_hi_means_only,d_share_lt7_pp,d_share_7_27_pp,d_share_ge28_pp,mix_index,adr_yoy_pct,basis,sens_med,sens_n,nights_weight_covered,r2_used,r3_used,m1_used,m2_used,m3_used,ratios_are_placeholders
global_annual,2021,A_disclosed,,,0.2691140710941719,,,,,,,,,0.9597752827677977,26.058609554862187,disclosed (28+ AND 7+ shares both disclosed for all 4 quarters; nights shares need NO bucket-mean assumption),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_annual,2022,A_disclosed,0.1597526959519202,0.15332668893015777,0.2620573662116254,-0.10230467025970519,0.1597526959519202,0.4730280531352937,0.1597526959519202,0.1597526959519202,1.6633039906133074,-0.8144061550930892,-0.8488978355202209,0.9613085496570993,2.679629935033434,disclosed (28+ AND 7+ shares both disclosed for all 4 quarters; nights shares need NO bucket-mean assumption),0.2667580664410085,81.0,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_annual,2023,B_solved,0.32959478486009886,0.31684228460839986,0.6174491393177295,-0.28785435445763063,0.32342799363394015,0.9364792561073587,0.32342799363394015,0.3394728818995052,2.6145938588476025,-0.6150667236933693,-1.9995271351542248,0.9644769725031833,2.146773286506986,solved (28+ disclosed; 7+ NOT disclosed; s1/s2 split from the ALOS identity with calibrated m1),0.40616327005869035,81.0,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_annual,2024,C_alos_only,0.33601514331751403,0.3240788681420939,0.2054051867943019,0.13060995652321214,0.249904910605947,0.886676913080553,0.32807586586687254,0.3456364663132483,1.6311725467186844,0.7251344844537488,-2.3563070311724417,0.9677177611846043,1.6435823260475768,alos_only (no stay-length disclosure; phi held at its 2023 value),0.33601514331751403,81.0,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_annual,2025,C_alos_only,0.3529920174041745,0.3415966447984236,0.0357123713443286,0.31727964605984593,0.2627566423999417,0.9263912971124055,0.34467888820732817,0.3630646347723365,1.7193440357305079,0.7643309430728773,-2.483674978803388,0.9711337276325884,3.017705174606311,alos_only (no stay-length disclosure; phi held at its 2023 value),0.3529920174041745,81.0,,0.966,0.852,2.4669698615830926,11.0,45.0,False
within_region_agg__phi_common,2021,,,,0.2691140710941719,,,,,,,,,,,nights-weighted mean of the regional mix terms over the FEASIBLE regions (weights renormalised; see nights_weight_covered). This is the object comparable to of_which_los_pp.,,,0.0,0.966,0.852,2.4669698615830926,11.0,45.0,False
within_region_agg__phi_common,2022,,0.2814707599556373,,0.2620573662116254,0.01941339374401191,,,,,,,,,,nights-weighted mean of the regional mix terms over the FEASIBLE regions (weights renormalised; see nights_weight_covered). This is the object comparable to of_which_los_pp.,,,0.898477157360406,0.966,0.852,2.4669698615830926,11.0,45.0,False
within_region_agg__phi_common,2023,,0.5436648832961446,,0.6174491393177295,-0.07378425602158489,,,,,,,,,,nights-weighted mean of the regional mix terms over the FEASIBLE regions (weights renormalised; see nights_weight_covered). This is the object comparable to of_which_los_pp.,,,0.8861607142857144,0.966,0.852,2.4669698615830926,11.0,45.0,False
within_region_agg__phi_common,2024,,0.24388969944266287,,0.2054051867943019,0.038484512648360975,,,,,,,,,,nights-weighted mean of the regional mix terms over the FEASIBLE regions (weights renormalised; see nights_weight_covered). This is the object comparable to of_which_los_pp.,,,1.0,0.966,0.852,2.4669698615830926,11.0,45.0,False
within_region_agg__phi_common,2025,,0.06269471826532297,,0.0357123713443286,0.02698234692099437,,,,,,,,,,nights-weighted mean of the regional mix terms over the FEASIBLE regions (weights renormalised; see nights_weight_covered). This is the object comparable to of_which_los_pp.,,,1.0,0.966,0.852,2.4669698615830926,11.0,45.0,False
within_region_agg__s3_prop_alos,2021,,,,0.2691140710941719,,,,,,,,,,,nights-weighted mean of the regional mix terms over the FEASIBLE regions (weights renormalised; see nights_weight_covered). This is the object comparable to of_which_los_pp.,,,0.0,0.966,0.852,2.4669698615830926,11.0,45.0,False
within_region_agg__s3_prop_alos,2022,,0.1595561630584075,,0.2620573662116254,-0.1025012031532179,,,,,,,,,,nights-weighted mean of the regional mix terms over the FEASIBLE regions (weights renormalised; see nights_weight_covered). This is the object comparable to of_which_los_pp.,,,1.0,0.966,0.852,2.4669698615830926,11.0,45.0,False
within_region_agg__s3_prop_alos,2023,,0.3210863108013826,,0.6174491393177295,-0.2963628285163469,,,,,,,,,,nights-weighted mean of the regional mix terms over the FEASIBLE regions (weights renormalised; see nights_weight_covered). This is the object comparable to of_which_los_pp.,,,1.0,0.966,0.852,2.4669698615830926,11.0,45.0,False
within_region_agg__s3_prop_alos,2024,,0.3302516410774775,,0.2054051867943019,0.12484645428317562,,,,,,,,,,nights-weighted mean of the regional mix terms over the FEASIBLE regions (weights renormalised; see nights_weight_covered). This is the object comparable to of_which_los_pp.,,,1.0,0.966,0.852,2.4669698615830926,11.0,45.0,False
within_region_agg__s3_prop_alos,2025,,0.3470411764930379,,0.0357123713443286,0.3113288051487093,,,,,,,,,,nights-weighted mean of the regional mix terms over the FEASIBLE regions (weights renormalised; see nights_weight_covered). This is the object comparable to of_which_los_pp.,,,1.0,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_apac__phi_common,2021,regional_assumption,,,,,,,,,,,,1.0235046733686066,,INFEASIBLE -- regional ALOS (2.7) is SHORTER than the global sub-28 harmonic mean (3.34); the region cannot hold a positive 28+ share on global bucket means,,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_apac__phi_common,2022,regional_assumption,,-3.0227672266873866,,,,,,,-13.490807111657988,-9.001120825982472,22.491927937640476,0.993277001101733,,INFEASIBLE -- regional ALOS (3.2) is SHORTER than the global sub-28 harmonic mean (3.29); the region cannot hold a positive 28+ share on global bucket means,,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_apac__phi_common,2023,regional_assumption,,-0.6409124981459395,,,,,,,-1.9077685151344448,-3.145287350053022,5.0530558651874475,0.9868678761202733,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_apac__phi_common,2024,regional_assumption,0.0,-0.0,,,,,,,0.0,0.0,0.0,0.9868678761202733,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_apac__phi_common,2025,regional_assumption,0.0,-0.0,,,,,,,0.0,0.0,0.0,0.9868678761202733,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_emea__phi_common,2021,regional_assumption,,,,,,,,,,,,0.953011940117487,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_emea__phi_common,2022,regional_assumption,0.42523803483873746,0.40525692459343604,,,,,,,2.850981374059114,-0.14638876111677246,-2.704592612942336,0.9570645093634212,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_emea__phi_common,2023,regional_assumption,0.7744998448111273,0.741246313976197,,,,,,,4.711132077224756,0.3859540925169602,-5.097086169741713,0.9644769725031833,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_emea__phi_common,2024,regional_assumption,0.33601514331751403,0.3240788681420935,,,,,,,1.6311725467186844,0.7251344844537488,-2.356307031172439,0.9677177611846043,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
