year,region,nights_m,gbv_musd,revenue_musd,nights_precision_m,source_10k,adr_computed,take_rate_pct,adr_stated,alos_nights,gbv_per_booking,bookings_m,nights_share_pct,gbv_share_pct,revenue_share_pct,nights_m_yoy_pct,gbv_musd_yoy_pct,adr_computed_yoy_pct,alos_nights_yoy_pct,adr_round_err_pct
2020,apac,27.6,2366.1,339.7,0.1,FY2021,85.7282608695652,14.356958708423145,85.83,2.8,240.03913043478255,9.857142857142858,14.285714285714286,9.901284266996974,10.055650938369546,,,,,0.18116001483411578
2020,emea,67.7,6660.1,1023.8,0.1,FY2021,98.37666174298376,15.372141559436043,98.41,4.4,432.8573116691286,15.386363636363635,35.041407867494826,27.87014215232938,30.306080161032504,,,,,0.07385528400738169
2020,latam,22.4,1700.8,242.0,0.1,FY2021,75.92857142857143,14.22859830667921,75.74,4.4,334.08571428571435,5.09090909090909,11.594202898550725,7.117241148433479,7.163578236930911,,,,,0.2232153978764694
2020,na,75.5,13169.9,1772.7,0.1,FY2021,174.43576158940397,13.46023887804767,174.43,4.4,767.5173509933775,17.159090909090907,39.07867494824017,55.11133243224016,52.47469066366705,,,,,0.0662251946077703
2020,total,193.2,23896.9,3378.2,0.1,sum of regions,123.68995859213253,14.136561646071247,123.69,4.1,507.1288302277433,47.1219512195122,100.0,100.0,100.0,,,,,0.025879918917633186
2021,apac,29.7,3258.6,428.7,0.1,FY2021,109.71717171717172,13.155956545755846,109.75,2.7,296.23636363636365,10.999999999999998,9.880239520958085,6.951383407641274,7.154778196869054,7.608695652173902,37.720299226575385,27.982500291363,-3.5714285714285587,0.16835064548585296
2021,emea,118.1,14606.9,1930.8,0.1,FY2021,123.68247248094835,13.218410477240209,123.71,4.4,544.2028789161727,26.840909090909086,39.28809048569528,31.160057170894042,32.22403952067826,74.4460856720827,119.31952973679074,25.72338834191983,0.0,0.04233701012879385
2021,latam,38.8,3706.0,431.2,0.1,FY2021,95.51546391752578,11.635186184565569,95.42,4.3,410.71649484536084,9.023255813953488,12.907518296739854,7.90579601936984,7.196501885910744,73.21428571428572,117.8974600188147,25.7964717634394,-2.272727272727282,0.12886619338231556
2021,na,114.0,25305.5,3201.1,0.1,FY2021,221.9780701754386,12.649819209262809,221.92,4.3,954.505701754386,26.511627906976745,37.92415169660679,53.98276340209485,53.42468039654194,50.9933774834437,92.14648554658731,27.254909287432817,-2.272727272727282,0.04385965755995337
2021,total,300.59999999999997,46877.0,5991.8,0.1,sum of regions,155.9447771124418,12.781961302984406,155.93,4.1,639.3735861610114,73.3170731707317,100.0,100.0,100.0,55.590062111801245,96.16351911754244,26.07715200768197,0.0,0.016633400327129705
2022,apac,40.0,4642.0,622.0,1.0,FY2022,116.05,13.399396811719086,117.41,3.2,371.36,12.5,10.152284263959391,7.343542365373663,7.405643528991547,34.680134680134685,42.45381452157368,5.771957282268447,18.518518518518512,1.2501953430223474
2022,emea,168.0,21486.0,2924.0,1.0,FY2022,127.89285714285714,13.608861584287443,127.99,4.2,537.15,40.0,42.63959390862944,33.99038157311903,34.81366829384451,42.25232853513972,47.09486612491358,3.4041886270969712,-4.545454545454552,0.297621683865543
2022,latam,53.0,4838.0,643.0,1.0,FY2022,91.28301886792453,13.290615957007027,92.89,4.2,383.388679245283,12.619047619047619,13.451776649746193,7.653610074036576,7.655673294439814,36.5979381443299,30.545062061521854,-4.431162113451936,-2.3255813953488302,0.9434801958166448
2022,na,133.0,32246.0,4210.0,1.0,FY2022,242.45112781954887,13.055882900204676,240.29,4.2,1018.2947368421053,31.666666666666664,33.756345177664976,51.01246598747073,50.12501488272413,16.666666666666675,27.42684396672661,9.223009114337088,-2.3255813953488302,0.37594516288601676
2022,total,394.0,63212.0,8399.0,1.0,sum of regions,160.43654822335026,13.287034107447953,160.56,4.1,657.789847715736,96.09756097560977,100.0,100.0,100.0,31.071190951430495,34.84651321543615,2.8803600826398323,0.0,0.1269037576717942
2023,apac,51.0,6016.0,840.0,1.0,FY2023,117.96078431372548,13.962765957446809,,3.3,389.2705882352941,15.454545454545455,11.383928571428571,8.212745044503905,8.470303519209438,27.499999999999993,29.59931064196466,1.6465181505605164,3.124999999999978,0.9804863981543792
2023,emea,187.0,26241.0,3615.0,1.0,FY2023,140.32620320855614,13.776151823482337,140.4,3.9,547.272192513369,47.94871794871795,41.74107142857143,35.82291268497789,36.45255621659776,11.309523809523814,22.130689751466083,9.721689188482884,-7.142857142857151,0.26738159070598755
