kind,metric,value,unit,scope,period,source,note
disclosed,Bedroom Nights Booked y/y,12.0,pct,Airbnb global,2Q26,ABNB 2Q26 shareholder letter (data/raw/letters/2Q26_d70413dex991.htm),'grew over 12%'; the only unit-size figure Airbnb has ever published
disclosed,Nights and Seats Booked y/y,10.0,pct,Airbnb global,2Q26,ABNB 2Q26 shareholder letter,the denominator of the wedge
disclosed,size wedge (bedroom nights less nights),2.0,pp,Airbnb global,2Q26,derived from the two rows above,"'over 12%' against 10% makes this a lower bound, so >=2pp; the entire management claim that roughly half of ADR growth is size rests on this one number"
disclosed,Bedroom Nights Booked LTM,1000.0,million,Airbnb global,LTM to 2Q26,"ABNB 2Q26 letter, 'more than 1 billion'",against ~560m LTM nights
derived,bedrooms per booked night implied by disclosure,1.786,bedrooms,Airbnb global,LTM to 2Q26,1000 / 560.0 (data/processed/overnight/15_claim_checks.csv),a lower bound: 'more than 1 billion' over an LTM nights figure
derived,ADR per bedroom-night implied by disclosure,102.9,USD,Airbnb global,2Q26,ADR 183.73 / 1.786,upper bound; US hotel ADR ~172 over the same window
method,"estimated_occupancy_l365d is a nights count, not a percentage",255.49999999999997,nights,"Inside Airbnb, all 168 repo dumps",2025-2026,observed field maximum 255 = 0.7 * 365,the ceiling is Inside Airbnb's own 70% cap on estimated nights booked; a percentage field could not exceed 100. Weighting by it converts a supply-side size distribution into an approximate booked size distribution
method,"reconstructed weight vs published field, correlation",0.9868,r,"21 dumps, 540,480 listings",2025-2026,"reviews_ltm/0.5 * max(3, min_nights) capped at 0.7*365, vs estimated_occupancy_l365d","exact agreement 71.2%; validates the backfill used on the 19 pre-2025 dumps (Austin, Nashville, Paris and Rome before 2025)"
method,partial-scope dumps: bedrooms per booked night vs own-city clean mean,1.013,ratio,41 partial dumps,2022-2026,"this build, partial_scope_probe()","p10-p90 0.991-1.062, median z +1.25. Consistent with WS21's finding that partial scrapes are uniform subsamples, so the size RATIO largely survives them even though level counts do not. The headline series still uses pair_eligible only; the ignore-flags sensitivity row in the summary shows how little it moves"
method,"private-room `bedrooms` population, range across repo dumps",0.000-1.000,non-null share,"168 dumps, 13 cities",2022-2026,"this build, panel file","Inside Airbnb populates `bedrooms` on private rooms in some dumps and not others, and the regime changes twice inside the 2026 test window. Any measure that imputes a missing value will read the metadata change as a size trend. Handled by pinning a private room at one bedroom regardless of the field"
method,"whole-home `bedrooms` population, range across repo dumps",0.001-1.000,non-null share,"168 dumps, 13 cities",2022-2026,"this build, panel file","median 0.981. Far steadier than private rooms, but two dumps (Paris 2023-12-12, Rome 2023-12-15) carry the field on ~0.1% of whole homes and Barcelona falls to 0.66 by Jul 2026. Dumps below 80% are excluded and pairs whose endpoints differ by more than 10% are excluded"
negative_result,size-mix ADR contribution using the hedonic's own bedrooms_f,1.368,pp,austin|chicago|london|los-angeles|mexico-city|nashville|new-orleans|new-york-city|paris|rome|san-diego|sydney,2026-08-30,"this build, rejected variant","against 0.886pp on the coverage-robust measure. REJECTED: bedrooms_f falls back to round(accommodates/2) whenever the field is missing, which is 0.1% of private rooms in one dump and 85% in another, so the difference between the two numbers is Inside Airbnb metadata, not market size. Recorded because the size of the artefact is the reason the headline measure had to be rebuilt"
independent,"size wedge, panel, all eligible year-ago pairs",0.306,pp,austin|chicago|london|los-angeles|mexico-city|nashville|new-orleans|new-york-city|paris|rome|san-diego|sydney,2024-03-22..2026-08-30,"this build, Inside Airbnb booking-weighted",bedroom nights +6.4% vs nights +6.1% on 65 pairs across 12 cities; market-level wedges span -0.7 to +4.2pp
independent,"size wedge, 2Q26 disclosure window",1.408,pp,austin|chicago|london|los-angeles|mexico-city|nashville|new-orleans|new-york-city|paris|rome|san-diego|sydney,2026-04-14..2026-08-30,this build; the direct test of the disclosed +2pp,bedroom nights +1.8% vs nights +0.4%; Airbnb disclosed +12% vs +10%. Market-level wedges span -0.7 to +4.2pp
independent,"bedrooms per booked night, level, 2Q26 window",1.655,bedrooms,austin|chicago|london|los-angeles|mexico-city|nashville|new-orleans|new-york-city|paris|rome|san-diego|sydney,2026-08-30,this build,"Airbnb's disclosed global figure is >=1.786; these are dense urban markets, which skew small, so a level below the global figure is expected and is not a contradiction"
independent,"capacity per booked night y/y, 2Q26 window",1.629,pct,austin|chicago|london|los-angeles|mexico-city|nashville|new-orleans|new-york-city|paris|rome|san-diego|sydney,2026-08-30,this build,level 4.062 guests; capacity is the one size measure with no imputation anywhere in it
independent,"size-mix contribution to ADR, 2Q26 window, quote basis",0.886,pp,austin|chicago|london|los-angeles|mexico-city|nashville|new-orleans|new-york-city|paris|rome|san-diego|sydney,2026-08-30,this build x data/processed/overnight/06_wtp_hedonic_coefs.csv,d bedrooms +0.0229 x 0.1402 plus d mean log capacity +0.01405 x 0.3991; listed-nightly basis gives +0.878pp
independent,size wedge on listings present in both dumps (demand reallocation),1.332,pp,"12 cities, 39 pairs",2Q26 window,"this build, within_between()","matched listings carry 82% of the later dump's booked nights; the remaining +0.134pp of the +1.466pp total comes from listings entering and leaving the panel, i.e. the housing stock changing rather than guests choosing differently"
independent,size wedge from listing entry and exit,0.134,pp,12 cities,2Q26 window,"this build, within_between()",both halves are real for ADR; the split only says which mechanism produced it
hedonic,"extra bedroom holding capacity fixed, quote basis",15.05,pct,"13 cities, 76 dumps",2026,"data/processed/overnight/06_wtp_hedonic_coefs.csv, term bedrooms_f","coef 0.1402 (se 0.0007), n=1,375,944. USED AS CENTRAL: the fee-inclusive quote is the price basis in force over the 2026 test window, so it is the basis on which a mix shift would actually show up in reported ADR"
hedonic,"extra bedroom holding capacity fixed, listed-nightly basis",19.48,pct,"13 cities, 47 dumps",to Sep 2025,same file,coef 0.1780; carried as the upper alternative
hedonic,"capacity elasticity, quote basis",0.3991,d log price / d log accommodates,13 cities,2026,"same file, term lacc",listed-nightly basis is 0.3321. NOTE: the task brief quoted +0.49% per 1%; no 0.49 appears in the coefficient file on either basis
