case_business,case_adr,quarter,dilution_drag_pp,drag_hotels_pp,drag_seats_pp,share_seats,share_hotels,seasonal_share_of_year
bear,bull,3Q26,-0.2262429488181783,-0.08507264565020822,-0.14117030316799228,0.015456728770709966,0.039414658365310405,0.25102329504798077
bear,bull,4Q26,-0.2262429488181783,-0.08507264565020822,-0.14117030316799228,0.015456728770709966,0.039414658365310405,0.22499400440784614
bear,bull,1Q27,-0.20126161614711924,-0.06758745336853389,-0.13367416277857425,0.018289343158943983,0.042847102634811784,0.269486182357886
bear,bull,2Q27,-0.20126161614711924,-0.06758745336853389,-0.13367416277857425,0.018289343158943983,0.042847102634811784,0.25449651818628705
bear,bull,3Q27,-0.20126161614711924,-0.06758745336853389,-0.13367416277857425,0.018289343158943983,0.042847102634811784,0.25102329504798077
bear,bull,4Q27,-0.20126161614711924,-0.06758745336853389,-0.13367416277857425,0.018289343158943983,0.042847102634811784,0.22499400440784614
base,base,3Q26,-0.48257015170575235,-0.15879109779559641,-0.32377905391014483,0.019379104879145626,0.043166956118296886,0.25102329504798077
base,base,4Q26,-0.48257015170575235,-0.15879109779559641,-0.32377905391014483,0.019379104879145626,0.043166956118296886,0.22499400440784614
base,base,1Q27,-0.5650781766808444,-0.15526244197521244,-0.40981573470563193,0.02826587388239092,0.05103173739659669,0.269486182357886
base,base,2Q27,-0.5650781766808444,-0.15526244197521244,-0.40981573470563193,0.02826587388239092,0.05103173739659669,0.25449651818628705
base,base,3Q27,-0.5650781766808444,-0.15526244197521244,-0.40981573470563193,0.02826587388239092,0.05103173739659669,0.25102329504798077
base,base,4Q27,-0.5650781766808444,-0.15526244197521244,-0.40981573470563193,0.02826587388239092,0.05103173739659669,0.22499400440784614
bull,bear,3Q26,-0.750306831909886,-0.22829736400408196,-0.522009467905804,0.023532807175286115,0.04670485197642278,0.25102329504798077
bull,bear,4Q26,-0.750306831909886,-0.22829736400408196,-0.522009467905804,0.023532807175286115,0.04670485197642278,0.22499400440784614
bull,bear,1Q27,-1.0541451818632752,-0.2538441818141224,-0.8003010000491306,0.041468947198565254,0.05952867370354042,0.269486182357886
bull,bear,2Q27,-1.0541451818632752,-0.2538441818141224,-0.8003010000491306,0.041468947198565254,0.05952867370354042,0.25449651818628705
bull,bear,3Q27,-1.0541451818632752,-0.2538441818141224,-0.8003010000491306,0.041468947198565254,0.05952867370354042,0.25102329504798077
bull,bear,4Q27,-1.0541451818632752,-0.2538441818141224,-0.8003010000491306,0.041468947198565254,0.05952867370354042,0.22499400440784614
