quarter,region,metric,value,basis
1Q21,apac,adr_usd,112.49191762940683,modelled (10-K annual anchor x mix-adjusted global seasonal)
1Q21,emea,adr_usd,126.80068455520653,modelled (10-K annual anchor x mix-adjusted global seasonal)
1Q21,latam,adr_usd,97.80390688107516,modelled (10-K annual anchor x mix-adjusted global seasonal)
1Q21,na,adr_usd,227.46429485483335,modelled (10-K annual anchor x mix-adjusted global seasonal)
1Q21,apac,adr_usd_anchored,112.49136562351428,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
1Q21,emea,adr_usd_anchored,126.80006233517038,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
1Q21,latam,adr_usd_anchored,97.80342695030279,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
1Q21,na,adr_usd_anchored,227.46317867125546,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
1Q21,apac,adr_yoy_exfx_pct,,not available
1Q21,emea,adr_yoy_exfx_pct,,not available
1Q21,latam,adr_yoy_exfx_pct,,not available
1Q21,na,adr_yoy_exfx_pct,,not available
1Q21,apac,adr_yoy_reported_pct,,not available
1Q21,emea,adr_yoy_reported_pct,,not available
1Q21,latam,adr_yoy_reported_pct,,not available
1Q21,na,adr_yoy_reported_pct,,not available
1Q21,apac,fx_contribution_pp,9.370474,derived (02 basket x pass-through [WS10 fitted 0.86])
1Q21,emea,fx_contribution_pp,8.809840000000001,derived (02 basket x pass-through [WS10 fitted 1.04])
1Q21,latam,fx_contribution_pp,-6.975248000000001,derived (02 basket x pass-through [WS10 fitted 0.62])
1Q21,na,fx_contribution_pp,0.4528000000000001,derived (02 basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)])
1Q21,apac,nights_m,6.362874251497007,modelled (flat 10-K annual share within year)
1Q21,emea,nights_m,25.301530272787762,modelled (flat 10-K annual share within year)
1Q21,latam,nights_m,8.312441783100466,modelled (flat 10-K annual share within year)
1Q21,na,nights_m,24.423153692614775,modelled (flat 10-K annual share within year)
1Q21,apac,nights_share_pct,9.880239520958083,modelled (flat 10-K annual share within year)
1Q21,emea,nights_share_pct,39.28809048569528,modelled (flat 10-K annual share within year)
1Q21,latam,nights_share_pct,12.907518296739854,modelled (flat 10-K annual share within year)
1Q21,na,nights_share_pct,37.92415169660679,modelled (flat 10-K annual share within year)
2Q21,apac,adr_usd,113.63921975514786,modelled (10-K annual anchor x mix-adjusted global seasonal)
2Q21,emea,adr_usd,128.09392142058624,modelled (10-K annual anchor x mix-adjusted global seasonal)
2Q21,latam,adr_usd,98.80140636935042,modelled (10-K annual anchor x mix-adjusted global seasonal)
2Q21,na,adr_usd,229.78419724886024,modelled (10-K annual anchor x mix-adjusted global seasonal)
2Q21,apac,adr_usd_anchored,113.63866211936165,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
2Q21,emea,adr_usd_anchored,128.09329285454422,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
2Q21,latam,adr_usd_anchored,98.80092154377665,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
2Q21,na,adr_usd_anchored,229.78306968135522,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
2Q21,apac,adr_yoy_exfx_pct,,not available
2Q21,emea,adr_yoy_exfx_pct,,not available
2Q21,latam,adr_yoy_exfx_pct,,not available
2Q21,na,adr_yoy_exfx_pct,,not available
2Q21,apac,adr_yoy_reported_pct,,not available
2Q21,emea,adr_yoy_reported_pct,,not available
2Q21,latam,adr_yoy_reported_pct,,not available
2Q21,na,adr_yoy_reported_pct,,not available
2Q21,apac,fx_contribution_pp,8.692192,derived (02 basket x pass-through [WS10 fitted 0.86])
2Q21,emea,fx_contribution_pp,10.106720000000001,derived (02 basket x pass-through [WS10 fitted 1.04])
2Q21,latam,fx_contribution_pp,4.362754000000001,derived (02 basket x pass-through [WS10 fitted 0.62])
2Q21,na,fx_contribution_pp,1.3486,derived (02 basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)])
2Q21,apac,nights_m,8.210479041916166,modelled (flat 10-K annual share within year)
2Q21,emea,nights_m,32.648403193612765,modelled (flat 10-K annual share within year)
2Q21,latam,nights_m,10.726147704590815,modelled (flat 10-K annual share within year)
2Q21,na,nights_m,31.514970059880238,modelled (flat 10-K annual share within year)
2Q21,apac,nights_share_pct,9.880239520958083,modelled (flat 10-K annual share within year)
2Q21,emea,nights_share_pct,39.288090485695264,modelled (flat 10-K annual share within year)
2Q21,latam,nights_share_pct,12.90751829673985,modelled (flat 10-K annual share within year)
2Q21,na,nights_share_pct,37.92415169660679,modelled (flat 10-K annual share within year)
3Q21,apac,adr_usd,104.9816638369793,modelled (10-K annual anchor x mix-adjusted global seasonal)
3Q21,emea,adr_usd,118.33514016649391,modelled (10-K annual anchor x mix-adjusted global seasonal)
3Q21,latam,adr_usd,91.27426299156778,modelled (10-K annual anchor x mix-adjusted global seasonal)
3Q21,na,adr_usd,212.27818531847328,modelled (10-K annual anchor x mix-adjusted global seasonal)
3Q21,apac,adr_usd_anchored,104.98114868443973,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
3Q21,emea,adr_usd_anchored,118.33455948749008,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
3Q21,latam,adr_usd_anchored,91.27381510222541,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
3Q21,na,adr_usd_anchored,212.27714365422196,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
3Q21,apac,adr_yoy_exfx_pct,,not available
3Q21,emea,adr_yoy_exfx_pct,,not available
3Q21,latam,adr_yoy_exfx_pct,,not available
3Q21,na,adr_yoy_exfx_pct,,not available
3Q21,apac,adr_yoy_reported_pct,,not available
3Q21,emea,adr_yoy_reported_pct,,not available
3Q21,latam,adr_yoy_reported_pct,,not available
3Q21,na,adr_yoy_reported_pct,,not available
3Q21,apac,fx_contribution_pp,0.8570760000000001,derived (02 basket x pass-through [WS10 fitted 0.86])
3Q21,emea,fx_contribution_pp,2.24744,derived (02 basket x pass-through [WS10 fitted 1.04])
3Q21,latam,fx_contribution_pp,3.37311,derived (02 basket x pass-through [WS10 fitted 0.62])
3Q21,na,fx_contribution_pp,0.6626000000000001,derived (02 basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)])
3Q21,apac,nights_m,7.874550898203593,modelled (flat 10-K annual share within year)
3Q21,emea,nights_m,31.312608117099135,modelled (flat 10-K annual share within year)
3Q21,latam,nights_m,10.287292082501663,modelled (flat 10-K annual share within year)
3Q21,na,nights_m,30.225548902195612,modelled (flat 10-K annual share within year)
3Q21,apac,nights_share_pct,9.880239520958083,modelled (flat 10-K annual share within year)
3Q21,emea,nights_share_pct,39.28809048569528,modelled (flat 10-K annual share within year)
3Q21,latam,nights_share_pct,12.907518296739854,modelled (flat 10-K annual share within year)
3Q21,na,nights_share_pct,37.92415169660679,modelled (flat 10-K annual share within year)
4Q21,apac,adr_usd,108.12090769023392,modelled (10-K annual anchor x mix-adjusted global seasonal)
4Q21,emea,adr_usd,121.87369011716481,modelled (10-K annual anchor x mix-adjusted global seasonal)
4Q21,latam,adr_usd,94.0036174196093,modelled (10-K annual anchor x mix-adjusted global seasonal)
4Q21,na,adr_usd,218.62589370949166,modelled (10-K annual anchor x mix-adjusted global seasonal)
4Q21,apac,adr_usd_anchored,108.12037713320004,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
4Q21,emea,adr_usd_anchored,121.87309207424308,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
4Q21,latam,adr_usd_anchored,94.00315613712937,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
4Q21,na,adr_usd_anchored,218.62482089658087,derived (level rescaled x1.0000 to the 10-K annual regional ADR; disclosed y/y no longer exact)
4Q21,apac,adr_yoy_exfx_pct,,not available
4Q21,emea,adr_yoy_exfx_pct,,not available
