check,region,reviews_pct,panel_pct,panel_n_pairs,year,n,r,p
capacity y/y 2Q26: reviews vs size panel,apac,1.3352144122255716,0.7837880918515339,41.0,,,,
capacity y/y 2Q26: reviews vs size panel,emea,0.572926502933413,1.76662369686853,9.0,,,,
capacity y/y 2Q26: reviews vs size panel,latam,0.005540390610958568,0.682639983272737,13.0,,,,
capacity y/y 2Q26: reviews vs size panel,na,2.4405344018690434,2.240223998065227,24.0,,,,
"size term, pp: reviews-based vs 07 decomposition",global,0.8329513534523928,0.4410509947887275,,2024.0,,,
"size term, pp: reviews-based vs 07 decomposition",global,0.7431982200488972,-0.2513387080576912,,2025.0,,,
corr size term(t+0) vs global ADR ex-FX(t),global,,,,,20.0,-0.1696161038544725,0.47466468196821565
corr size term(t+0) vs regional ADR ex-FX(t),na,,,,,13.0,-0.24285516546907507,0.42401426426610167
corr size term(t+0) vs regional ADR ex-FX(t),emea,,,,,14.0,-0.328586643855295,0.25136408011730477
corr size term(t+0) vs regional ADR ex-FX(t),latam,,,,,7.0,0.12774000489362505,0.7849067859476069
corr size term(t+0) vs regional ADR ex-FX(t),apac,,,,,7.0,0.14710212264232536,0.7529648274673807
corr size term(t+1) vs global ADR ex-FX(t),global,,,,,19.0,0.16892586463079817,0.4893544168200724
corr size term(t+1) vs regional ADR ex-FX(t),na,,,,,12.0,-0.19623542907256772,0.5410285924330962
corr size term(t+1) vs regional ADR ex-FX(t),emea,,,,,13.0,-0.6216175856303806,0.023325339397033705
corr size term(t+1) vs regional ADR ex-FX(t),latam,,,,,6.0,0.17212645057217735,0.7443601636386907
corr size term(t+1) vs regional ADR ex-FX(t),apac,,,,,6.0,-0.7966072759495963,0.057845864152891766
corr size term(t+2) vs global ADR ex-FX(t),global,,,,,18.0,-0.015354021127296896,0.9517828125060006
corr size term(t+2) vs regional ADR ex-FX(t),na,,,,,11.0,-0.24350231324242622,0.4705856714700535
corr size term(t+2) vs regional ADR ex-FX(t),emea,,,,,12.0,-0.6835173128148442,0.014259151814222583
corr size term(t+2) vs regional ADR ex-FX(t),latam,,,,,5.0,0.3170576981084316,0.6031789740194166
corr size term(t+2) vs regional ADR ex-FX(t),apac,,,,,5.0,0.9143205083861845,0.02971580426099834
