market,abnb_region,date_a,date_b,matched_listings,matched_share_nights_b,wedge_total_pp,wedge_matched_pp,wedge_churn_pp,nights_b,nights_a
austin,na,2025-06-13,2026-06-22,7995,0.8186856772461371,2.814491630108429,1.8814542734800765,0.9330373566283523,868569,943660
austin,na,2025-06-13,2026-07-18,7818,0.8036752255700137,2.7824304653512266,1.3781447134039615,1.4042857519472651,862260,943660
chicago,na,2025-06-17,2026-05-26,6581,0.8732780803177238,1.2717202481276946,0.14390158419370636,1.1278186639339882,791631,752158
chicago,na,2025-06-17,2026-06-24,6491,0.8495739370211071,0.420741094456889,0.0072112812750990685,0.41352981318178994,803285,752158
chicago,na,2025-06-17,2026-07-20,6379,0.8270568920188823,0.8058731151112664,0.042531548197422,0.7633415669138444,820449,752158
chicago,na,2025-09-22,2026-08-27,6719,0.8541453525599374,0.1378432931209872,-0.1430597120650523,0.2809030051860395,846466,784326
london,emea,2025-09-14,2026-07-16,68447,0.7825404207244955,1.9146035399790318,2.133397401189474,-0.2187938612104423,4453223,4456006
london,emea,2025-09-14,2026-08-18,67381,0.7500884728271527,2.0085919298964194,1.9455347740118478,0.06305715588457161,4512685,4456006
los-angeles,na,2025-03-01,2026-04-14,31603,0.7684346857278948,1.1561901685526843,0.6860083450255683,0.470181823527116,2817447,2896129
los-angeles,na,2025-06-17,2026-05-23,30441,0.8303965580877855,1.9555782086560392,1.8407057562153772,0.11487245244066191,2809601,2876087
los-angeles,na,2025-06-17,2026-06-15,30021,0.811572434622985,2.116874665618651,1.9914442927021714,0.12543037291647963,2820219,2876087
los-angeles,na,2025-06-17,2026-07-12,29482,0.7866068206581106,2.3201579440374376,2.2064442310269827,0.11371371301045485,2865354,2876087
los-angeles,na,2025-09-01,2026-08-10,30722,0.8188706594824807,1.6553825194073113,2.269252354304463,-0.6138698348971516,2900259,2855788
mexico-city,latam,2025-06-25,2026-05-29,17881,0.8137599469635496,0.09275476962709028,0.8074713998139416,-0.7147166301868513,2377233,2230837
mexico-city,latam,2025-06-25,2026-06-15,20020,0.8016039721974955,-0.048376316281062426,0.8943889356029855,-0.9427652518840479,2501789,2230837
mexico-city,latam,2025-06-25,2026-07-14,19724,0.777218122778778,-0.004160372471484486,1.0560224543939567,-1.0601828268654412,2548991,2230837
mexico-city,latam,2025-09-27,2026-08-30,20674,0.8164730703529796,-0.22188215064014027,0.6521800709566206,-0.8740622215967608,2609726,2273149
nashville,na,2025-06-19,2026-06-26,7127,0.8269480086321294,3.605604763118664,1.5274950964304645,2.0781096666881993,981913,989623
nashville,na,2025-06-19,2026-07-21,7007,0.8092887953261786,4.037119683162782,1.7214272900305527,2.3156923931322293,988998,989623
nashville,na,2025-09-23,2026-08-27,7212,0.8315024286279233,2.1181102518261996,1.4210723459936236,0.697037905832576,993771,966353
new-orleans,na,2025-06-09,2026-05-23,5180,0.8840651383433673,0.7540459574675529,0.46663958385817494,0.28740637360937793,734007,820994
new-orleans,na,2025-06-09,2026-06-16,5671,0.8737832117225206,0.230347199298242,0.9926801419321674,-0.7623329426339254,735132,820994
new-orleans,na,2025-06-09,2026-07-15,5626,0.8570690993946638,0.17522462348125156,0.4712770950684897,-0.29605247158723813,737937,820994
new-orleans,na,2025-09-11,2026-08-15,5804,0.8732133265645908,-0.8063305182423486,0.41751378097982794,-1.2238442992221765,746569,837715
new-york-city,na,2025-10-01,2026-08-10,25090,0.8804584439155364,2.2521159696626603,3.0909676919308238,-0.8388517222681635,1613807,1695469
paris,emea,2025-06-06,2026-06-16,63051,0.7939281749153827,1.2007675226456405,1.2111165489592235,-0.010349026313583032,4927777,5158262
paris,emea,2025-06-06,2026-07-15,62179,0.771750416279331,1.134263318492823,1.0891494976832394,0.045113820809583594,4894550,5158262
paris,emea,2025-09-12,2026-08-15,63454,0.801675611617601,0.5449085372946305,0.4824045736194993,0.06250396367513122,4906865,5148150
rome,emea,2025-06-12,2026-05-25,30006,0.8907681470441019,1.422436038991548,0.916568760508607,0.505867278482941,3050731,2970344
rome,emea,2025-06-12,2026-06-20,29705,0.8705715064471894,1.4736978366886255,1.0344289489607528,0.43926888772787276,3078163,2970344
rome,emea,2025-06-12,2026-07-18,29399,0.8555926953445755,1.534569029391819,1.0144901921270488,0.5200788372647702,3100598,2970344
rome,emea,2025-09-14,2026-08-25,31001,0.9026365195411851,1.355100483675753,0.8506969599266112,0.5044035237491418,3114371,3012218
san-diego,na,2025-03-16,2026-04-26,8560,0.8358751794526498,3.7563746816019483,1.600574038978908,2.1558006426230403,1146542,1199244
san-diego,na,2025-06-21,2026-05-27,9101,0.8778198772355715,4.3823358441632765,2.564020790225796,1.8183150539374804,1162063,1205326
san-diego,na,2025-06-21,2026-06-27,9765,0.8582499441883675,4.0129990950821925,2.7941815909163337,1.2188175041658589,1218384,1205326
san-diego,na,2025-06-21,2026-07-21,9539,0.8419926116572363,3.8481276029758815,2.462187946686867,1.3859396562890147,1213804,1205326
san-diego,na,2025-09-25,2026-08-29,10127,0.8707612494284582,3.2344718901002656,2.4405148625470163,0.7939570275532493,1244441,1225581
sydney,apac,2025-09-12,2026-07-15,13353,0.7845766961630125,0.35444676883369386,0.9417981505572381,-0.5873513817235443,1353614,1323113
sydney,apac,2025-09-12,2026-08-15,13129,0.7593429085387359,0.22147699096295437,0.7284345345631715,-0.5069575436002172,1355306,1323113
