quarter,region,basket_yoy_pct,weight_sum,n_missing
1Q18,apac,0.0,1.0,5
1Q18,emea,0.0,1.0,3
1Q18,latam,0.0,1.0,3
1Q18,na,0.0,1.0,2
1Q19,apac,-6.592200000000001,1.0,0
1Q19,emea,-6.9245,1.0,0
1Q19,latam,-8.581,1.0,0
1Q19,na,-0.43899999999999995,1.0,0
1Q20,apac,-4.809200000000001,1.0,0
1Q20,emea,-2.5115,1.0,0
1Q20,latam,-9.7158,1.0,0
1Q20,na,-0.1582,1.0,0
1Q21,apac,10.8959,1.0,0
1Q21,emea,8.471,1.0,0
1Q21,latam,-11.2504,1.0,0
1Q21,na,0.4528000000000001,1.0,0
1Q22,apac,-6.1405,1.0,0
1Q22,emea,-5.5235,1.0,0
1Q22,latam,2.6037,1.0,0
1Q22,na,-0.018000000000000002,1.0,0
1Q23,apac,-6.724900000000001,1.0,0
1Q23,emea,-5.3755,1.0,0
1Q23,latam,3.9608000000000003,1.0,0
1Q23,na,-0.31199999999999994,1.0,0
1Q24,apac,-4.738,1.0,0
1Q24,emea,1.9064999999999999,1.0,0
1Q24,latam,6.4025,1.0,0
1Q24,na,0.2208,1.0,0
1Q25,apac,-4.1099,1.0,0
1Q25,emea,-2.2384999999999997,1.0,0
1Q25,latam,-14.7639,1.0,0
1Q25,na,-0.8171999999999999,1.0,0
1Q26,apac,4.9082,1.0,0
1Q26,emea,9.5095,1.0,0
1Q26,latam,12.358699999999999,1.0,0
1Q26,na,0.6952,1.0,0
2Q18,apac,0.0,1.0,5
2Q18,emea,0.0,1.0,3
2Q18,latam,0.0,1.0,3
2Q18,na,0.0,1.0,2
2Q19,apac,-5.2507,1.0,0
2Q19,emea,-5.41,1.0,0
2Q19,latam,-3.9395000000000007,1.0,0
2Q19,na,-0.2552,1.0,0
2Q20,apac,-3.9031,1.0,0
2Q20,emea,-2.234,1.0,0
2Q20,latam,-21.6545,1.0,0
2Q20,na,-0.6318,1.0,0
2Q21,apac,10.1072,1.0,0
2Q21,emea,9.718,1.0,0
2Q21,latam,7.036700000000001,1.0,0
2Q21,na,1.3486,1.0,0
2Q22,apac,-8.5015,1.0,0
2Q22,emea,-10.697,1.0,0
2Q22,latam,4.0693,1.0,0
2Q22,na,-0.30460000000000004,1.0,0
2Q23,apac,-5.5236,1.0,0
2Q23,emea,1.5085,1.0,0
2Q23,latam,4.692200000000001,1.0,0
2Q23,na,-0.12899999999999995,1.0,0
2Q24,apac,-3.6298000000000004,1.0,0
2Q24,emea,-0.5865,1.0,0
2Q24,latam,-1.6305999999999998,1.0,0
2Q24,na,-0.09059999999999999,1.0,0
2Q25,apac,-0.3352,1.0,0
2Q25,emea,5.2,1.0,0
2Q25,latam,-8.994800000000001,1.0,0
2Q25,na,-0.3308,1.0,0
2Q26,apac,2.7336000000000005,1.0,0
