period,freq,region,method,tier,basis,s28_basis,s7_basis,nights_share_lt7,nights_share_7_27,nights_share_ge28,booking_share_lt7,booking_share_7_27,booking_share_ge28,alos_input,alos_check,alos_check_err,short_harmonic_mean,phi,m1_used,m2_used,m3_used,m1_implied_if_s3_zero,feasible,nights_m
2021,annual,apac,phi_common,regional_assumption,INFEASIBLE -- regional ALOS (2.7) is SHORTER than the global sub-28 harmonic mean (3.34); the region cannot hold a positive 28+ share on global bucket means,SOLVED from regional ALOS (never disclosed by region),SOLVED,0.8328105689526882,0.42323429090885023,-0.2560448598615386,0.9114779110958836,0.1038847804958087,-0.015362691591692314,2.7,2.7,0.0,3.340009584466696,0.3369579418966819,2.4669698615830926,11.0,45.0,1.9516285770030481,False,
2022,annual,apac,phi_common,regional_assumption,INFEASIBLE -- regional ALOS (3.2) is SHORTER than the global sub-28 harmonic mean (3.29); the region cannot hold a positive 28+ share on global bucket means,SOLVED from regional ALOS (never disclosed by region),SOLVED,0.6979024978361084,0.3332230826490255,-0.03112558048513382,0.9052757505689233,0.09693762404335288,-0.0022133746122761826,3.2,3.2,0.0,3.2923147317096393,0.3231644030131107,2.4669698615830926,11.0,45.0,2.3906195511039288,False,
2023,annual,apac,phi_common,regional_assumption,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),SOLVED from regional ALOS (never disclosed by region),SOLVED,0.6788248126847639,0.3017702091484953,0.01940497816674066,0.9080459055232237,0.0905310627445486,0.0014230317322276485,3.3,3.3000000000000007,8.881784197001252e-16,3.2405750131240953,0.30774193467179195,2.4669698615830926,11.0,45.0,2.5168100100955253,True,
2024,annual,apac,phi_common,regional_assumption,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),SOLVED from regional ALOS (never disclosed by region),SOLVED,0.6788248126847639,0.3017702091484953,0.01940497816674066,0.9080459055232237,0.0905310627445486,0.0014230317322276485,3.3,3.3000000000000007,8.881784197001252e-16,3.2405750131240953,0.30774193467179195,2.4669698615830926,11.0,45.0,2.5168100100955253,True,
2025,annual,apac,phi_common,regional_assumption,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),SOLVED from regional ALOS (never disclosed by region),SOLVED,0.6788248126847639,0.3017702091484953,0.01940497816674066,0.9080459055232237,0.0905310627445486,0.0014230317322276485,3.3,3.3000000000000007,8.881784197001252e-16,3.2405750131240953,0.30774193467179195,2.4669698615830926,11.0,45.0,2.5168100100955253,True,
2021,annual,apac,s3_prop_alos,regional_assumption,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),ALLOCATED from global (assumption),assumed,0.572834164528155,0.2911142947397087,0.13605154073213618,0.920381580665416,0.07145532689065576,0.00816309244392817,2.7,2.6999999999999997,-4.440892098500626e-16,,0.3369579418966819,1.6804467589495027,11.0,45.0,,True,
2022,annual,apac,s3_prop_alos,regional_assumption,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),ALLOCATED from global (assumption),assumed,0.5699815344476838,0.2721454709656037,0.15787299458671247,0.9096038843868703,0.07916959155363017,0.011226524059499554,3.2,3.2,0.0,,0.3231644030131107,2.005203519400138,11.0,45.0,,True,
2023,annual,apac,s3_prop_alos,regional_assumption,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),ALLOCATED from global (assumption),assumed,0.5854450229865296,0.2602584109040715,0.15429656610939885,0.9106073952140892,0.07807752327122146,0.01131508151468925,3.3,3.3000000000000007,8.881784197001252e-16,,0.30774193467179195,2.121626274956103,11.0,45.0,,True,
2024,annual,apac,s3_prop_alos,regional_assumption,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),ALLOCATED from global (assumption),assumed,0.5972988476022201,0.26552800486505074,0.13717314753272916,0.9102822343880846,0.07965840145951521,0.010059364152400137,3.3,3.3,0.0,,0.30774193467179195,2.165357207495477,11.0,45.0,,True,
2025,annual,apac,s3_prop_alos,regional_assumption,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),ALLOCATED from global (assumption),assumed,0.6115955618757387,0.2718835805243917,0.11652085759986956,0.9098900629520255,0.08156507415731752,0.008544862890657102,3.3,3.3000000000000007,8.881784197001252e-16,,0.30774193467179195,2.2181419892002405,11.0,45.0,,True,
