"overall_visitor_count","dt_date_srgt"
"1359249.6608433100","2015-01-01"
"1228767.3870623600","2015-02-01"
"1314973.3646314700","2015-03-01"
"1219371.7024733200","2015-04-01"
"1332259.1723120300","2016-11-01"
"1534724.0698088500","2016-12-01"
"452141.4968134950","2021-01-01"
"359960.5705302660","2021-02-01"
"454626.8274840020","2021-03-01"
"417076.0954232820","2021-04-01"
"393414.5546489680","2021-05-01"
"437995.9274637080","2021-06-01"
"337639.1564443640","2021-07-01"
"375929.2638314010","2021-08-01"
"616799.0993601200","2021-09-01"
"1029477.8367869800","2021-10-01"
"1147599.3891035800","2021-11-01"
"1259163.0144206900","2021-12-01"
"1246513.4295216200","2014-01-01"
"1157455.4486394100","2014-02-01"
"1210956.3883848000","2014-03-01"
"1165982.0341870100","2014-04-01"
"1060229.9733996600","2014-05-01"
"982063.6966669560","2014-06-01"
"705354.3372361400","2014-07-01"
"1061966.7423371400","2014-08-01"
"1007834.4952988900","2014-09-01"
"1165861.2412048100","2014-10-01"
"1126188.5916495000","2014-11-01"
"1319090.4781710900","2014-12-01"
"40105.7155686265","2020-07-01"
"134203.4401755190","2020-08-01"
"242397.8357747800","2020-09-01"
"340447.6532210520","2020-10-01"
"352889.6244166220","2020-11-01"
"559818.1487628370","2020-12-01"
"1195387.2449429200","2015-05-01"
"931244.4926377290","2015-06-01"
"984889.7086543220","2015-07-01"
"1150868.9444008300","2015-08-01"
"1133137.5742994200","2015-09-01"
"1181432.2078011800","2015-10-01"
"1144878.5076227500","2015-11-01"
"1358593.3373872700","2015-12-01"
"1790401.2351847900","2020-01-01"
"1478529.0376132900","2020-02-01"
"566442.8440546670","2020-03-01"
"1589708.8140306900","2018-01-01"
"1462715.9487800600","2018-02-01"
"1601823.2538960000","2018-03-01"
"1439135.0789375500","2018-04-01"
"1063588.3656978300","2018-05-01"
"947395.4710876980","2018-06-01"
"1150250.9207353100","2018-07-01"
"1183616.1431176100","2018-08-01"
"1442561.9554368700","2017-02-01"
"1556100.2655747000","2017-03-01"
"1474402.5024029400","2017-04-01"
"1219888.4342641700","2017-05-01"
"802709.0879241810","2017-06-01"
"1135804.7622710000","2017-07-01"
"1198163.0660060100","2017-08-01"
"1179336.8957090600","2017-09-01"
"1292259.6884971800","2017-10-01"
"1371192.0666917700","2017-11-01"
"1545973.0547074800","2017-12-01"
"979657.3406858720","2022-01-01"
"1210985.1794048700","2022-02-01"
"1783638.5113641400","2022-03-01"
"1504183.7866999300","2023-10-01"
"1465640.7320679900","2023-11-01"
"1785620.8808043600","2023-12-01"
"1568667.8180830400","2017-01-01"
"1146602.8139280400","2018-09-01"
"1295581.5557379100","2018-10-01"
"1424243.6861691000","2018-11-01"
"1616685.4378235900","2018-12-01"
"1465405.5184679000","2023-01-01"
"1638732.9466529400","2023-02-01"
"1564342.5380057000","2023-03-01"
"1349215.9613935800","2023-04-01"
"1369241.4205067800","2023-05-01"
"1164774.5407743300","2023-06-01"
"1283257.9518800300","2023-07-01"
"1265042.9276371300","2023-08-01"
"1298639.3685695400","2023-09-01"
"1405417.2222165500","2016-01-01"
"1278285.4149806000","2016-02-01"
"1428294.1336591500","2016-03-01"
"1236375.1127855100","2016-04-01"
"1238245.7794679200","2016-05-01"
"707052.9827310690","2016-06-01"
"1102219.8956364400","2016-07-01"
"1213511.0404789000","2016-08-01"
"1161671.5186020500","2016-09-01"
"1232868.1909986700","2016-10-01"
"1121786.1975382800","2022-04-01"
"1074790.4663006200","2022-05-01"
"945104.1747568330","2022-06-01"
"985630.7992256450","2022-07-01"
"1023145.5850634700","2022-08-01"
"998715.6967897940","2022-09-01"
"1279897.1084141000","2022-10-01"
"1413232.4857488800","2022-11-01"
"1544361.6892492900","2022-12-01"
"1613872.9045820900","2019-01-01"
"1524107.8578912200","2019-02-01"
"1612204.6015585100","2019-03-01"
"1512197.3050581300","2019-04-01"
"894204.1722862240","2019-05-01"
"1200976.8351458300","2019-06-01"
"1218254.1020226300","2019-07-01"
"1276071.9586139700","2019-08-01"
"1230344.1515276100","2019-09-01"
"1419319.9022805000","2019-10-01"
"1502988.1792634700","2019-11-01"
"1722299.7317182500","2019-12-01"
