"year","nationality","visitor_count"
"2016","Australia+New Zealand","335002"
"2017","Australia+New Zealand","333686"
"2018","Australia+New Zealand","309838"
"2019","Australia+New Zealand","305737"
"2020","Australia+New Zealand","63507"
"2016","Bahrain","143736"
"2017","Bahrain","136164"
"2018","Bahrain","116673"
"2019","Bahrain","113948"
"2020","Bahrain","32750"
"2016","China","540401"
"2017","China","764031"
"2018","China","856704"
"2019","China","989247"
"2020","China","181633"
"2016","CIS: Azerbaijan and Kazakhstan","87300"
"2017","CIS: Azerbaijan and Kazakhstan","103393"
"2018","CIS: Azerbaijan and Kazakhstan","147234"
"2019","CIS: Azerbaijan and Kazakhstan","175313"
"2020","CIS: Azerbaijan and Kazakhstan","82826"
"2016","Eastern Europe : Hungary + Czech Republic + Romania","136824"
"2017","Eastern Europe : Hungary + Czech Republic + Romania","168104"
"2018","Eastern Europe : Hungary + Czech Republic + Romania","184645"
"2019","Eastern Europe : Hungary + Czech Republic + Romania","194199"
"2020","Eastern Europe : Hungary + Czech Republic + Romania","65285"
"2016","Egypt","291235"
"2017","Egypt","288061"
"2018","Egypt","290711"
"2019","Egypt","314133"
"2020","Egypt","169851"
"2016","France","265964"
"2017","France","297582"
"2018","France","348113"
"2019","France","382497"
"2020","France","166211"
"2016","Germany","461877"
"2017","Germany","506204"
"2018","Germany","566707"
"2019","Germany","560221"
"2020","Germany","165077"
"2016","India","1799847"
"2017","India","2072786"
"2018","India","2032440"
"2019","India","1970124"
"2020","India","864611"
"2016","Indonesia","37491"
"2017","Indonesia","37715"
"2018","Indonesia","37126"
"2019","Indonesia","48633"
"2020","Indonesia","31520"
"2016","Iran","472430"
"2017","Iran","502991"
"2018","Iran","316162"
"2019","Iran","283816"
"2020","Iran","58782"
"2016","Italy","204366"
"2017","Italy","213896"
"2018","Italy","233674"
"2019","Italy","247228"
"2020","Italy","76244"
"2016","Jordan","162453"
"2017","Jordan","178458"
"2018","Jordan","166248"
"2019","Jordan","161846"
"2020","Jordan","56272"
"2016","Kuwait","418923"
