"month_by_year","total_list_regions","total_number_of_overnight_visitors_by_region"
"01-05-2024","Africa","69275"
"01-05-2024","Americas","88309"
"01-05-2024","Australasia","26161"
"01-05-2024","GCC","195627"
"01-05-2024","MENA","164240"
"01-05-2024","NE Asia and South East Asia","145015"
"01-05-2024","Russia CIS and Eastern Europe","190249"
"01-05-2024","South Asia","285062"
"01-05-2024","Western Europe","279005"
"01-06-2024","Africa","64278"
"01-06-2024","Americas","89116"
"01-06-2024","Australasia","30752"
"01-06-2024","GCC","225765"
"01-06-2024","MENA","141163"
"01-06-2024","NE Asia and South East Asia","132014"
"01-06-2024","Russia CIS and Eastern Europe","127294"
"01-06-2024","South Asia","218464"
"01-06-2024","Western Europe","161713"
