item,value
ratio_yoy_mean_pct,-0.9983428701485284
ratio_yoy_sd_pct,3.7388677521553944
leg2_p_base,0.2598025
leg2_cor_median,559.248738471651
leg2_cor_p10,529.5506162624581
leg2_cor_p90,591.0284299779756
leg2_p_yoy_ge_18,0.2641725
leg2_p_gbv_street_high_23565,0.4082725
leg2_p_gbv_low_22400,0.1454775
leg2_p_rate_1.735_rebates_persist,0.199145
leg2_p_rate_1.818_fy25_rate,0.47566
leg2_p_hosting_evidence_only,0.0963425
leg2_p_hosting_line_build_recon,0.565735
leg2_p_hosting_mix_40_40_20,0.269625
leg2_p_resid_sd_20,0.29773
leg2_p_resid_sd_6,0.2377375
leg2_needed_ratio_change_pct,4.702750665483579
leg2_base_rate_unshifted,0.06365222655963176
leg2_base_rate_hosting_shift_+2.5,0.19595282865360386
leg2_base_rate_gbv_15pct,0.16733730992324314
leg1_p_given_leg2,0.4
leg1_p_given_not_leg2,0.18
leg1_unconditional,0.23715655000000002
p_total_base,0.39303805
p_total_leg1_given_no_0.12,0.3486262
p_total_leg1_given_no_0.25,0.444851875
p_total_leg1_given_no_0.1,0.33382225
p_total_leg1_given_no_0.3,0.48186175
