quarter,cor,gbv,cor_yoy,gbv_yoy,ratio,ratio_yoy
1Q23,428,20400,,,2.0980392156862746,
2Q23,432,19100,,,2.261780104712042,
3Q23,459,18300,,,2.5081967213114753,
4Q23,384,15500,,,2.47741935483871,
1Q24,480,22900,12.149532710280365,12.254901960784315,2.096069868995633,-0.09386605721748431
2Q24,506,21200,17.129629629629626,10.994764397905765,2.3867924528301887,5.527166317260646
3Q24,465,20100,1.3071895424836555,9.836065573770503,2.3134328358208953,-7.765096088186518
4Q24,427,17600,11.197916666666675,13.548387096774196,2.4261363636363638,-2.0700165719697017
1Q25,506,24500,5.41666666666667,6.986899563318771,2.0653061224489795,-1.4676870748299375
2Q25,544,23500,7.509881422924902,10.849056603773576,2.3148936170212764,-3.0123622908081793
3Q25,549,22900,18.06451612903226,13.93034825870647,2.3973799126637556,3.6286800957881615
4Q25,487,20400,14.051522248243554,15.909090909090917,2.3872549019607843,-1.602608256417326
1Q26,581,29200,14.822134387351781,19.183673469387763,1.9897260273972601,-3.659510531160326
2Q26,633,27200,16.360294117647058,15.74468085106382,2.327205882352941,0.5318717560553798
