scenario,year,revenue,nights,gbv,cor,ops,pd,bpm,fop,ga,nb_cost,ai_cost,cash_costs,addbacks,adj_uncapped,adj_ebitda,margin,sbc,da,op_income,pretax,net_income,eps,interest_income,interest_expense,cash_taxes,d_unearned,capex,wc_resid,fcf,sbc_adj_fcf,buybacks,withholding,price,opening_cash,delta_fcf,delta_buybacks,delta_withholding,net_cash,opening_shares,buyback_shares,issuance_shares,shares
review_with_k,2026,14273.70658378,583.1,105416.882,2408.539056429354,1285.6096904315198,1484.0700000000002,1993.75,921.5799999999999,1090.38,8.422559940396688,0.0,9192.35130680127,128.46335925402,5209.81863623275,5209.81863623275,0.36499409635847174,1786.5299999999997,99.91594608646,3294.82527697873,3834.82527697873,3106.2084743527716,5.275041716718349,660.0,120.0,371.11637117827996,0.0,42.82111975134,-157.01077242158,5178.87037288155,3392.34037288155,4200.0,625.2854999999998,181.94,9593.0,2221.87037288155,2061.0,320.28549999999984,9433.58487288155,597.0,11.327910300098933,3.1779405298450034,588.850030229746
review_with_k,2027,15952.23324074218,634.815255449984,117859.51573801387,2692.825299337316,1329.6491370918313,1632.4770000000003,2312.75,1050.6012,1150.3509000000001,58.998795545192756,60.61848631482028,10288.270818289162,143.5700991666796,5807.532521619698,5807.532521619698,0.36405764847941136,1965.1829999999998,111.66563268519526,3698.7794224530185,4193.779422453019,3355.0235379624155,5.838903889815214,620.0,125.0,542.3759301852342,0.0,47.856699722226544,-175.47456564816397,5536.825326064073,3571.642326064073,4000.0,687.8140499999998,191.037,9433.58487288155,5536.825326064073,4000.0,687.8140499999998,10282.596148945624,588.850030229746,20.938352256369186,6.686500259112107,574.598178232489
review_with_k,2028,18071.97624461957,682.1167727759473,129807.53159538114,2950.9815810889954,1357.2880802790019,1787.5623150000004,2624.97125,1176.6733440000003,1207.8684450000003,149.66858377950746,139.1542170835707,11394.167816231076,162.64778620157614,6840.456214590071,6840.456214590071,0.37851179760302234,2122.3976399999997,126.503833712337,4555.410788388495,5020.410788388495,4016.3286307107965,7.152417360637785,590.0,125.0,722.8790497847829,0.0,54.21592873385871,-198.79173869081527,6329.569497380613,4207.171857380614,4000.0,742.8391739999998,200.58885,10282.596148945624,6329.569497380613,4000.0,742.8391739999998,11869.326472326236,574.598178232489,19.941287863208746,6.877543123658169,561.5344334929384
review_without_k,2026,14270.2893671,583.1,105291.276,2405.66924135816,1285.6096904315198,1484.0700000000002,1993.75,921.5799999999999,1090.38,8.422559940396688,0.0,9189.481491730077,128.43260430389998,5209.240479673823,5209.240479673823,0.36504098450054356,1786.5299999999997,99.89202556970001,3294.277875369923,3834.277875369923,3105.7650790496377,5.274288731611155,660.0,120.0,371.0275235446,0.0,42.8108681013,-156.9731830381,5178.428904989823,3391.8989049898237,4200.0,625.2854999999998,181.94,9593.0,2221.4289049898234,2061.0,320.28549999999984,9433.143404989823,597.0,11.327910300098933,3.1779405298450034,588.850030229746
review_without_k,2027,15939.531309457967,634.815255449984,117718.5219212887,2689.60390720491,1329.6491370918313,1632.4770000000003,2312.75,1050.6012,1150.3509000000001,58.998795545192756,60.57021897594027,10285.001158817873,143.4557817851217,5797.985932425216,5797.985932425216,0.3637488342574346,1965.1829999999998,111.57671916620578,3689.347150640094,4184.347150640094,3347.4777205120754,5.825771551885512,620.0,125.0,541.9440645215709,0.0,47.8185939283739,-175.33484440403763,5527.888429571233,3562.7054295712333,4000.0,687.8140499999998,191.037,9433.143404989823,5527.888429571233,4000.0,687.8140499999998,10273.217784561057,588.850030229746,20.938352256369186,6.686500259112107,574.598178232489
review_without_k,2028,18057.586472544095,682.1167727759473,129652.24452157381,2947.451359930372,1357.2880802790019,1787.5623150000004,2624.97125,1176.6733440000003,1207.8684450000003,149.66858377950746,139.04341583858954,11390.52679382747,162.51827825289683,6829.577956969522,6829.577956969522,0.3782110066233739,2122.3976399999997,126.40310530780867,4544.662038716626,5009.662038716626,4007.729630973301,7.13710396358748,590.0,125.0,722.3034589017639,0.0,54.172759417632285,-198.63345119798504,6319.46828745214,4197.070647452141,4000.0,742.8391739999998,200.58885,10273.217784561057,6319.46828745214,4000.0,742.8391739999998,11849.846898013198,574.598178232489,19.941287863208746,6.877543123658169,561.5344334929384
k0_conditional,2026,14309.13868038,583.1,106412.3930807,2431.284249357505,1285.6096904315198,1484.0700000000002,1993.75,921.5799999999999,1090.38,8.422559940396688,0.0,9215.096499729421,128.78224812341998,5222.824428773998,5222.824428773998,0.3649992180127014,1786.5299999999997,100.16397076266,3307.5121806505786,3847.5121806505786,3116.484866326969,5.292493345225846,660.0,120.0,372.03760568987997,0.0,42.92741604114,-157.40052548417998,5190.458881558799,3403.928881558799,4200.0,625.2854999999998,181.94,9593.0,2233.4588815587986,2061.0,320.28549999999984,9445.1733815588,597.0,11.327910300098933,3.1779405298450034,588.850030229746
k0_conditional,2027,16057.89860362437,634.815255449984,118977.08744649014,2718.359303541932,1329.6491370918313,1632.4770000000003,2312.75,1050.6012,1150.3509000000001,58.998795545192756,61.0200146937726,10314.20635087273,144.5210874326193,5888.213340184259,5888.213340184259,0.36668641928373197,1965.1829999999998,112.40529022537059,3778.50925275164,4273.50925275164,3418.807402201312,5.949909922648629,620.0,125.0,545.9685525232286,0.0,48.17369581087311,-176.63688463986804,5612.434207210289,3647.251207210289,4000.0,687.8140499999998,191.037,9445.1733815588,5612.434207210289,4000.0,687.8140499999998,10369.793538769089,588.850030229746,20.938352256369186,6.686500259112107,574.598178232489
k0_conditional,2028,18191.682488821727,682.1167727759473,131038.39720644141,2978.963484006282,1357.2880802790019,1787.5623150000004,2624.97125,1176.6733440000003,1207.8684450000003,149.66858377950746,140.0759551639273,11423.07145722872,163.72514239939554,6932.336173992403,6912.839345752256,0.38,2122.3976399999997,127.3417774217521,4626.716563352861,5091.716563352861,4073.373250682289,7.254004398883428,590.0,125.0,727.667299552869,0.0,54.57504746646518,-200.108507377039,6395.488491355883,4273.0908513558825,4000.0,742.8391739999998,200.58885,10369.793538769089,6395.488491355883,4000.0,742.8391739999998,12022.442856124972,574.598178232489,19.941287863208746,6.877543123658169,561.5344334929384
nights_case_a,2026,14273.70658378,584.0,105573.995,2412.128735706462,1287.5939962476548,1484.0700000000002,1993.75,921.5799999999999,1090.38,8.422559940396688,0.0,9197.925291894515,128.46335925402,5204.244651139506,5204.244651139506,0.36460358916536617,1786.5299999999997,99.91594608646,3289.251291885486,3829.251291885486,3101.6935464272437,5.267374352035077,660.0,120.0,371.11637117827996,0.0,42.82111975134,-157.01077242158,5173.296387788306,3386.766387788306,4200.0,625.2854999999998,181.94,9593.0,2216.2963877883058,2061.0,320.28549999999984,9428.010887788307,597.0,11.327910300098933,3.1779405298450034,588.850030229746
