entry_date,eu40_flt_da,eu_core_flt_da,eu40_flt_o,n_states
2019-01-01,25133,22420,35256,40
2019-01-02,31764,28593,41855,40
2019-01-03,31931,28690,41897,40
2019-01-04,32587,29346,42960,40
2019-01-05,29794,26566,44986,40
2019-01-06,32685,29216,45821,40
2019-01-07,31470,28475,40715,40
2019-01-08,28198,25234,36863,40
2019-01-09,29132,26209,37943,40
2019-01-10,29558,26479,38541,40
2019-01-11,30857,27822,39998,40
2019-01-12,26949,23973,41073,40
2019-01-13,29827,26612,41595,40
2019-01-14,30248,27359,38185,40
2019-01-15,26878,24024,34662,40
2019-01-16,28498,25706,36268,40
2019-01-17,29553,26568,37208,40
2019-01-18,32078,29076,40205,40
2019-01-19,26571,23642,39577,40
2019-01-20,30210,27051,40800,40
2019-01-21,30699,27800,38632,40
2019-01-22,27710,24935,35125,40
2019-01-23,28382,25662,36078,40
2019-01-24,29838,26949,37647,40
2019-01-25,31918,29007,40383,40
2019-01-26,26364,23529,39781,40
2019-01-27,30097,27007,40766,40
2019-01-28,30239,27424,37850,40
2019-01-29,27843,25101,35095,40
2019-01-30,28354,25574,36182,40
2019-01-31,29814,26948,37623,40
2019-02-01,31672,28693,39570,40
2019-02-02,27183,24265,40483,40
2019-02-03,29423,26293,40473,40
2019-02-04,30538,27635,38144,40
2019-02-05,28333,25641,35417,40
2019-02-06,29275,26540,36464,40
2019-02-07,30478,27597,37612,40
2019-02-08,32716,29736,40342,40
2019-02-09,27783,24940,40955,40
2019-02-10,30544,27417,40775,40
2019-02-11,30986,28194,38317,40
2019-02-12,28779,26064,35788,40
2019-02-13,28567,25864,35324,40
2019-02-14,31511,28518,38748,40
2019-02-15,34147,31117,42081,40
2019-02-16,29934,26986,42831,40
2019-02-17,31878,28715,42339,40
2019-02-18,31831,28930,39150,40
2019-02-19,29489,26737,36702,40
2019-02-20,30161,27432,37831,40
2019-02-21,31871,28863,39136,40
2019-02-22,33638,30542,41952,40
2019-02-23,30197,27327,43243,40
2019-02-24,32940,29787,43992,40
2019-02-25,32382,29436,40253,40
2019-02-26,29779,26979,37484,40
2019-02-27,30804,27956,38635,40
2019-02-28,32124,29106,39468,40
2019-03-01,33929,30929,42467,40
2019-03-02,29855,26929,43160,40
2019-03-03,32130,28872,43113,40
2019-03-04,32112,29149,40183,40
2019-03-05,30251,27399,37812,40
2019-03-06,31365,28474,39089,40
2019-03-07,32251,29127,40032,40
2019-03-08,34072,30974,42210,40
2019-03-09,29519,26562,42959,40
2019-03-10,31920,28668,43189,40
2019-03-11,32753,29747,40526,40
2019-03-12,30557,27673,38145,40
2019-03-13,30818,27924,39028,40
2019-03-14,32521,29446,39983,40
2019-03-15,34410,31277,42748,40
2019-03-16,29465,26461,42924,40
2019-03-17,32245,28980,43432,40
2019-03-18,32944,29898,40677,40
2019-03-19,30471,27553,38210,40
2019-03-20,31437,28450,39506,40
2019-03-21,32568,29423,40690,40
2019-03-22,34639,31399,43236,40
2019-03-23,29420,26346,42991,40
2019-03-24,32526,29214,43403,40
2019-03-25,32555,29473,40426,40
2019-03-26,30862,27857,38713,40
2019-03-27,31559,28547,39701,40
2019-03-28,32836,29660,40615,40
2019-03-29,34785,31523,43330,40
2019-03-30,29545,26434,42984,40
2019-03-31,34330,30848,46566,40
2019-04-01,36459,33013,45655,40
2019-04-02,35352,32015,44481,40
2019-04-03,36038,32634,45754,40
2019-04-04,36765,33301,45363,40
2019-04-05,37847,34636,47167,40
