feature,target,value_2q26,value_3q26,delta_pp,naive_3q26,insample_pred_3q26,wf_ratio_vs_naive_2023,wf_n,note
eu40_flt_da_lag1,emea_nights_yoy_mid,3.188511026980767,1.2236577711491003,-1.9648532558316667,8.0,5.616470377949385,0.9563313616236007,10,in-sample OLS on 1Q23 to 2Q26
eu40_flt_da_lag1,total_nights_yoy,3.188511026980767,1.2236577711491003,-1.9648532558316667,10.342,8.784492630783769,1.1035274404690203,10,in-sample OLS on 1Q23 to 2Q26
eu40_flt_da_qtd75,emea_nights_yoy_mid,0.8395792222649412,3.0415069827866237,2.2019277605216825,8.0,6.482884258039485,0.8967737819792,10,in-sample OLS on 1Q23 to 2Q26
eu40_flt_da_qtd75,total_nights_yoy,0.8395792222649412,3.0415069827866237,2.2019277605216825,10.342,8.982878109194207,0.930773096845319,10,in-sample OLS on 1Q23 to 2Q26
eu40_flt_da_qtd75pit,emea_nights_yoy_mid,0.8395792222649412,3.041506982786624,2.201927760521683,8.0,6.482878158395801,0.89677330047478,10,in-sample OLS on 1Q23 to 2Q26
eu40_flt_da_qtd75pit,total_nights_yoy,0.8395792222649412,3.041506982786624,2.201927760521683,10.342,8.982871612993383,0.9307711391264557,10,in-sample OLS on 1Q23 to 2Q26
eu_core_flt_da_lag1,emea_nights_yoy_mid,2.956439069372707,1.531686570502111,-1.4247524988705962,8.0,5.804799513302326,0.9271228342832004,10,in-sample OLS on 1Q23 to 2Q26
eu_core_flt_da_lag1,total_nights_yoy,2.956439069372707,1.531686570502111,-1.4247524988705962,10.342,8.89523319343923,1.0796464271753852,10,in-sample OLS on 1Q23 to 2Q26
eu_core_flt_da_qtd75,emea_nights_yoy_mid,1.3356860582667052,2.646047034761456,1.310360976494751,8.0,6.389213941080066,0.8950374678550221,10,in-sample OLS on 1Q23 to 2Q26
eu_core_flt_da_qtd75,total_nights_yoy,1.3356860582667052,2.646047034761456,1.310360976494751,10.342,8.931116276758786,0.9435224985332897,10,in-sample OLS on 1Q23 to 2Q26
eu_core_flt_da_qtd75pit,emea_nights_yoy_mid,1.3356860582667052,2.646047034761456,1.310360976494751,8.0,6.3892368590720565,0.8950370544392294,10,in-sample OLS on 1Q23 to 2Q26
eu_core_flt_da_qtd75pit,total_nights_yoy,1.3356860582667052,2.646047034761456,1.310360976494751,10.342,8.93113399359867,0.9435259675180093,10,in-sample OLS on 1Q23 to 2Q26
