feature,held_series,overlap,n,r,duplicate_at_0_97,duplicate_at_0_90
eu_core_flt_da_full,avia_eu27_full,1Q23 to 4Q25,12,0.9862443517815054,True,True
eu_core_flt_da_full,avia_eu27_full,1Q20 to 4Q25,24,0.9463097513607258,False,True
eu_core_flt_da_full,avia_es_full,1Q23 to 4Q25,12,0.9925834391508948,True,True
eu_core_flt_da_full,avia_es_full,1Q20 to 4Q25,24,0.8000007160152318,False,False
eu_core_flt_da_full,avia_it_full,1Q23 to 4Q25,12,0.9886595951796622,True,True
eu_core_flt_da_full,avia_it_full,1Q20 to 4Q25,24,0.9322111746195347,False,True
eu40_flt_da_full,avia_eu27_full,1Q23 to 4Q25,12,0.9942842638952086,True,True
eu40_flt_da_full,avia_eu27_full,1Q20 to 4Q25,24,0.9622895506252553,False,True
eu40_flt_da_full,avia_es_full,1Q23 to 4Q25,12,0.9891958569593542,True,True
eu40_flt_da_full,avia_es_full,1Q20 to 4Q25,24,0.8378014899334916,False,False
eu40_flt_da_full,avia_it_full,1Q23 to 4Q25,12,0.993911337877386,True,True
eu40_flt_da_full,avia_it_full,1Q20 to 4Q25,24,0.9476720186013208,False,True
