rank,country_icao_code,country_name,flt_da,share_pct_eu40,in_eu_core,share_pct_eu_core
1,EG,United Kingdom,1763705,12.543714761130284,True,14.215151679034602
2,ED,Germany,1559483,11.0912595512468,True,12.56915832629375
3,LE,Spain,1432886,10.19088411566386,True,11.548808802359336
4,LF,France,1215633,8.64575062508588,True,9.797787884617819
5,LI,Italy,1141691,8.11986485798339,True,9.20182838716718
6,LT,Turkiye,895406,6.368251753782307,False,
7,EH,Netherlands,574953,4.089145539110078,True,4.634019920177116
8,LS,Switzerland,464198,3.301440606386644,True,3.741354126174447
9,EP,Poland,445649,3.169517543797262,True,3.5918524529953086
10,LG,Greece,430125,3.059108701075953,True,3.4667317470579024
11,LP,Portugal,396922,2.8229643565207074,True,3.1991214147183182
12,EB,Belgium and Luxembourg,394303,2.804337665005176,True,3.178012735972501
13,LO,Austria,312048,2.219328688063584,True,2.515051922594419
14,EI,Ireland,310184,2.2060716613415714,True,2.5000284108791826
15,EK,Denmark,288949,2.055045393937101,True,2.3288780507541618
16,GM,Morocco,229418,1.63165265907223,False,
17,ES,Sweden,222457,1.582145060889865,True,1.7929642412211795
18,EN,Norway,213790,1.520504153915787,True,1.7231097476396604
19,LR,Romania,187904,1.33639932895548,True,1.5144731466414836
20,LK,Czech Republic,160416,1.1409008576385935,True,1.2929247077850403
21,EF,Finland,146323,1.0406694855391727,True,1.1793376098221526
22,LH,Hungary,144129,1.0250654530133705,True,1.1616543562260004
23,LL,Israel,138965,0.9883383682534607,False,
24,LD,Croatia,121113,0.8613724664072349,True,0.9761494497679133
25,LY,Serbia & Montenegro,106214,0.7554087104355275,False,
26,LC,Cyprus,103598,0.7368033553363942,True,0.8349816344823122
27,LB,Bulgaria,89243,0.6347086028715403,True,0.7192828626624548
28,UG,Georgia,72903,0.518496254889951,False,
29,LM,Malta,72608,0.516398173944139,True,0.5852076923926305
30,LA,Albania,70023,0.498013295147786,False,
31,EV,Latvia,63105,0.4488115189337937,True,0.5086151860461237
32,EY,Lithuania,58086,0.41311569429979145,True,0.4681629299845517
33,LU,Moldova,44600,0.31720139045158385,False,
34,UD,Armenia,42671,0.30348207470761285,False,
35,EE,Estonia,37574,0.26723150324726036,True,0.3028398225259021
36,LZ,Slovakia,31496,0.22400392362473284,True,0.25385221297375343
37,LQ,Bosnia-Herzegovina,26818,0.19073333832131334,False,
38,LW,North Macedonia,26171,0.18613178451812556,False,
39,LJ,Slovenia,24648,0.17529999712669592,True,0.19865853903280017
40,UK,Ukraine,60,0.00042672832796177197,False,
