commit_a,date_a,commit_b,date_b,entry_date,days_before_commit_a,eu40_a,eu40_b,eu_core_a,eu_core_b,eu40_rev,eu40_rev_pct,eu_core_rev,eu_core_rev_pct
a837003469,2022-07-28,41aa608803,2022-08-03,2022-07-21,7,39795,39795,35071,35071,0,0.0,0,0.0
a837003469,2022-07-28,41aa608803,2022-08-03,2022-07-22,6,40664,40664,35989,35989,0,0.0,0,0.0
a837003469,2022-07-28,41aa608803,2022-08-03,2022-07-23,5,39569,39569,34850,34850,0,0.0,0,0.0
a837003469,2022-07-28,41aa608803,2022-08-03,2022-07-24,4,39770,39770,35074,35074,0,0.0,0,0.0
a837003469,2022-07-28,41aa608803,2022-08-03,2022-07-25,3,39654,39654,35035,35035,0,0.0,0,0.0
a837003469,2022-07-28,41aa608803,2022-08-03,2022-07-26,2,38368,38368,33785,33785,0,0.0,0,0.0
a837003469,2022-07-28,41aa608803,2022-08-03,2022-07-27,1,37360,37354,32789,32788,-6,-0.016059957173447537,-1,-0.003049803287687944
fa45cfdf6e,2022-08-08,ebf3485918,2022-08-16,2022-08-01,7,39884,39884,35189,35189,0,0.0,0,0.0
fa45cfdf6e,2022-08-08,ebf3485918,2022-08-16,2022-08-02,6,38672,38672,34038,34038,0,0.0,0,0.0
fa45cfdf6e,2022-08-08,ebf3485918,2022-08-16,2022-08-03,5,38889,38889,34305,34305,0,0.0,0,0.0
fa45cfdf6e,2022-08-08,ebf3485918,2022-08-16,2022-08-04,4,39287,39287,34550,34550,0,0.0,0,0.0
fa45cfdf6e,2022-08-08,ebf3485918,2022-08-16,2022-08-05,3,40342,40342,35630,35630,0,0.0,0,0.0
fa45cfdf6e,2022-08-08,ebf3485918,2022-08-16,2022-08-06,2,39488,39488,34755,34755,0,0.0,0,0.0
fa45cfdf6e,2022-08-08,ebf3485918,2022-08-16,2022-08-07,1,39841,39839,35070,35069,-2,-0.005019954318415703,-1,-0.00285143997718848
ebf3485918,2022-08-16,3b162c832c,2022-08-22,2022-08-09,7,38220,38220,33612,33612,0,0.0,0,0.0
ebf3485918,2022-08-16,3b162c832c,2022-08-22,2022-08-10,6,38759,38759,34136,34136,0,0.0,0,0.0
ebf3485918,2022-08-16,3b162c832c,2022-08-22,2022-08-11,5,39018,39018,34308,34308,0,0.0,0,0.0
ebf3485918,2022-08-16,3b162c832c,2022-08-22,2022-08-12,4,40468,40468,35700,35700,0,0.0,0,0.0
ebf3485918,2022-08-16,3b162c832c,2022-08-22,2022-08-13,3,39225,39225,34529,34529,0,0.0,0,0.0
ebf3485918,2022-08-16,3b162c832c,2022-08-22,2022-08-14,2,39517,39517,34735,34735,0,0.0,0,0.0
ebf3485918,2022-08-16,3b162c832c,2022-08-22,2022-08-15,1,38764,38762,34142,34142,-2,-0.005159426271798576,0,0.0
1745823b96,2022-08-24,2e68970ec0,2022-08-29,2022-08-17,7,37898,37898,33304,33304,0,0.0,0,0.0
1745823b96,2022-08-24,2e68970ec0,2022-08-29,2022-08-18,6,38961,38961,34201,34201,0,0.0,0,0.0
1745823b96,2022-08-24,2e68970ec0,2022-08-29,2022-08-19,5,40060,40060,35318,35318,0,0.0,0,0.0
1745823b96,2022-08-24,2e68970ec0,2022-08-29,2022-08-20,4,39289,39289,34540,34540,0,0.0,0,0.0
1745823b96,2022-08-24,2e68970ec0,2022-08-29,2022-08-21,3,39817,39817,35031,35031,0,0.0,0,0.0
1745823b96,2022-08-24,2e68970ec0,2022-08-29,2022-08-22,2,39080,39080,34529,34529,0,0.0,0,0.0
1745823b96,2022-08-24,2e68970ec0,2022-08-29,2022-08-23,1,37965,37963,33422,33422,-2,-0.005268010009219017,0,0.0
301c3a6b53,2022-08-31,ea6e294342,2022-09-06,2022-08-24,7,38938,38938,34398,34398,0,0.0,0,0.0
301c3a6b53,2022-08-31,ea6e294342,2022-09-06,2022-08-25,6,39558,39558,34864,34864,0,0.0,0,0.0
301c3a6b53,2022-08-31,ea6e294342,2022-09-06,2022-08-26,5,40405,40405,35639,35639,0,0.0,0,0.0
301c3a6b53,2022-08-31,ea6e294342,2022-09-06,2022-08-27,4,38861,38861,34094,34094,0,0.0,0,0.0
301c3a6b53,2022-08-31,ea6e294342,2022-09-06,2022-08-28,3,39790,39790,35003,35003,0,0.0,0,0.0
301c3a6b53,2022-08-31,ea6e294342,2022-09-06,2022-08-29,2,39511,39511,34942,34942,0,0.0,0,0.0
301c3a6b53,2022-08-31,ea6e294342,2022-09-06,2022-08-30,1,38620,38621,34052,34051,1,0.002589331952356292,-1,-0.002936685069893105
c9710946ad,2022-09-08,040961da5b,2022-09-13,2022-09-01,7,39731,39731,35069,35069,0,0.0,0,0.0
c9710946ad,2022-09-08,040961da5b,2022-09-13,2022-09-02,6,39228,39228,34691,34691,0,0.0,0,0.0
c9710946ad,2022-09-08,040961da5b,2022-09-13,2022-09-03,5,38265,38265,33608,33608,0,0.0,0,0.0
c9710946ad,2022-09-08,040961da5b,2022-09-13,2022-09-04,4,39770,39770,35097,35097,0,0.0,0,0.0
c9710946ad,2022-09-08,040961da5b,2022-09-13,2022-09-05,3,39022,39022,34613,34613,0,0.0,0,0.0
c9710946ad,2022-09-08,040961da5b,2022-09-13,2022-09-06,2,37436,37436,33138,33138,0,0.0,0,0.0
c9710946ad,2022-09-08,040961da5b,2022-09-13,2022-09-07,1,38523,38521,34092,34094,-2,-0.005191703657555227,2,0.0058664789393406075
2660f7e0f3,2022-09-15,34d0d093b6,2022-09-21,2022-09-08,7,38687,38687,34169,34169,0,0.0,0,0.0
2660f7e0f3,2022-09-15,34d0d093b6,2022-09-21,2022-09-09,6,39744,39744,35261,35261,0,0.0,0,0.0
2660f7e0f3,2022-09-15,34d0d093b6,2022-09-21,2022-09-10,5,37569,37569,33044,33044,0,0.0,0,0.0
2660f7e0f3,2022-09-15,34d0d093b6,2022-09-21,2022-09-11,4,39448,39448,34894,34894,0,0.0,0,0.0
2660f7e0f3,2022-09-15,34d0d093b6,2022-09-21,2022-09-12,3,38299,38299,34106,34106,0,0.0,0,0.0
2660f7e0f3,2022-09-15,34d0d093b6,2022-09-21,2022-09-13,2,36983,36983,32877,32877,0,0.0,0,0.0
2660f7e0f3,2022-09-15,34d0d093b6,2022-09-21,2022-09-14,1,37563,37563,33414,33414,0,0.0,0,0.0
af78c05de2,2022-09-23,9c002b1485,2022-09-28,2022-09-16,7,35736,35736,31558,31558,0,0.0,0,0.0
af78c05de2,2022-09-23,9c002b1485,2022-09-28,2022-09-17,6,37303,37303,32956,32956,0,0.0,0,0.0
af78c05de2,2022-09-23,9c002b1485,2022-09-28,2022-09-18,5,38721,38721,34294,34294,0,0.0,0,0.0
af78c05de2,2022-09-23,9c002b1485,2022-09-28,2022-09-19,4,37356,37356,33272,33272,0,0.0,0,0.0
af78c05de2,2022-09-23,9c002b1485,2022-09-28,2022-09-20,3,36472,36472,32475,32475,0,0.0,0,0.0
af78c05de2,2022-09-23,9c002b1485,2022-09-28,2022-09-21,2,37000,37000,32918,32918,0,0.0,0,0.0
af78c05de2,2022-09-23,9c002b1485,2022-09-28,2022-09-22,1,38313,38312,33998,33997,-1,-0.0026100801294599743,-1,-0.002941349491146538
8e34b85ea4,2022-10-03,53da43e4ff,2022-10-09,2022-09-26,7,37072,37072,33180,33180,0,0.0,0,0.0
8e34b85ea4,2022-10-03,53da43e4ff,2022-10-09,2022-09-27,6,35818,35818,31875,31875,0,0.0,0,0.0
8e34b85ea4,2022-10-03,53da43e4ff,2022-10-09,2022-09-28,5,36692,36692,32572,32572,0,0.0,0,0.0
8e34b85ea4,2022-10-03,53da43e4ff,2022-10-09,2022-09-29,4,36595,36595,32314,32314,0,0.0,0,0.0
8e34b85ea4,2022-10-03,53da43e4ff,2022-10-09,2022-09-30,3,38744,38744,34580,34580,0,0.0,0,0.0
8e34b85ea4,2022-10-03,53da43e4ff,2022-10-09,2022-10-01,2,35632,35632,31374,31374,0,0.0,0,0.0
8e34b85ea4,2022-10-03,53da43e4ff,2022-10-09,2022-10-02,1,37263,37261,32971,32970,-2,-0.005367254381021388,-1,-0.0030329683661399413
99b6874cd3,2022-10-11,aa135508d2,2022-10-17,2022-10-04,7,34027,34027,30547,30547,0,0.0,0,0.0
99b6874cd3,2022-10-11,aa135508d2,2022-10-17,2022-10-05,6,34333,34333,30950,30950,0,0.0,0,0.0
99b6874cd3,2022-10-11,aa135508d2,2022-10-17,2022-10-06,5,35663,35663,31651,31651,0,0.0,0,0.0
99b6874cd3,2022-10-11,aa135508d2,2022-10-17,2022-10-07,4,37288,37288,33223,33223,0,0.0,0,0.0
99b6874cd3,2022-10-11,aa135508d2,2022-10-17,2022-10-08,3,34906,34906,30802,30802,0,0.0,0,0.0
99b6874cd3,2022-10-11,aa135508d2,2022-10-17,2022-10-09,2,36279,36279,32210,32210,0,0.0,0,0.0
99b6874cd3,2022-10-11,aa135508d2,2022-10-17,2022-10-10,1,35330,35334,31574,31577,4,0.011321822813472968,3,0.009501488566542092
4cf41cc96f,2022-11-04,a65740aca0,2022-11-10,2022-10-28,7,35815,35815,32125,32125,0,0.0,0,0.0
4cf41cc96f,2022-11-04,a65740aca0,2022-11-10,2022-10-29,6,33811,33811,30000,30000,0,0.0,0,0.0
4cf41cc96f,2022-11-04,a65740aca0,2022-11-10,2022-10-30,5,32681,32681,28909,28909,0,0.0,0,0.0
4cf41cc96f,2022-11-04,a65740aca0,2022-11-10,2022-10-31,4,30786,30786,27388,27388,0,0.0,0,0.0
4cf41cc96f,2022-11-04,a65740aca0,2022-11-10,2022-11-01,3,27403,27403,24232,24232,0,0.0,0,0.0
4cf41cc96f,2022-11-04,a65740aca0,2022-11-10,2022-11-02,2,27869,27869,24760,24760,0,0.0,0,0.0
4cf41cc96f,2022-11-04,a65740aca0,2022-11-10,2022-11-03,1,29028,29031,25762,25766,3,0.010334849111202976,4,0.015526744817948917
ed6bc9970d,2022-11-12,4753b4eb50,2022-11-18,2022-11-05,7,27571,27571,24203,24203,0,0.0,0,0.0
ed6bc9970d,2022-11-12,4753b4eb50,2022-11-18,2022-11-06,6,30660,30660,27044,27044,0,0.0,0,0.0
ed6bc9970d,2022-11-12,4753b4eb50,2022-11-18,2022-11-07,5,29328,29328,26097,26097,0,0.0,0,0.0
ed6bc9970d,2022-11-12,4753b4eb50,2022-11-18,2022-11-08,4,25838,25838,22983,22983,0,0.0,0,0.0
ed6bc9970d,2022-11-12,4753b4eb50,2022-11-18,2022-11-09,3,25648,25648,22779,22779,0,0.0,0,0.0
ed6bc9970d,2022-11-12,4753b4eb50,2022-11-18,2022-11-10,2,27947,27947,24869,24869,0,0.0,0,0.0
ed6bc9970d,2022-11-12,4753b4eb50,2022-11-18,2022-11-11,1,29826,29829,26669,26671,3,0.010058338362502514,2,0.007499343807416851
f8fe0a33f7,2022-11-22,c412c90ef3,2022-11-28,2022-11-15,7,25030,25030,22329,22329,0,0.0,0,0.0
f8fe0a33f7,2022-11-22,c412c90ef3,2022-11-28,2022-11-16,6,25685,25685,22863,22863,0,0.0,0,0.0
f8fe0a33f7,2022-11-22,c412c90ef3,2022-11-28,2022-11-17,5,27258,27258,24230,24230,0,0.0,0,0.0
f8fe0a33f7,2022-11-22,c412c90ef3,2022-11-28,2022-11-18,4,29381,29381,26336,26336,0,0.0,0,0.0
f8fe0a33f7,2022-11-22,c412c90ef3,2022-11-28,2022-11-19,3,24703,24703,21749,21749,0,0.0,0,0.0
f8fe0a33f7,2022-11-22,c412c90ef3,2022-11-28,2022-11-20,2,28024,28024,24787,24787,0,0.0,0,0.0
f8fe0a33f7,2022-11-22,c412c90ef3,2022-11-28,2022-11-21,1,27471,27468,24573,24573,-3,-0.010920607185759528,0,0.0
92e6aaf2b8,2022-11-30,3a12a0bcc4,2022-12-06,2022-11-23,7,24757,24757,22037,22037,0,0.0,0,0.0
